排名,詞彙,出現次數
1,擢探花使,6
2,書齋謾興,4
3,題莒潭安,2
4,華下霽後,2
5,喜弟承檢,2
6,蒙閩王改,2
7,訪建陽馬,2
8,題景祥院,2
9,寄舍弟承,2
10,文明殿受,2
11,禦命歸鄉,2
12,奉使封閩,2
13,奉使封王,2
14,甲子歲銜,2
15,寄示兒孫,2
16,天佑元年,2
17,漢上登舟,2
18,對雨述懷,2
19,辭閩王歸,2
20,萬壽寺牡,2
21,莒潭安祧,1
22,潭安祧宗,1
23,安祧宗營,1
24,祧宗營祀,1
25,宗營祀舍,1
26,營祀舍幽,1
27,祀舍幽異,1
28,舍幽異勝,1
29,幽異勝珠,1
30,異勝珠林,1
31,勝珠林名,1
32,珠林名士,1
33,林名士穿,1
34,名士穿雲,1
35,士穿雲訪,1
36,穿雲訪飛,1
37,雲訪飛禽,1
38,訪飛禽傍,1
39,飛禽傍竹,1
40,禽傍竹吟,1
41,傍竹吟題,1
42,竹吟題莒,1
43,吟題莒潭,1
44,莒潭安窗,1
45,潭安窗含,1
46,安窗含孤,1
47,窗含孤岫,1
48,含孤岫影,1
49,孤岫影牧,1
50,岫影牧臥,1
51,影牧臥斷,1
52,牧臥斷霞,1
53,臥斷霞陰,1
54,斷霞陰景,1
55,霞陰景福,1
56,陰景福滋,1
57,景福滋閩,1
58,福滋閩壤,1
59,滋閩壤芳,1
60,閩壤芳名,1
61,壤芳名亙,1
62,芳名亙古,1
63,名亙古今,1
64,亙古今華,1
65,古今華下,1
66,今華下霽,1
67,下霽後結,1
68,霽後結茅,1
69,後結茅幽,1
70,結茅幽寂,1
71,茅幽寂近,1
72,幽寂近禪,1
73,寂近禪林,1
74,近禪林霽,1
75,禪林霽景,1
76,林霽景煙,1
77,霽景煙光,1
78,景煙光著,1
79,煙光著柳,1
80,光著柳陰,1
81,著柳陰千,1
82,柳陰千嶂,1
83,陰千嶂華,1
84,千嶂華山,1
85,嶂華山雲,1
86,華山雲外,1
87,山雲外秀,1
88,雲外秀萬,1
89,外秀萬重,1
90,秀萬重鄉,1
91,萬重鄉思,1
92,重鄉思望,1
93,鄉思望中,1
94,思望中深,1
95,望中深老,1
96,中深老嫌,1
97,深老嫌白,1
98,老嫌白髮,1
99,嫌白髮還,1
100,白髮還偷,1
101,髮還偷鑷,1
102,還偷鑷貧,1
103,偷鑷貧對,1
104,鑷貧對春,1
105,貧對春風,1
106,對春風亦,1
107,春風亦強,1
108,風亦強吟,1
109,亦強吟華,1
110,強吟華下,1
111,吟華下霽,1
112,下霽後花,1
113,霽後花畔,1
114,後花畔水,1
115,花畔水邊,1
116,畔水邊人,1
117,水邊人不,1
118,邊人不會,1
119,人不會騰,1
120,不會騰騰,1
121,會騰騰閒,1
122,騰騰閒步,1
123,騰閒步一,1
124,閒步一披,1
125,步一披襟,1
126,一披襟喜,1
127,披襟喜弟,1
128,襟喜弟承,1
129,弟承檢兩,1
130,承檢兩篇,1
131,檢兩篇佳,1
132,兩篇佳句,1
133,篇佳句敵,1
134,佳句敵瓊,1
135,句敵瓊瑰,1
136,敵瓊瑰憐,1
137,瓊瑰憐我,1
138,瑰憐我三,1
139,憐我三清,1
140,我三清道,1
141,三清道路,1
142,清道路開,1
143,道路開荊,1
144,路開荊璞,1
145,開荊璞獻,1
146,荊璞獻多,1
147,璞獻多還,1
148,獻多還得,1
149,多還得售,1
150,還得售桂,1
151,得售桂堂,1
152,售桂堂恩,1
153,桂堂恩在,1
154,堂恩在敢,1
155,恩在敢輕,1
156,在敢輕回,1
157,敢輕回花,1
158,輕回花繁,1
159,回花繁不,1
