排名,詞彙,出現次數
1,漢家邊事重竇憲,2
2,家邊事重竇憲出,2
3,邊事重竇憲出臨,2
4,事重竇憲出臨戎,2
5,重竇憲出臨戎絕,2
6,竇憲出臨戎絕漠,2
7,憲出臨戎絕漠秋,2
8,出臨戎絕漠秋山,2
9,臨戎絕漠秋山在,2
10,戎絕漠秋山在陽,2
11,絕漠秋山在陽關,2
12,漠秋山在陽關舊,2
13,秋山在陽關舊路,2
14,山在陽關舊路通,2
15,在陽關舊路通列,2
16,陽關舊路通列營,2
17,關舊路通列營依,2
18,舊路通列營依茂,2
19,路通列營依茂草,2
20,通列營依茂草吹,2
21,列營依茂草吹角,2
22,營依茂草吹角向,2
23,依茂草吹角向高,2
24,茂草吹角向高風,2
25,草吹角向高風更,2
26,吹角向高風更就,2
27,角向高風更就燕,2
28,向高風更就燕然,2
29,高風更就燕然石,2
30,將軍帶十圍重錦,2
31,軍帶十圍重錦制,2
32,帶十圍重錦制戎,2
33,十圍重錦制戎衣,2
34,圍重錦制戎衣猿,2
35,重錦制戎衣猿臂,2
36,錦制戎衣猿臂銷,2
37,制戎衣猿臂銷弓,2
38,戎衣猿臂銷弓力,2
39,衣猿臂銷弓力虯,2
40,猿臂銷弓力虯須,2
41,臂銷弓力虯須長,2
42,銷弓力虯須長劍,2
43,弓力虯須長劍威,2
44,力虯須長劍威首,2
45,虯須長劍威首登,2
46,須長劍威首登平,2
47,長劍威首登平樂,2
48,劍威首登平樂宴,2
49,威首登平樂宴新,2
50,首登平樂宴新破,2
51,登平樂宴新破大,2
52,平樂宴新破大宛,2
53,樂宴新破大宛歸,2
54,宴新破大宛歸樓,2
55,新破大宛歸樓上,2
56,姬笑門前問客稀,2
57,笑門前問客稀暮,2
58,門前問客稀暮烽,2
59,前問客稀暮烽玄,2
60,急秋草紫騮肥未,2
61,秋草紫騮肥未奉,2
62,草紫騮肥未奉君,2
63,紫騮肥未奉君王,2
64,騮肥未奉君王詔,2
65,肥未奉君王詔高,2
66,未奉君王詔高槐,2
67,奉君王詔高槐晝,2
68,君王詔高槐晝掩,2
69,王詔高槐晝掩扉,2
70,月明邊徼靜戍客,2
71,明邊徼靜戍客望,2
72,邊徼靜戍客望鄉,2
73,徼靜戍客望鄉時,2
74,靜戍客望鄉時塞,2
75,戍客望鄉時塞古,2
76,客望鄉時塞古柳,2
77,望鄉時塞古柳衰,2
78,鄉時塞古柳衰盡,2
79,時塞古柳衰盡關,2
80,塞古柳衰盡關寒,2
81,古柳衰盡關寒榆,2
82,柳衰盡關寒榆發,2
83,衰盡關寒榆發遲,2
84,盡關寒榆發遲蒼,2
85,關寒榆發遲蒼蒼,2
86,寒榆發遲蒼蒼萬,2
87,榆發遲蒼蒼萬里,2
88,發遲蒼蒼萬里道,2
89,遲蒼蒼萬里道戚,2
90,蒼蒼萬里道戚戚,2
91,蒼萬里道戚戚十,2
92,萬里道戚戚十年,2
93,里道戚戚十年悲,2
94,道戚戚十年悲今,2
95,戚戚十年悲今夜,2
96,戚十年悲今夜青,2
97,十年悲今夜青樓,2
98,年悲今夜青樓上,2
99,悲今夜青樓上還,2
100,今夜青樓上還應,2
101,夜青樓上還應照,2
102,青樓上還應照所,2
103,樓上還應照所思,2
104,雪下陽關路人稀,2
105,下陽關路人稀隴,2
106,陽關路人稀隴戍,2
107,關路人稀隴戍頭,2
108,路人稀隴戍頭封,2
109,人稀隴戍頭封狐,2
110,稀隴戍頭封狐猶,2
111,隴戍頭封狐猶未,2
112,邊將豈無羞白草,2
113,將豈無羞白草三,2
114,豈無羞白草三冬,2
115,無羞白草三冬色,2
116,羞白草三冬色黃,2
