排名,詞彙,出現次數
1,廬山桑落,2
2,巢燕燕來,1
3,燕燕來巢,1
4,燕來巢我,1
5,來巢我簷,1
6,巢我簷我,1
7,我簷我屋,1
8,簷我屋非,1
9,我屋非高,1
10,屋非高大,1
11,非高大所,1
12,高大所貴,1
13,大所貴兒,1
14,所貴兒童,1
15,貴兒童善,1
16,兒童善保,1
17,童善保爾,1
18,善保爾無,1
19,保爾無殃,1
20,爾無殃禍,1
21,無殃禍巢,1
22,殃禍巢燕,1
23,禍巢燕莫,1
24,巢燕莫巢,1
25,燕莫巢孀,1
26,莫巢孀婦,1
27,巢孀婦家,1
28,孀婦家孀,1
29,婦家孀婦,1
30,家孀婦怨,1
31,孀婦怨孤,1
32,婦怨孤坐,1
33,怨孤坐妒,1
34,孤坐妒爾,1
35,坐妒爾長,1
36,妒爾長雙,1
37,爾長雙飛,1
38,長雙飛打,1
39,雙飛打爾,1
40,飛打爾危,1
41,打爾危巢,1
42,爾危巢破,1
43,危巢破廬,1
44,巢破廬山,1
45,破廬山桑,1
46,山桑落莫,1
47,桑落莫問,1
48,落莫問桑,1
49,莫問桑田,1
50,問桑田事,1
51,桑田事但,1
52,田事但看,1
53,事但看桑,1
54,但看桑落,1
55,看桑落洲,1
56,桑落洲數,1
57,落洲數家,1
58,洲數家新,1
59,數家新住,1
60,家新住處,1
61,新住處昔,1
62,住處昔日,1
63,處昔日大,1
64,昔日大江,1
65,日大江流,1
66,大江流廬,1
67,江流廬山,1
68,流廬山桑,1
69,山桑落古,1
70,桑落古岸,1
71,落古岸崩,1
72,古岸崩欲,1
73,岸崩欲盡,1
74,崩欲盡平,1
75,欲盡平沙,1
76,盡平沙長,1
77,平沙長未,1
78,沙長未休,1
79,長未休想,1
80,未休想應,1
81,休想應百,1
82,想應百年,1
83,應百年後,1
84,百年後人,1
85,年後人世,1
86,後人世更,1
87,人世更悠,1
88,世更悠悠,1
89,更悠悠石,1
90,悠悠石楠,1
91,悠石楠樹,1
92,石楠樹本,1
93,楠樹本自,1
94,樹本自清,1
95,本自清江,1
96,自清江石,1
97,清江石上,1
98,江石上生,1
99,石上生移,1
100,上生移栽,1
101,生移栽此,1
102,移栽此處,1
103,栽此處稱,1
104,此處稱閒,1
105,處稱閒情,1
106,稱閒情青,1
107,閒情青雲,1
108,情青雲士,1
109,青雲士盡,1
110,雲士盡識,1
111,士盡識珍,1
112,盡識珍木,1
113,識珍木白,1
114,珍木白屋,1
115,木白屋人,1
116,白屋人多,1
117,屋人多喚,1
118,人多喚俗,1
119,多喚俗名,1
120,喚俗名重,1
121,俗名重布,1
122,名重布綠,1
123,重布綠陰,1
124,布綠陰滋,1
125,綠陰滋蘚,1
126,陰滋蘚色,1
127,滋蘚色深,1
128,蘚色深藏,1
129,色深藏好,1
130,深藏好鳥,1
131,藏好鳥引,1
132,好鳥引雛,1
133,鳥引雛聲,1
134,引雛聲石,1
135,雛聲石楠,1
136,聲石楠樹,1
137,石楠樹餘,1
138,楠樹餘今,1
139,樹餘今一,1
140,餘今一日,1
141,今一日千,1
142,一日千回,1
143,日千回看,1
144,千回看每,1
145,回看每度,1
146,看每度看,1
147,每度看來,1
148,度看來眼,1
149,看來眼益,1
150,來眼益明,1
151,眼益明句,1
152,益明句輪,1
153,明句輪中,1
154,句輪中別,1
155,輪中別有,1
156,中別有物,1
157,別有物光,1
158,有物光外,1
159,物光外更,1
160,光外更無,1
161,外更無空,1
