排名,詞彙,出現次數
1,澄心坐清境虛白,1
2,心坐清境虛白生,1
3,坐清境虛白生林,1
4,清境虛白生林端,1
5,境虛白生林端夜,1
6,虛白生林端夜靜,1
7,白生林端夜靜笑,1
8,生林端夜靜笑聲,1
9,林端夜靜笑聲出,1
10,端夜靜笑聲出月,1
11,夜靜笑聲出月明,1
12,靜笑聲出月明松,1
13,笑聲出月明松影,1
14,聲出月明松影寒,1
15,出月明松影寒絳,1
16,月明松影寒絳霞,1
17,明松影寒絳霞封,1
18,松影寒絳霞封藥,1
19,影寒絳霞封藥灶,1
20,寒絳霞封藥灶碧,1
21,絳霞封藥灶碧竇,1
22,霞封藥灶碧竇濺,1
23,封藥灶碧竇濺齋,1
24,藥灶碧竇濺齋壇,1
25,灶碧竇濺齋壇海,1
26,碧竇濺齋壇海樹,1
27,竇濺齋壇海樹幾,1
28,濺齋壇海樹幾回,1
29,齋壇海樹幾回老,1
30,壇海樹幾回老先,1
31,海樹幾回老先生,1
32,樹幾回老先生棋,1
33,幾回老先生棋未,1
34,回老先生棋未殘,1
35,老先生棋未殘松,1
36,先生棋未殘松老,1
37,生棋未殘松老赤,1
38,棋未殘松老赤松,1
39,未殘松老赤松原,1
40,殘松老赤松原松,1
41,松老赤松原松間,1
42,老赤松原松間廟,1
43,赤松原松間廟宛,1
44,松原松間廟宛然,1
45,原松間廟宛然人,1
46,松間廟宛然人皆,1
47,間廟宛然人皆有,1
48,廟宛然人皆有兄,1
49,宛然人皆有兄弟,1
50,然人皆有兄弟誰,1
51,人皆有兄弟誰得,1
52,皆有兄弟誰得共,1
53,有兄弟誰得共神,1
54,兄弟誰得共神仙,1
55,弟誰得共神仙雙,1
56,誰得共神仙雙鶴,1
57,得共神仙雙鶴沖,1
58,共神仙雙鶴沖天,1
59,神仙雙鶴沖天去,1
60,仙雙鶴沖天去群,1
61,雙鶴沖天去群羊,1
62,鶴沖天去群羊化,1
63,沖天去群羊化石,1
64,天去群羊化石眠,1
65,去群羊化石眠至,1
66,群羊化石眠至今,1
67,羊化石眠至今丹,1
68,化石眠至今丹井,1
69,石眠至今丹井水,1
70,眠至今丹井水香,1
71,至今丹井水香滿,1
72,今丹井水香滿北,1
73,丹井水香滿北山,1
74,井水香滿北山邊,1
