排名,詞彙,出現次數
1,題張道隱,2
2,詠王給事,2
3,詠傴背子,2
4,詠安仁宰,2
5,五門街望,2
6,謝郎中惠,2
7,住名山日,2
8,張道隱世,1
9,道隱世人,1
10,隱世人空,1
11,世人空解,1
12,人空解競,1
13,空解競丹,1
14,解競丹青,1
15,競丹青惟,1
16,丹青惟子,1
17,青惟子通,1
18,惟子通玄,1
19,子通玄得,1
20,通玄得墨,1
21,玄得墨靈,1
22,得墨靈應,1
23,墨靈應有,1
24,靈應有鬼,1
25,應有鬼神,1
26,有鬼神看,1
27,鬼神看下,1
28,神看下筆,1
29,看下筆豈,1
30,下筆豈無,1
31,筆豈無風,1
32,豈無風雨,1
33,無風雨助,1
34,風雨助成,1
35,雨助成形,1
36,助成形威,1
37,成形威疑,1
38,形威疑噴,1
39,威疑噴浪,1
40,疑噴浪歸,1
41,噴浪歸滄,1
42,浪歸滄海,1
43,歸滄海勢,1
44,滄海勢欲,1
45,海勢欲拏,1
46,勢欲拏雲,1
47,欲拏雲上,1
48,拏雲上杳,1
49,雲上杳冥,1
50,上杳冥題,1
51,杳冥題張,1
52,冥題張道,1
53,張道隱靜,1
54,道隱靜閉,1
55,隱靜閉綠,1
56,靜閉綠堂,1
57,閉綠堂深,1
58,綠堂深夜,1
59,堂深夜後,1
60,深夜後曉,1
61,夜後曉來,1
62,後曉來簾,1
63,曉來簾幕,1
64,來簾幕似,1
65,簾幕似聞,1
66,幕似聞腥,1
67,似聞腥詠,1
68,聞腥詠蠶,1
69,腥詠蠶辛,1
70,詠蠶辛勤,1
71,蠶辛勤得,1
72,辛勤得繭,1
73,勤得繭不,1
74,得繭不盈,1
75,繭不盈筐,1
76,不盈筐燈,1
77,盈筐燈下,1
78,筐燈下繅,1
79,燈下繅絲,1
80,下繅絲恨,1
81,繅絲恨更,1
82,絲恨更長,1
83,恨更長詠,1
84,更長詠蠶,1
85,長詠蠶著,1
86,詠蠶著處,1
87,蠶著處不,1
88,著處不知,1
89,處不知來,1
90,不知來處,1
91,知來處苦,1
92,來處苦但,1
93,處苦但貪,1
94,苦但貪衣,1
95,但貪衣上,1
96,貪衣上繡,1
97,衣上繡鴛,1
98,上繡鴛鴦,1
99,繡鴛鴦詠,1
100,鴛鴦詠王,1
101,鴦詠王給,1
102,王給事厥,1
103,給事厥父,1
104,事厥父元,1
105,厥父元非,1
106,父元非道,1
107,元非道郡,1
108,非道郡奴,1
109,道郡奴允,1
110,郡奴允光,1
111,奴允光何,1
112,允光何事,1
113,光何事太,1
114,何事太侏,1
115,事太侏儒,1
116,太侏儒詠,1
117,侏儒詠王,1
118,儒詠王給,1
119,王給事可,1
120,給事可中,1
121,事可中與,1
122,可中與個,1
123,中與個皮,1
124,與個皮褌,1
125,個皮褌著,1
126,皮褌著擎,1
127,褌著擎得,1
128,著擎得天,1
129,擎得天王,1
130,得天王左,1
131,天王左腳,1
132,王左腳無,1
133,左腳無詠,1
134,腳無詠金,1
135,無詠金剛,1
136,詠金剛揚,1
137,金剛揚眉,1
138,剛揚眉鬥,1
139,揚眉鬥目,1
140,眉鬥目惡,1
141,鬥目惡精,1
142,目惡精神,1
143,惡精神捏,1
144,精神捏合,1
145,神捏合將,1
146,捏合將來,1
147,合將來恰,1
148,將來恰似,1
149,來恰似真,1
150,恰似真詠,1
151,似真詠金,1
152,真詠金剛,1
153,詠金剛剛,1
154,金剛剛被,1
155,剛剛被時,1
156,剛被時流,1
157,被時流借,1
158,時流借拳,1
159,流借拳勢,1
160,借拳勢不,1
161,拳勢不知,1
162,勢不知身,1
163,不知身自,1
164,知身自是,1
165,身自是泥,1
166,自是泥人,1
167,是泥人詠,1
168,泥人詠傴,1
169,人詠傴背,1
170,傴背子出,1
171,背子出得,1
172,子出得門,1
173,出得門來,1
174,得門來背,1
175,門來背拄,1
176,來背拄天,1
177,背拄天同,1
178,拄天同行,1
179,天同行難,1
