排名,詞彙,出現次數
1,行,13
2,鴻,12
3,門,12
4,不,9
5,相,4
6,馬,4
7,人,3
8,曲,3
9,太,3
10,子,3
11,年,2
12,百,2
13,劍,2
14,秦,2
15,北,2
16,魏,2
17,暗,2
18,寶,2
19,云,2
20,聞,2
21,戰,2
22,將,2
23,軍,2
24,陵,2
25,遙,2
26,度,2
27,風,2
28,楚,2
29,歌,2
30,胡,2
31,夜,2
32,救,2
33,白,2
34,塵,2
35,飛,2
36,衣,2
37,淚,2
38,中,2
39,自,2
40,如,2
41,舊,2
42,終,2
43,惠,2
44,文,2
45,少,1
46,買,1
47,意,1
48,氣,1
49,金,1
50,辭,1
51,費,1
52,學,1
53,西,1
54,入,1
55,結,1
56,交,1
57,游,1
58,多,1
59,豪,1
60,與,1
61,代,1
62,亦,1
63,殊,1
64,倫,1
65,由,1
66,來,1
67,識,1
68,皆,1
69,是,1
70,親,1
71,青,1
72,絲,1
73,轡,1
74,狐,1
75,裘,1
76,貂,1
77,鼠,1
78,服,1
79,晨,1
80,過,1
81,劇,1
82,孟,1
83,遊,1
84,暮,1
85,投,1
86,咸,1
87,陽,1
88,宿,1
89,然,1
90,諾,1
91,本,1
92,諸,1
93,侯,1
94,莫,1
95,猶,1
96,思,1
97,術,1
98,更,1
99,逐,1
100,李,1
101,始,1
102,從,1
103,灞,1
104,下,1
105,朔,1
106,野,1
107,南,1
108,庭,1
109,見,1
110,秋,1
111,正,1
112,肥,1
113,邀,1
114,合,1
115,圍,1
116,酣,1
117,烽,1
118,火,1
119,滅,1
120,路,1
121,斷,1
122,兵,1
123,稀,1
124,刃,1
125,縱,1
126,橫,1
127,逼,1
128,黃,1
129,息,1
130,虜,1
131,騎,1
132,血,1
133,灑,1
134,單,1
135,于,1
136,沾,1
137,臆,1
138,獻,1
139,凱,1
140,雲,1
141,台,1
142,言,1
143,塞,1
144,上,1
145,雄,1
146,失,1
147,勢,1
148,部,1
149,遂,1
150,無,1
151,功,1
152,新,1
153,萬,1
154,里,1
155,長,1
156,飄,1
157,颻,1
158,十,1
159,計,1
160,就,1
161,棄,1
162,置,1
163,難,1
164,重,1
165,論,1
166,驅,1
167,看,1
168,漢,1
169,事,1
170,覺,1
171,昏,1
172,撫,1
173,悲,1
174,聊,1
175,舞,1
176,此,1
177,可,1
178,雨,1
179,寒,1
180,仗,1
181,丹,1
182,旄,1
183,引,1
184,陰,1
185,堂,1
186,日,1
187,違,1
188,燈,1
189,明,1
190,象,1
191,物,1
192,畫,1
193,水,1
194,濕,1
195,靈,1
196,羽,1
197,化,1
198,淮,1
199,王,1
200,去,1
201,仙,1
202,迎,1
203,歸,1
204,空,1
205,餘,1
206,燕,1
207,銜,1
208,士,1
209,朝,1
210,夕,1
211,向,1
