排名,詞彙,出現次數
1,禹貢通遠俗所圖,1
2,貢通遠俗所圖在,1
3,通遠俗所圖在安,1
4,遠俗所圖在安人,1
5,俗所圖在安人後,1
6,所圖在安人後王,1
7,圖在安人後王失,1
8,在安人後王失其,1
9,安人後王失其本,1
10,人後王失其本職,1
11,後王失其本職吏,1
12,王失其本職吏不,1
13,失其本職吏不敢,1
14,其本職吏不敢陳,1
15,本職吏不敢陳亦,1
16,職吏不敢陳亦有,1
17,吏不敢陳亦有奸,1
18,不敢陳亦有奸佞,1
19,敢陳亦有奸佞者,1
20,陳亦有奸佞者因,1
21,亦有奸佞者因茲,1
22,有奸佞者因茲欲,1
23,奸佞者因茲欲求,1
24,佞者因茲欲求伸,1
25,者因茲欲求伸動,1
26,因茲欲求伸動生,1
27,茲欲求伸動生千,1
28,欲求伸動生千金,1
29,求伸動生千金費,1
30,伸動生千金費日,1
31,動生千金費日使,1
32,生千金費日使萬,1
33,千金費日使萬姓,1
34,金費日使萬姓貧,1
35,費日使萬姓貧我,1
36,日使萬姓貧我來,1
37,使萬姓貧我來顧,1
38,萬姓貧我來顧渚,1
39,姓貧我來顧渚源,1
40,貧我來顧渚源得,1
41,我來顧渚源得與,1
42,來顧渚源得與茶,1
43,顧渚源得與茶事,1
44,渚源得與茶事親,1
45,源得與茶事親氓,1
46,得與茶事親氓輟,1
47,與茶事親氓輟耕,1
48,茶事親氓輟耕農,1
49,事親氓輟耕農耒,1
50,親氓輟耕農耒采,1
51,氓輟耕農耒采采,1
52,輟耕農耒采采實,1
53,耕農耒采采實苦,1
54,農耒采采實苦辛,1
55,耒采采實苦辛一,1
56,采采實苦辛一夫,1
57,采實苦辛一夫旦,1
58,實苦辛一夫旦當,1
59,苦辛一夫旦當役,1
60,辛一夫旦當役盡,1
61,一夫旦當役盡室,1
62,夫旦當役盡室皆,1
63,旦當役盡室皆同,1
64,當役盡室皆同臻,1
65,役盡室皆同臻捫,1
66,盡室皆同臻捫葛,1
67,室皆同臻捫葛上,1
68,皆同臻捫葛上欹,1
69,同臻捫葛上欹壁,1
70,臻捫葛上欹壁蓬,1
71,捫葛上欹壁蓬頭,1
72,葛上欹壁蓬頭入,1
73,上欹壁蓬頭入荒,1
74,欹壁蓬頭入荒榛,1
75,壁蓬頭入荒榛終,1
76,蓬頭入荒榛終朝,1
77,頭入荒榛終朝不,1
78,入荒榛終朝不盈,1
79,荒榛終朝不盈掬,1
80,榛終朝不盈掬手,1
81,終朝不盈掬手足,1
82,朝不盈掬手足皆,1
83,不盈掬手足皆鱗,1
84,盈掬手足皆鱗皴,1
85,掬手足皆鱗皴悲,1
86,手足皆鱗皴悲嗟,1
87,足皆鱗皴悲嗟遍,1
88,皆鱗皴悲嗟遍空,1
89,鱗皴悲嗟遍空山,1
90,皴悲嗟遍空山草,1
91,悲嗟遍空山草木,1
92,嗟遍空山草木為,1
93,遍空山草木為不,1
94,空山草木為不春,1
95,山草木為不春陰,1
96,草木為不春陰嶺,1
97,木為不春陰嶺芽,1
98,為不春陰嶺芽未,1
99,不春陰嶺芽未吐,1
100,春陰嶺芽未吐使,1
101,陰嶺芽未吐使者,1
102,嶺芽未吐使者牒,1
103,芽未吐使者牒已,1
104,未吐使者牒已頻,1
105,吐使者牒已頻心,1
106,使者牒已頻心爭,1
107,者牒已頻心爭造,1
108,牒已頻心爭造化,1
109,已頻心爭造化功,1
110,頻心爭造化功走,1
111,心爭造化功走挺,1
112,爭造化功走挺糜,1
113,造化功走挺糜鹿,1
114,化功走挺糜鹿均,1
115,功走挺糜鹿均選,1
116,走挺糜鹿均選納,1
117,挺糜鹿均選納無,1
118,糜鹿均選納無晝,1
119,鹿均選納無晝夜,1
120,均選納無晝夜搗,1
121,選納無晝夜搗聲,1
122,納無晝夜搗聲昏,1
123,無晝夜搗聲昏繼,1
124,晝夜搗聲昏繼晨,1
125,夜搗聲昏繼晨眾,1
126,搗聲昏繼晨眾工,1
127,聲昏繼晨眾工何,1
128,昏繼晨眾工何枯,1
129,繼晨眾工何枯櫨,1
130,晨眾工何枯櫨俯,1
131,眾工何枯櫨俯視,1
132,工何枯櫨俯視彌,1
133,何枯櫨俯視彌傷,1
134,枯櫨俯視彌傷神,1
135,櫨俯視彌傷神皇,1
136,俯視彌傷神皇帝,1
137,視彌傷神皇帝尚,1
138,彌傷神皇帝尚巡,1
139,傷神皇帝尚巡狩,1
140,神皇帝尚巡狩東,1
141,皇帝尚巡狩東郊,1
142,帝尚巡狩東郊路,1
143,尚巡狩東郊路多,1
144,巡狩東郊路多堙,1
145,狩東郊路多堙周,1
146,東郊路多堙周回,1
147,郊路多堙周回繞,1
148,路多堙周回繞天,1
149,多堙周回繞天涯,1
150,堙周回繞天涯所,1
151,周回繞天涯所獻,1
152,回繞天涯所獻愈,1
153,繞天涯所獻愈艱,1
154,天涯所獻愈艱勤,1
155,涯所獻愈艱勤況,1
156,所獻愈艱勤況減,1
157,獻愈艱勤況減兵,1
158,愈艱勤況減兵革,1
159,艱勤況減兵革困,1
160,勤況減兵革困重,1
161,況減兵革困重茲,1
162,減兵革困重茲固,1
163,兵革困重茲固疲,1
164,革困重茲固疲民,1
165,困重茲固疲民未,1
166,重茲固疲民未知,1
167,茲固疲民未知供,1
168,固疲民未知供禦,1
169,疲民未知供禦餘,1
170,民未知供禦餘誰,1
171,未知供禦餘誰合,1
172,知供禦餘誰合分,1
173,供禦餘誰合分此,1
174,禦餘誰合分此珍,1
175,餘誰合分此珍顧,1
176,誰合分此珍顧省,1
177,合分此珍顧省忝,1
178,分此珍顧省忝邦,1
179,此珍顧省忝邦守,1
180,珍顧省忝邦守又,1
181,顧省忝邦守又慚,1
182,省忝邦守又慚複,1
183,忝邦守又慚複因,1
184,邦守又慚複因循,1
185,守又慚複因循茫,1
186,又慚複因循茫茫,1
187,慚複因循茫茫滄,1
188,複因循茫茫滄海,1
189,因循茫茫滄海間,1
190,循茫茫滄海間丹,1
191,茫茫滄海間丹憤,1
192,茫滄海間丹憤何,1
