排名,詞彙,出現次數
1,樂賢聞,1
2,賢聞往,1
3,聞往誥,1
4,往誥褒,1
5,誥褒德,1
6,褒德偶,1
7,德偶茲,1
8,偶茲辰,1
9,茲辰端,1
10,辰端揆,1
11,端揆升,1
12,揆升元,1
13,升元老,1
14,元老師,1
15,老師謀,1
16,師謀擇,1
17,謀擇累,1
18,擇累仁,1
19,累仁紫,1
20,仁紫庭,1
21,紫庭崇,1
22,庭崇讓,1
23,崇讓畢,1
24,讓畢粉,1
25,畢粉署,1
26,粉署禮,1
27,署禮容,1
28,禮容陳,1
29,容陳既,1
30,陳既荷,1
31,既荷恩,1
32,荷恩榮,1
33,恩榮舊,1
34,榮舊俱,1
35,舊俱承,1
36,俱承寵,1
37,承寵命,1
38,寵命新,1
39,命新天,1
40,新天文,1
41,天文懸,1
42,文懸瑞,1
43,懸瑞色,1
44,瑞色聖,1
45,色聖酒,1
46,聖酒泛,1
47,酒泛華,1
48,泛華茵,1
49,華茵雜,1
50,茵雜遝,1
51,雜遝喧,1
52,遝喧簫,1
53,喧簫鼓,1
54,簫鼓歡,1
55,鼓歡娛,1
56,歡娛洽,1
57,娛洽搢,1
58,洽搢紳,1
59,搢紳掖,1
60,紳掖垣,1
61,掖垣招,1
62,垣招近,1
63,招近侍,1
64,近侍虛,1
65,侍虛薄,1
66,虛薄廁,1
67,薄廁清,1
68,廁清塵,1
69,清塵共,1
70,塵共保,1
71,共保堅,1
72,保堅貞,1
73,堅貞節,1
74,貞節常,1
75,節常期,1
76,常期雨,1
77,期雨露,1
78,雨露均,1
