排名,詞彙,出現次數
1,病來佳興少老,2
2,來佳興少老去,2
3,佳興少老去舊,2
4,興少老去舊遊,2
5,少老去舊遊稀,2
6,老去舊遊稀笑,2
7,去舊遊稀笑語,2
8,舊遊稀笑語縱,2
9,遊稀笑語縱橫,2
10,稀笑語縱橫作,2
11,笑語縱橫作杯,2
12,語縱橫作杯觴,2
13,縱橫作杯觴絡,2
14,橫作杯觴絡繹,2
15,作杯觴絡繹飛,2
16,不歸丹掖去銅,2
17,歸丹掖去銅竹,2
18,丹掖去銅竹漫,2
19,掖去銅竹漫云,2
20,去銅竹漫云云,2
21,喜因過我須知,2
22,因過我須知未,2
23,過我須知未賀,2
24,我須知未賀君,2
25,多謔浪此夕任,2
26,謔浪此夕任喧,2
27,浪此夕任喧紛,2
28,此夕任喧紛故,2
29,夕任喧紛故態,2
30,任喧紛故態猶,2
31,喧紛故態猶應,2
32,紛故態猶應在,2
33,故態猶應在行,2
34,態猶應在行期,2
35,猶應在行期未,2
36,應在行期未要,2
37,在行期未要聞,2
38,通三錫胤明兩,1
39,三錫胤明兩承,1
40,錫胤明兩承英,1
41,胤明兩承英太,1
42,明兩承英太山,1
43,兩承英太山比,1
44,承英太山比赫,1
45,英太山比赫伊,1
46,太山比赫伊水,1
47,山比赫伊水聞,1
48,比赫伊水聞笙,1
49,赫伊水聞笙宗,1
50,伊水聞笙宗祧,1
51,水聞笙宗祧是,1
52,聞笙宗祧是寄,1
53,笙宗祧是寄禮,1
54,宗祧是寄禮樂,1
55,祧是寄禮樂其,1
56,是寄禮樂其亨,1
57,寄禮樂其亨嘉,1
58,禮樂其亨嘉辰,1
59,樂其亨嘉辰薦,1
60,其亨嘉辰薦俎,1
61,亨嘉辰薦俎以,1
62,嘉辰薦俎以發,1
63,辰薦俎以發聲,1
64,薦俎以發聲明,1
65,俎以發聲明登,1
66,以發聲明登樓,1
67,發聲明登樓逃,1
68,聲明登樓逃盛,1
69,明登樓逃盛夏,1
70,登樓逃盛夏萬,1
71,樓逃盛夏萬象,1
72,逃盛夏萬象正,1
73,盛夏萬象正埃,1
74,夏萬象正埃塵,1
75,萬象正埃塵對,1
76,象正埃塵對面,1
77,正埃塵對面雷,1
78,埃塵對面雷嗔,1
79,塵對面雷嗔樹,1
80,對面雷嗔樹當,1
81,面雷嗔樹當街,1
82,雷嗔樹當街雨,1
83,嗔樹當街雨趁,1
84,樹當街雨趁人,1
85,當街雨趁人簷,1
86,街雨趁人簷疏,1
87,雨趁人簷疏蛛,1
88,趁人簷疏蛛網,1
89,人簷疏蛛網重,1
90,簷疏蛛網重地,1
91,疏蛛網重地濕,1
92,蛛網重地濕燕,1
93,網重地濕燕泥,1
94,重地濕燕泥新,1
95,地濕燕泥新吟,1
96,濕燕泥新吟罷,1
97,燕泥新吟罷清,1
98,泥新吟罷清風,1
99,新吟罷清風起,1
100,吟罷清風起荷,1
101,罷清風起荷香,1
102,清風起荷香滿,1
103,風起荷香滿四,1
104,起荷香滿四鄰,1
105,荷香滿四鄰聞,1
106,香滿四鄰聞君,1
107,滿四鄰聞君有,1
108,四鄰聞君有雙,1
109,鄰聞君有雙鶴,1
110,聞君有雙鶴羈,1
111,君有雙鶴羈旅,1
112,有雙鶴羈旅洛,1
113,雙鶴羈旅洛城,1
114,鶴羈旅洛城東,1
115,羈旅洛城東未,1
116,旅洛城東未放,1
117,洛城東未放歸,1
118,城東未放歸仙,1
119,東未放歸仙去,1
120,未放歸仙去何,1
121,放歸仙去何如,1
122,歸仙去何如乞,1
123,仙去何如乞老,1
124,去何如乞老翁,1
125,何如乞老翁且,1
126,如乞老翁且將,1
127,乞老翁且將臨,1
128,老翁且將臨野,1
129,翁且將臨野水,1
130,且將臨野水莫,1
131,將臨野水莫閉,1
132,臨野水莫閉在,1
133,野水莫閉在樊,1
134,水莫閉在樊籠,1
135,莫閉在樊籠好,1
136,閉在樊籠好是,1
137,在樊籠好是長,1
138,樊籠好是長鳴,1
139,籠好是長鳴處,1
140,好是長鳴處西,1
141,是長鳴處西園,1
142,長鳴處西園白,1
143,鳴處西園白露,1
144,處西園白露中,1
145,西園白露中出,1
146,園白露中出佐,1
147,白露中出佐青,1
148,露中出佐青油,1
149,中出佐青油幕,1
150,出佐青油幕來,1
151,佐青油幕來吟,1
152,青油幕來吟白,1
153,油幕來吟白雪,1
154,幕來吟白雪篇,1
155,來吟白雪篇須,1
156,吟白雪篇須為,1
157,白雪篇須為九,1
158,雪篇須為九皋,1
159,篇須為九皋鶴,1
160,須為九皋鶴莫,1
161,為九皋鶴莫上,1
162,九皋鶴莫上五,1
163,皋鶴莫上五湖,1
164,鶴莫上五湖船,1
165,莫上五湖船故,1
166,上五湖船故態,1
167,五湖船故態君,1
168,湖船故態君應,1
169,船故態君應在,1
170,故態君應在新,1
171,態君應在新詩,1
172,君應在新詩我,1
173,應在新詩我亦,1
174,在新詩我亦便,1
175,新詩我亦便元,1
176,詩我亦便元侯,1
177,我亦便元侯看,1
178,亦便元侯看再,1
179,便元侯看再入,1
180,元侯看再入好,1
181,侯看再入好被,1
182,看再入好被暫,1
183,再入好被暫流,1
184,入好被暫流連,1
185,好被暫流連滿,1
186,被暫流連滿城,1
187,暫流連滿城馳,1
188,流連滿城馳逐,1
189,連滿城馳逐皆,1
190,滿城馳逐皆求,1
191,城馳逐皆求馬,1
192,馳逐皆求馬古,1
193,逐皆求馬古寺,1
194,皆求馬古寺閑,1
195,求馬古寺閑行,1
196,馬古寺閑行獨,1
197,古寺閑行獨與,1
198,寺閑行獨與君,1
199,閑行獨與君代,1
200,行獨與君代步,1
