排名,詞彙,出現次數
1,風光草際,3
2,光草際澹,1
3,草際澹蕩,1
4,際澹蕩和,1
5,澹蕩和風,1
6,蕩和風至,1
7,和風至芊,1
8,風至芊綿,1
9,至芊綿碧,1
10,芊綿碧草,1
11,綿碧草長,1
12,碧草長徐,1
13,草長徐吹,1
14,長徐吹遙,1
15,徐吹遙撲,1
16,吹遙撲翠,1
17,遙撲翠半,1
18,撲翠半偃,1
19,翠半偃乍,1
20,半偃乍浮,1
21,偃乍浮光,1
22,乍浮光風,1
23,浮光風光,1
24,光風光草,1
25,光草際葉,1
26,草際葉似,1
27,際葉似翻,1
28,葉似翻宵,1
29,似翻宵露,1
30,翻宵露叢,1
31,宵露叢疑,1
32,露叢疑扇,1
33,叢疑扇夕,1
34,疑扇夕陽,1
35,扇夕陽逶,1
36,夕陽逶迤,1
37,陽逶迤明,1
38,逶迤明曲,1
39,迤明曲渚,1
40,明曲渚照,1
41,曲渚照耀,1
42,渚照耀滿,1
43,照耀滿回,1
44,耀滿回塘,1
45,滿回塘風,1
46,回塘風光,1
47,塘風光草,1
48,光草際白,1
49,草際白芷,1
50,際白芷生,1
51,白芷生還,1
52,芷生還暮,1
53,生還暮崇,1
54,還暮崇蘭,1
55,暮崇蘭泛,1
56,崇蘭泛更,1
57,蘭泛更香,1
58,泛更香誰,1
59,更香誰知,1
60,香誰知攬,1
61,誰知攬結,1
62,知攬結處,1
63,攬結處含,1
64,結處含思,1
65,處含思向,1
66,含思向餘,1
67,思向餘芳,1
