排名,詞彙,出現次數
1,為溫,2
2,溫僕,2
3,僕射,2
4,射竹,1
5,竹風,1
6,風吹,1
7,吹青,1
8,青肅,1
9,肅肅,1
10,肅淩,1
11,淩冬,1
12,冬葉,1
13,葉不,1
14,不凋,1
15,凋經,1
16,經春,1
17,春子,1
18,子不,1
19,不熟,1
20,熟為,1
21,射虛,1
22,虛心,1
23,心未,1
24,未得,1
25,得待,1
26,待國,1
27,國士,1
28,士皮,1
29,皮上,1
30,上何,1
31,何須,1
32,須生,1
33,生節,1
34,節目,1
35,目又,1
36,又嘲,1
37,嘲屏,1
38,屏牆,1
39,牆高,1
40,高下,1
41,下八,1
42,八九,1
43,九尺,1
44,尺東,1
45,東西,1
46,西六,1
47,六七,1
48,七步,1
49,步突,1
50,突兀,1
51,兀當,1
52,當廳,1
53,廳坐,1
54,坐幾,1
55,幾許,1
56,許遮,1
57,遮賢,1
58,賢路,1
