排名,詞彙,出現次數
1,光隨,3
2,展敬,3
3,德惟,3
4,高臺,2
5,臺暫,2
6,暫俯,2
7,俯臨,2
8,臨飛,2
9,飛翼,2
10,翼聳,2
11,聳輕,2
12,輕音,2
13,音浮,2
14,浮光,2
15,隨日,2
16,日度,2
17,度漾,2
18,漾影,2
19,影逐,2
20,逐波,2
21,波深,2
22,瞰周,2
23,周平,2
24,平野,2
25,野開,2
26,開懷,2
27,懷暢,2
28,暢遠,2
29,遠襟,2
30,襟獨,2
31,獨此,2
32,此三,2
33,三休,2
34,休上,2
35,上還,2
36,還傷,2
37,傷千,2
38,千歲,2
39,歲心,2
40,馨斯,2
41,靈心,2
42,玉帛,2
43,景福,2
44,時邕,2
45,玉幣,2
46,群生,2
47,敬禮,2
48,神之,2
49,之聽,2
50,文綴,2
51,幹戚,2
52,矣坤,2
53,土既,2
54,平萬,2
55,而能,2
56,厚載,2
57,城闉,2
58,誰能,2
59,深迥,1
60,迥瞰,1
61,心殷,1
62,殷薦,1
63,薦乘,1
64,乘春,1
65,春太,1
66,太壇,1
67,壇臨,1
68,臨曙,1
69,曙八,1
70,八簋,1
71,簋盈,1
72,盈和,1
73,和六,1
74,六瑚,1
75,瑚登,1
76,登禦,1
77,禦嘉,1
78,嘉稷,1
79,稷匪,1
80,匪歆,1
81,歆德,1
82,德馨,1
83,斯飫,1
84,飫祝,1
85,祝嘏,1
86,嘏無,1
87,無易,1
88,易靈,1
89,心有,1
90,有豫,1
91,豫玉,1
92,帛犧,1
93,犧牲,1
94,牲申,1
95,申敬,1
96,敬享,1
97,享金,1
98,金絲,1
99,絲戚,1
100,戚羽,1
101,羽盛,1
102,盛音,1
103,音容,1
104,容庶,1
105,庶俾,1
106,俾億,1
107,億齡,1
108,齡禔,1
109,禔景,1
110,福長,1
111,長欣,1
112,欣萬,1
113,萬宇,1
114,宇洽,1
115,洽時,1
116,邕象,1
117,象天,1
118,天禦,1
119,禦宇,1
120,宇乘,1
121,乘時,1
122,時布,1
123,布政,1
124,政嚴,1
125,嚴配,1
126,配申,1
127,申虔,1
128,虔宗,1
129,宗禋,1
130,禋展,1
131,敬樽,1
132,樽罍,1
133,罍盈,1
134,盈列,1
135,列樹,1
136,樹羽,1
137,羽交,1
138,交映,1
139,映玉,1
140,幣通,1
141,通誠,1
142,誠祚,1
143,祚隆,1
144,隆皇,1
145,皇聖,1
146,聖八,1
147,八牖,1
148,牖晨,1
149,晨披,1
150,披五,1
151,五精,1
152,精朝,1
153,朝奠,1
154,奠霧,1
155,霧凝,1
156,凝璿,1
157,璿篚,1
158,篚風,1
159,風清,1
160,清金,1
161,金懸,1
162,懸神,1
163,神滌,1
164,滌備,1
165,備全,1
166,全明,1
167,明粢,1
168,粢豐,1
169,豐衍,1
170,衍載,1
171,載絜,1
172,絜彝,1
173,彝俎,1
174,俎陳,1
175,陳誠,1
176,誠以,1
177,以薦,1
178,薦禦,1
179,禦扆,1
180,扆合,1
181,合宮,1
182,宮承,1
183,承寶,1
184,寶曆,1
185,曆席,1
186,席圖,1
187,圖重,1
188,重館,1
189,館奉,1
190,奉明,1
191,明靈,1
192,靈偃,1
193,偃武,1
194,武修,1
195,修文,1
196,文九,1
197,九圍,1
198,圍泰,1
199,泰沉,1
200,沉烽,1
201,烽靜,1
202,靜柝,1
203,柝八,1
204,八荒,1
205,荒寧,1
206,寧朱,1
207,朱鳥,1
208,鳥開,1
209,開辰,1
210,辰蒼,1
211,蒼龍,1
212,龍啟,1
213,啟映,1
214,映大,1
215,大帝,1
216,帝昭,1
217,昭饗,1
218,饗群,1
219,生展,1
220,禮備,1
221,備懷,1
222,懷柔,1
223,柔功,1
224,功宣,1
225,宣舞,1
226,舞詠,1
