排名,詞彙,出現次數
1,登樂游原,8
2,樂游原緬,1
3,游原緬惟,1
4,原緬惟漢,1
5,緬惟漢宣,1
6,惟漢宣帝,1
7,漢宣帝初,1
8,宣帝初謂,1
9,帝初謂皇,1
10,初謂皇曾,1
11,謂皇曾孫,1
12,皇曾孫雖,1
13,曾孫雖在,1
14,孫雖在繈,1
15,雖在繈褓,1
16,在繈褓中,1
17,繈褓中亦,1
18,褓中亦遭,1
19,中亦遭巫,1
20,亦遭巫蠱,1
21,遭巫蠱冤,1
22,巫蠱冤登,1
23,蠱冤登樂,1
24,冤登樂游,1
25,樂游原至,1
26,游原至哉,1
27,原至哉丙,1
28,至哉丙廷,1
29,哉丙廷尉,1
30,丙廷尉感,1
31,廷尉感激,1
32,尉感激義,1
33,感激義彌,1
34,激義彌敦,1
35,義彌敦馳,1
36,彌敦馳逐,1
37,敦馳逐蓮,1
38,馳逐蓮勺,1
39,逐蓮勺道,1
40,蓮勺道出,1
41,勺道出入,1
42,道出入諸,1
43,出入諸陵,1
44,入諸陵門,1
45,諸陵門登,1
46,陵門登樂,1
47,門登樂游,1
48,樂游原一,1
49,游原一朝,1
50,原一朝風,1
51,一朝風雲,1
52,朝風雲會,1
53,風雲會竟,1
54,雲會竟登,1
55,會竟登天,1
56,竟登天位,1
57,登天位尊,1
58,天位尊握,1
59,位尊握符,1
60,尊握符升,1
61,握符升寶,1
62,符升寶曆,1
63,升寶曆負,1
64,寶曆負扆,1
65,曆負扆禦,1
66,負扆禦華,1
67,扆禦華軒,1
68,禦華軒登,1
69,華軒登樂,1
70,軒登樂游,1
71,樂游原赫,1
72,游原赫奕,1
73,原赫奕文,1
74,赫奕文物,1
75,奕文物備,1
76,文物備葳,1
77,物備葳蕤,1
78,備葳蕤休,1
79,葳蕤休瑞,1
80,蕤休瑞繁,1
81,休瑞繁卒,1
82,瑞繁卒為,1
83,繁卒為中,1
84,卒為中興,1
85,為中興主,1
86,中興主垂,1
87,興主垂名,1
88,主垂名於,1
89,垂名於後,1
90,名於後昆,1
91,於後昆登,1
92,後昆登樂,1
93,昆登樂游,1
94,樂游原雄,1
95,游原雄圖,1
96,原雄圖奄,1
97,雄圖奄已,1
98,圖奄已謝,1
99,奄已謝餘,1
100,已謝餘址,1
101,謝餘址空,1
102,餘址空複,1
103,址空複存,1
104,空複存昔,1
105,複存昔為,1
106,存昔為樂,1
107,昔為樂游,1
108,為樂游苑,1
109,樂游苑今,1
110,游苑今為,1
111,苑今為狐,1
112,今為狐兔,1
113,為狐兔園,1
114,狐兔園登,1
115,兔園登樂,1
116,園登樂游,1
117,樂游原朝,1
118,游原朝見,1
119,原朝見牧,1
120,朝見牧豎,1
121,見牧豎集,1
122,牧豎集夕,1
123,豎集夕聞,1
124,集夕聞棲,1
125,夕聞棲鳥,1
126,聞棲鳥喧,1
127,棲鳥喧蕭,1
128,鳥喧蕭條,1
129,喧蕭條灞,1
130,蕭條灞亭,1
131,條灞亭岸,1
132,灞亭岸寂,1
133,亭岸寂寞,1
134,岸寂寞杜,1
135,寂寞杜陵,1
136,寞杜陵原,1
137,杜陵原登,1
138,陵原登樂,1
139,原登樂游,1
140,樂游原冪,1
141,游原冪野,1
142,原冪野煙,1
143,冪野煙起,1
144,野煙起蒼,1
145,煙起蒼茫,1
146,起蒼茫嵐,1
147,蒼茫嵐氣,1
148,茫嵐氣昏,1
149,嵐氣昏二,1
150,氣昏二曜,1
151,昏二曜屢,1
152,二曜屢回,1
153,曜屢回薄,1
154,屢回薄四,1
155,回薄四時,1
156,薄四時更,1
157,四時更涼,1
158,時更涼溫,1
159,更涼溫登,1
160,涼溫登樂,1
161,溫登樂游,1
162,樂游原天,1
163,游原天道,1
164,原天道尚,1
165,天道尚如,1
166,道尚如此,1
167,尚如此人,1
168,如此人理,1
169,此人理安,1
170,人理安可,1
171,理安可論,1
