排名,詞彙,出現次數
1,湖北雨初,1
2,北雨初晴,1
3,雨初晴湖,1
4,初晴湖南,1
5,晴湖南山,1
6,湖南山盡,1
7,南山盡見,1
8,山盡見岩,1
9,盡見岩岩,1
10,見岩岩石,1
11,岩岩石帆,1
12,岩石帆影,1
13,石帆影如,1
14,帆影如得,1
15,影如得海,1
16,如得海風,1
17,得海風便,1
18,海風便仙,1
19,風便仙穴,1
20,便仙穴茅,1
21,仙穴茅山,1
22,穴茅山峰,1
23,茅山峰彩,1
24,山峰彩雲,1
25,峰彩雲時,1
26,彩雲時一,1
27,雲時一見,1
28,時一見邀,1
29,一見邀君,1
30,見邀君共,1
31,邀君共探,1
32,君共探此,1
33,共探此異,1
34,探此異籙,1
35,此異籙殘,1
36,異籙殘幾,1
37,籙殘幾卷,1
38,殘幾卷晴,1
39,幾卷晴日,1
40,卷晴日暖,1
41,晴日暖珠,1
42,日暖珠箔,1
43,暖珠箔夭,1
44,珠箔夭桃,1
45,箔夭桃色,1
46,夭桃色正,1
47,桃色正新,1
48,色正新紅,1
49,正新紅粉,1
50,新紅粉青,1
51,紅粉青鏡,1
52,粉青鏡中,1
53,青鏡中娟,1
54,鏡中娟娟,1
55,中娟娟可,1
56,娟娟可憐,1
57,娟可憐嚬,1
58,可憐嚬君,1
59,憐嚬君子,1
60,嚬君子在,1
61,君子在遐,1
62,子在遐險,1
63,在遐險蕙,1
64,遐險蕙心,1
65,險蕙心誰,1
66,蕙心誰見,1
67,心誰見珍,1
68,誰見珍羅,1
69,見珍羅幕,1
70,珍羅幕空,1
71,羅幕空掩,1
72,幕空掩晝,1
73,空掩晝玉,1
74,掩晝玉顏,1
75,晝玉顏靜,1
76,玉顏靜移,1
77,顏靜移春,1
78,靜移春江,1
79,移春江瑟,1
80,春江瑟語,1
81,江瑟語幽,1
82,瑟語幽獨,1
83,語幽獨再,1
84,幽獨再三,1
85,獨再三情,1
86,再三情未,1
87,三情未申,1
88,情未申黃,1
89,未申黃鵠,1
90,申黃鵠千,1
91,黃鵠千里,1
92,鵠千里翅,1
93,千里翅芳,1
94,里翅芳音,1
95,翅芳音遲,1
96,芳音遲所,1
97,音遲所因,1
98,遲所因朔,1
99,所因朔胡,1
100,因朔胡乘,1
101,朔胡乘月,1
102,胡乘月寇,1
103,乘月寇邊,1
104,月寇邊城,1
105,寇邊城軍,1
106,邊城軍書,1
107,城軍書插,1
108,軍書插羽,1
109,書插羽刺,1
110,插羽刺中,1
111,羽刺中京,1
112,刺中京天,1
113,中京天子,1
114,京天子金,1
115,天子金壇,1
116,子金壇拜,1
117,金壇拜飛,1
118,壇拜飛將,1
119,拜飛將單,1
120,飛將單于,1
121,將單于玉,1
122,單于玉塞,1
123,于玉塞振,1
124,玉塞振佳,1
125,塞振佳兵,1
126,振佳兵騎,1
127,佳兵騎射,1
128,兵騎射先,1
129,騎射先鳴,1
130,射先鳴推,1
131,先鳴推任,1
132,鳴推任俠,1
133,推任俠龍,1
134,任俠龍韜,1
135,俠龍韜決,1
136,龍韜決勝,1
137,韜決勝佇,1
138,決勝佇時,1
139,勝佇時英,1
140,佇時英聞,1
141,時英聞有,1
142,英聞有河,1
143,聞有河湟,1
144,有河湟客,1
145,河湟客愔,1
146,湟客愔愔,1
147,客愔愔理,1
148,愔愔理帷,1
149,愔理帷帟,1
150,理帷帟常,1
151,帷帟常山,1
152,帟常山啟,1
153,常山啟霸,1
154,山啟霸圖,1
155,啟霸圖汜,1
156,霸圖汜水,1
157,圖汜水先,1
158,汜水先天,1
159,水先天策,1
160,先天策銜,1
161,天策銜珠,1
162,策銜珠浴,1
163,銜珠浴鐵,1
164,珠浴鐵向,1
165,浴鐵向桑,1
166,鐵向桑幹,1
167,向桑幹釁,1
168,桑幹釁旗,1
169,幹釁旗膏,1
170,釁旗膏劍,1
171,旗膏劍指,1
172,膏劍指烏,1
173,劍指烏丸,1
174,指烏丸鳴,1
175,烏丸鳴雞,1
176,丸鳴雞已,1
177,鳴雞已報,1
178,雞已報關,1
179,已報關山,1
180,報關山曉,1
181,關山曉來,1
182,山曉來雁,1
183,曉來雁遙,1
184,來雁遙傳,1
185,雁遙傳沙,1
186,遙傳沙塞,1
187,傳沙塞寒,1
188,沙塞寒直,1
189,塞寒直為,1
190,寒直為甘,1
191,直為甘心,1
192,為甘心從,1
193,甘心從苦,1
194,心從苦節,1
195,從苦節隴,1
196,苦節隴頭,1
197,節隴頭流,1
198,隴頭流水,1
199,頭流水鳴,1
200,流水鳴嗚,1
201,水鳴嗚咽,1
202,鳴嗚咽邊,1
203,嗚咽邊樹,1
204,咽邊樹蕭,1
205,邊樹蕭蕭,1
206,樹蕭蕭不,1
207,蕭蕭不覺,1
208,蕭不覺春,1
209,不覺春天,1
210,覺春天山,1
211,春天山漠,1
212,天山漠漠,1
213,山漠漠長,1
214,漠漠長飛,1
215,漠長飛雪,1
216,長飛雪魚,1
217,飛雪魚麗,1
218,雪魚麗陣,1
219,魚麗陣接,1
220,麗陣接塞,1
221,陣接塞雲,1
222,接塞雲平,1
223,塞雲平雁,1
224,雲平雁翼,1
225,平雁翼營,1
226,雁翼營通,1
227,翼營通海,1
228,營通海月,1
229,通海月明,1
230,海月明始,1
231,月明始看,1
232,明始看晉,1
233,始看晉幕,1
234,看晉幕飛,1
235,晉幕飛鵝,1
236,幕飛鵝入,1
237,飛鵝入旋,1
238,鵝入旋聞,1
239,入旋聞齊,1
240,旋聞齊壘,1
241,聞齊壘啼,1
242,齊壘啼烏,1
243,壘啼烏聲,1
244,啼烏聲自,1
245,烏聲自從,1
246,聲自從一,1
247,自從一戍,1
248,從一戍燕,1
249,一戍燕支,1
250,戍燕支山,1
251,燕支山春,1
252,支山春光,1
253,山春光幾,1
254,春光幾度,1
255,光幾度晉,1
256,幾度晉陽,1
257,度晉陽關,1
258,晉陽關金,1
259,陽關金河,1
260,關金河未,1
261,金河未轉,1
262,河未轉青,1
263,未轉青絲,1
264,轉青絲騎,1
265,青絲騎玉,1
266,絲騎玉箸,1
267,騎玉箸應,1
268,玉箸應啼,1
269,箸應啼紅,1
270,應啼紅粉,1
271,啼紅粉顏,1
272,紅粉顏鴻,1
273,粉顏鴻歸,1
274,顏鴻歸燕,1
275,鴻歸燕相,1
276,歸燕相續,1
277,燕相續池,1
278,相續池邊,1
279,續池邊芳,1
280,池邊芳草,1
281,邊芳草綠,1
282,芳草綠已,1
283,草綠已見,1
284,綠已見氛,1
285,已見氛清,1
286,見氛清細,1
287,氛清細柳,1
288,清細柳營,1
289,細柳營莫,1
290,柳營莫更,1
291,營莫更春,1
292,莫更春歌,1
293,更春歌落,1
294,春歌落梅,1
295,歌落梅曲,1
296,落梅曲烽,1
297,梅曲烽沉,1
298,曲烽沉灶,1
299,烽沉灶減,1
300,沉灶減靜,1
301,灶減靜邊,1
302,減靜邊亭,1
303,靜邊亭海,1
304,邊亭海晏,1
305,亭海晏山,1
306,海晏山空,1
307,晏山空肅,1
308,山空肅已,1
309,空肅已寧,1
310,肅已寧行,1
311,已寧行望,1
312,寧行望鳳,1
313,行望鳳京,1
314,望鳳京旋,1
315,鳳京旋凱,1
316,京旋凱捷,1
317,旋凱捷重,1
318,凱捷重來,1
319,捷重來麟,1
320,重來麟閣,1
321,來麟閣畫,1
322,麟閣畫丹,1
323,閣畫丹青,1
324,畫丹青鄉,1
325,丹青鄉關,1
326,青鄉關眇,1
327,鄉關眇天,1
328,關眇天末,1
329,眇天末引,1
330,天末引領,1
331,末引領悵,1
332,引領悵懷,1
333,領悵懷歸,1
334,悵懷歸羈,1
335,懷歸羈旅,1
336,歸羈旅久,1
337,羈旅久淫,1
338,旅久淫滯,1
339,久淫滯物,1
340,淫滯物色,1
341,滯物色屢,1
342,物色屢芳,1
343,色屢芳菲,1
344,屢芳菲稍,1
345,芳菲稍覺,1
346,菲稍覺出,1
347,稍覺出意,1
348,覺出意盡,1
349,出意盡行,1
350,意盡行看,1
351,盡行看蓬,1
352,行看蓬鬢,1
353,看蓬鬢稀,1
354,蓬鬢稀如,1
355,鬢稀如何,1
356,稀如何千,1
357,如何千裏,1
358,何千裏外,1
359,千裏外佇,1
360,裏外佇立,1
361,外佇立沾,1
362,佇立沾裳,1
363,立沾裳衣,1
364,沾裳衣暝,1
365,裳衣暝上,1
366,衣暝上春,1
367,暝上春山,1
368,上春山閣,1
369,春山閣梯,1
370,山閣梯雲,1
371,閣梯雲宿,1
372,梯雲宿半,1
373,雲宿半空,1
374,宿半空軒,1
375,半空軒窗,1
376,空軒窗閉,1
377,軒窗閉潮,1
378,窗閉潮海,1
379,閉潮海枕,1
380,潮海枕席,1
381,海枕席拂,1
382,枕席拂煙,1
383,席拂煙虹,1
384,拂煙虹朱,1
385,煙虹朱網,1
