排名,詞彙,出現次數
1,征途幾,1
2,途幾迢,1
3,幾迢遞,1
4,迢遞客,1
5,遞客子,1
6,客子倦,1
7,子倦西,1
8,倦西東,1
9,西東乘,1
10,東乘流,1
11,乘流如,1
12,流如泛,1
13,如泛梗,1
14,泛梗逐,1
15,梗逐吹,1
16,逐吹似,1
17,吹似驚,1
18,似驚蓬,1
19,驚蓬飄,1
20,蓬飄颻,1
21,飄颻萬,1
22,颻萬里,1
23,萬里外,1
24,里外辛,1
25,外辛苦,1
26,辛苦百,1
27,苦百年,1
28,百年中,1
29,年中異,1
30,中異縣,1
31,異縣心,1
32,縣心期,1
33,心期阻,1
34,期阻他,1
35,阻他鄉,1
36,他鄉風,1
37,鄉風月,1
38,風月同,1
39,月同雲,1
40,同雲歸,1
41,雲歸全,1
42,歸全嶺,1
43,全嶺暗,1
44,嶺暗日,1
45,暗日落,1
46,日落半,1
47,落半江,1
48,半江紅,1
49,江紅自,1
50,紅自然,1
51,自然堪,1
52,然堪迸,1
53,堪迸淚,1
54,迸淚非,1
55,淚非是,1
56,非是泣,1
57,是泣途,1
58,泣途窮,1
