排名,詞彙,出現次數
1,九華山岩,1
2,華山岩翠,1
3,山岩翠淩,1
4,岩翠淩雲,1
5,翠淩雲出,1
6,淩雲出迥,1
7,雲出迥然,1
8,出迥然岧,1
9,迥然岧嶢,1
10,然岧嶢萬,1
11,岧嶢萬丈,1
12,嶢萬丈倚,1
13,萬丈倚秋,1
14,丈倚秋天,1
15,倚秋天暮,1
16,秋天暮風,1
17,天暮風飄,1
18,暮風飄送,1
19,風飄送當,1
20,飄送當軒,1
21,送當軒色,1
22,當軒色曉,1
23,軒色曉霧,1
24,色曉霧斜,1
25,曉霧斜飛,1
26,霧斜飛入,1
27,斜飛入檻,1
28,飛入檻煙,1
29,入檻煙簾,1
30,檻煙簾卷,1
31,煙簾卷倚,1
32,簾卷倚屏,1
33,卷倚屏雙,1
34,倚屏雙影,1
35,屏雙影聚,1
36,雙影聚鏡,1
37,影聚鏡開,1
38,聚鏡開朱,1
39,鏡開朱戶,1
40,開朱戶九,1
41,朱戶九條,1
42,戶九條懸,1
43,九條懸九,1
44,條懸九華,1
45,懸九華山,1
46,九華山畫,1
47,華山畫圖,1
48,山畫圖何,1
49,畫圖何必,1
50,圖何必家,1
51,何必家家,1
52,必家家有,1
53,家家有自,1
54,家有自有,1
55,有自有畫,1
56,自有畫圖,1
57,有畫圖來,1
58,畫圖來目,1
59,圖來目前,1
