排名,詞彙,出現次數
1,人,8
2,風,7
3,君,7
4,不,6
5,何,6
6,知,6
7,月,6
8,有,6
9,聞,5
10,得,5
11,春,5
12,心,5
13,向,4
14,長,4
15,重,4
16,日,4
17,來,4
18,一,4
19,色,4
20,池,4
21,氣,4
22,水,4
23,空,4
24,開,4
25,塵,3
26,年,3
27,玉,3
28,將,3
29,已,3
30,漢,3
31,家,3
32,子,3
33,葉,3
34,無,3
35,香,3
36,中,3
37,自,3
38,時,3
39,南,3
40,枝,3
41,花,3
42,拂,3
43,未,3
44,處,3
45,塞,2
46,飛,2
47,頻,2
48,死,2
49,苦,2
50,金,2
51,微,2
52,老,2
53,仍,2
54,酒,2
55,榮,2
56,身,2
57,雨,2
58,濕,2
59,軒,2
60,回,2
61,相,2
62,府,2
63,門,2
64,吹,2
65,光,2
66,蘭,2
67,秋,2
68,作,2
69,言,2
70,是,2
71,郎,2
72,江,2
73,沉,2
74,雙,2
75,竹,2
76,壞,2
77,畫,2
78,霜,2
79,為,2
80,殺,2
81,始,2
82,更,2
83,柳,2
84,被,2
85,青,2
86,綠,2
87,同,2
88,此,2
89,極,2
90,望,2
91,複,2
92,與,2
93,結,2
94,嚴,2
95,歌,2
96,枕,2
97,夜,2
98,兩,2
99,蕊,2
100,盈,2
101,莫,2
102,衣,2
103,愁,2
104,凜,2
105,依,2
106,過,2
107,裏,2
108,若,2
109,教,2
110,世,2
111,間,2
112,離,2
113,聲,2
114,滿,2
115,還,2
116,野,2
117,閑,2
118,看,2
119,物,2
120,濟,2
121,半,2
122,外,1
123,虜,1
124,出,1
125,武,1
126,威,1
127,生,1
128,隨,1
129,劍,1
130,辛,1
131,久,1
132,戍,1
133,征,1
134,馬,1
135,肥,1
136,泉,1
137,郡,1
138,合,1
139,數,1
140,圍,1
141,俗,1
142,吏,1
143,三,1
144,足,1
145,論,1
146,每,1
147,辱,1
148,在,1
149,朝,1
150,昏,1
151,才,1
152,易,1
153,賤,1
154,難,1
155,酬,1
156,己,1
157,恩,1
158,御,1
159,苑,1
160,殘,1
161,鶯,1
162,啼,1
163,落,1
164,黃,1
165,山,1
166,細,1
167,歸,1
168,首,1
169,丞,1
170,昨,1
171,誰,1
172,掃,1
173,太,1
174,擅,1
175,元,1
176,良,1
177,宮,1
178,臣,1
179,命,1
180,偉,1
181,除,1
182,辭,1
183,會,1
184,直,1
185,宿,1
186,總,1
187,書,1
188,坊,1
189,露,1
190,幽,1
191,岩,1
192,桂,1
193,便,1
194,坐,1
195,桑,1
196,閣,1
197,連,1
198,雲,1
199,帶,1
200,荷,1
201,枯,1
202,遙,1
203,興,1
204,晉,1
205,上,1
206,林,1
207,亦,1
208,嫁,1
209,單,1
210,于,1
211,國,1
212,銜,1
213,掖,1
214,悲,1
215,容,1
216,顏,1
217,憔,1
218,悴,1
219,甚,1
220,圖,1
221,厭,1
222,踐,1
223,冰,1
224,域,1
225,嗟,1
226,邊,1
227,思,1
228,從,1
229,漠,1
230,獵,1
231,見,1
232,河,1
233,信,1
234,傳,1
235,師,1
236,念,1
237,肯,1
238,惜,1
239,蛾,1
240,眉,1
241,陌,1
242,頭,1
243,楊,1
244,妾,1
245,正,1
246,斷,1
247,絕,1
248,懷,1
249,那,1
250,樓,1
251,含,1
252,起,1
253,贈,1
254,殷,1
255,勤,1
256,邀,1
257,歡,1
258,佇,1
259,立,1
260,美,1
261,顧,1
262,采,1
263,菱,1
264,密,1
265,遇,1
266,辟,1
267,惡,1
268,茱,1
269,萸,1
270,囊,1
271,延,1
272,菊,1
273,綢,1
274,繆,1
275,丹,1
276,北,1
277,升,1
278,至,1
279,溫,1
280,謝,1
281,調,1
282,絲,1
283,競,1
284,短,1
285,憐,1
286,帷,1
287,橫,1
288,翡,1
289,翠,1
290,卷,1
291,鴛,1
292,鴦,1
293,婉,1
294,態,1
295,宛,1
296,轉,1
297,王,1
298,床,1
299,二,1
300,芳,1
301,遊,1
302,曉,1
303,吐,1
304,紅,1
305,行,1
306,改,1
307,幸,1
308,移,1
309,陽,1
310,遽,1
311,多,1
312,意,1
313,唯,1
314,願,1
315,十,1
316,陰,1
317,盛,1
318,下,1
319,台,1
320,羅,1
321,羞,1
322,解,1
323,綺,1
324,帳,1
325,待,1
326,銀,1
327,箭,1
328,籌,1
329,緩,1
330,爐,1
331,幾,1
332,使,1
333,炭,1
334,成,1
335,灰,1
336,高,1
337,梧,1
338,影,1
339,暗,1
340,眾,1
341,類,1
342,爭,1
343,達,1
344,到,1
345,前,1
346,吟,1
347,朱,1
348,耳,1
349,笙,1
350,聽,1
351,聚,1
352,散,1
353,虛,1
354,去,1
355,倚,1
356,筇,1
357,根,1
358,蔽,1
359,遮,1
360,星,1
361,萬,1
362,端,1
363,縱,1
364,汲,1
365,引,1
366,味,1
367,清,1
368,澄,1
369,冷,1
370,浸,1
371,寒,1
372,輪,1
373,鑿,1
374,當,1
375,要,1
376,路,1
377,常,1
378,往,1
379,道,1
380,勝,1
381,於,1
382,草,1
383,實,1
384,曾,1
385,民,1
386,卻,1
387,笑,1
388,田,1
389,禾,1
390,黍,1
391,弦,1
392,管,1
393,豔,1
394,襟,1
395,杯,1
396,繞,1
397,共,1
398,蝶,1
399,徘,1
400,徊,1
401,目,1
402,惆,1
403,悵,1
404,欲,1
405,披,1
406,臉,1
407,膩,1
408,熏,1
409,似,1
410,情,1
411,比,1
412,輕,1
413,湘,1
414,妃,1
415,後,1
416,碧,1
417,盤,1
418,弄,1
419,晶,1
