排名,詞彙,出現次數
1,巫山淩,2
2,山淩太,2
3,淩太清,2
4,太清岧,2
5,清岧嶢,2
6,岧嶢類,2
7,嶢類削,2
8,類削成,2
9,削成霏,2
10,成霏霏,2
11,霏霏暮,2
12,霏暮雨,2
13,暮雨合,2
14,雨合靄,2
15,合靄靄,2
16,靄靄朝,2
17,靄朝雲,2
18,朝雲生,2
19,雲生危,2
20,生危峰,2
21,危峰入,2
22,峰入鳥,2
23,入鳥道,2
24,鳥道深,2
25,道深谷,2
26,猿聲別,2
27,聲別有,2
28,別有幽,2
29,有幽棲,2
30,幽棲客,2
31,棲客淹,2
32,客淹留,2
33,淹留攀,2
34,留攀桂,2
35,攀桂情,2
36,深谷瀉,1
37,谷瀉猿,1
38,瀉猿聲,1
39,桂情嚴,1
40,情嚴平,1
41,嚴平本,1
42,平本高,1
43,本高尚,1
44,高尚遠,1
45,尚遠蹈,1
46,遠蹈古,1
47,蹈古人,1
48,古人風,1
49,人風賣,1
50,風賣卜,1
51,賣卜成,1
52,卜成都,1
53,成都市,1
54,都市流,1
55,市流名,1
56,流名大,1
57,名大漢,1
58,大漢中,1
59,漢中舊,1
60,中舊井,1
61,舊井改,1
62,井改人,1
63,改人世,1
64,人世寒,1
65,世寒泉,1
66,寒泉久,1
67,泉久不,1
68,久不通,1
69,不通年,1
70,通年多,1
71,年多既,1
72,多既罷,1
73,既罷汲,1
74,罷汲無,1
75,汲無禽,1
76,無禽乃,1
77,禽乃遂,1
78,乃遂空,1
79,遂空如,1
80,空如何,1
81,如何屬,1
82,何屬秋,1
83,屬秋氣,1
84,秋氣唯,1
85,氣唯見,1
86,唯見落,1
87,見落雙,1
88,落雙桐,1
89,雙桐步,1
90,桐步登,1
91,步登北,1
92,登北邙,1
93,北邙阪,1
94,邙阪踟,1
95,阪踟躕,1
96,踟躕聊,1
97,躕聊寫,1
98,聊寫望,1
99,寫望宛,1
100,望宛洛,1
101,宛洛盛,1
102,洛盛皇,1
103,盛皇居,1
104,皇居規,1
105,居規模,1
106,規模窮,1
107,模窮大,1
108,窮大壯,1
109,大壯三,1
110,壯三河,1
111,三河分,1
112,河分設,1
113,分設險,1
114,設險兩,1
115,險兩崤,1
116,兩崤資,1
117,崤資巨,1
118,資巨防,1
119,巨防飛,1
120,防飛觀,1
121,飛觀紫,1
122,觀紫煙,1
123,紫煙中,1
124,煙中層,1
125,中層台,1
126,層台碧,1
127,台碧雲,1
128,碧雲上,1
129,雲上青,1
130,上青槐,1
131,青槐夾,1
132,槐夾馳,1
133,夾馳道,1
134,馳道迢,1
135,道迢迢,1
136,迢迢修,1
137,迢修且,1
138,修且曠,1
139,且曠左,1
140,曠左右,1
141,左右多,1
142,右多第,1
143,多第宅,1
144,第宅參,1
145,宅參差,1
146,參差居,1
147,差居將,1
148,居將相,1
149,將相清,1
150,相清晨,1
151,清晨謁,1
152,晨謁帝,1
153,謁帝返,1
154,帝返車,1
155,返車馬,1
156,車馬相,1
157,馬相追,1
158,相追訪,1
159,追訪胥,1
160,訪胥徒,1
161,胥徒各,1
162,徒各異,1
163,各異流,1
164,異流文,1
165,流文物,1
166,文物紛,1
167,物紛殊,1
168,紛殊狀,1
169,殊狀囂,1
170,狀囂塵,1
171,囂塵暗,1
172,塵暗天,1
173,暗天起,1
174,天起簫,1
175,起簫管,1
176,簫管從,1
177,管從風,1
178,從風颺,1
179,風颺伊,1
180,颺伊余,1
181,伊余孤,1
182,余孤且,1
183,孤且直,1
184,且直生,1
185,直生平,1
186,生平獨,1
187,平獨淪,1
188,獨淪喪,1
189,淪喪山,1
190,喪山幽,1
191,山幽有,1
192,幽有桂,1
193,有桂叢,1
194,桂叢何,1
195,叢何為,1
196,何為坐,1
197,為坐惆,1
198,坐惆悵,1
199,惆悵巫,1
200,悵巫山,1
201,深谷寫,1
202,谷寫猿,1
203,寫猿聲,1
204,桂情初,1
205,情初笄,1
206,初笄夢,1
207,笄夢桃,1
208,夢桃李,1
209,桃李新,1
210,李新妝,1
211,新妝應,1
212,妝應摽,1
213,應摽梅,1
214,摽梅疑,1
215,梅疑逐,1
216,疑逐朝,1
217,逐朝雲,1
218,朝雲去,1
219,雲去翻,1
220,去翻隨,1
221,翻隨暮,1
222,隨暮雨,1
223,暮雨來,1
224,雨來雜,1
225,來雜佩,1
226,雜佩含,1
227,佩含風,1
228,含風響,1
229,風響叢,1
230,響叢花,1
231,叢花隔,1
232,花隔扇,1
233,隔扇開,1
234,扇開姮,1
235,開姮娥,1
236,姮娥對,1
237,娥對此,1
238,對此夕,1
239,此夕何,1
240,夕何用,1
241,何用久,1
242,用久裴,1
243,久裴回,1
244,裴回獨,1
245,回獨負,1
246,獨負千,1
247,負千金,1
248,千金價,1
249,金價應,1
250,價應從,1
251,應從買,1
252,從買笑,1
253,買笑來,1
254,笑來只,1
255,來只持,1
256,只持難,1
257,持難發,1
258,難發口,1
259,發口經,1
260,口經為,1
261,經為幾,1
262,為幾人,1
263,幾人開,1
