排名,詞彙,出現次數
1,小閣愜,1
2,閣愜幽,1
3,愜幽尋,1
4,幽尋周,1
5,尋周遭,1
6,周遭萬,1
7,遭萬竹,1
8,萬竹森,1
9,竹森誰,1
10,森誰知,1
11,誰知一,1
12,知一沼,1
13,一沼內,1
14,沼內亦,1
15,內亦有,1
16,亦有五,1
17,有五湖,1
18,五湖心,1
19,湖心釣,1
20,心釣直,1
21,釣直魚,1
22,直魚應,1
23,魚應笑,1
24,應笑身,1
25,笑身閑,1
26,身閑樂,1
27,閑樂自,1
28,樂自深,1
29,自深晚,1
30,深晚來,1
31,晚來春,1
32,來春醉,1
33,春醉熟,1
34,醉熟香,1
35,熟香餌,1
36,香餌任,1
37,餌任浮,1
38,任浮沈,1
39,浮沈世,1
40,沈世間,1
41,世間泉,1
42,間泉石,1
43,泉石本,1
44,石本無,1
45,本無價,1
46,無價那,1
47,價那更,1
48,那更天,1
49,更天然,1
50,天然落,1
51,然落景,1
52,落景中,1
53,景中漢,1
54,中漢佩,1
55,漢佩琮,1
56,佩琮琤,1
57,琮琤寒,1
58,琤寒溜,1
59,寒溜雨,1
60,溜雨秦,1
61,雨秦簫,1
62,秦簫縹,1
63,簫縹緲,1
64,縹緲夜,1
65,緲夜敲,1
66,夜敲風,1
67,敲風一,1
68,風一方,1
69,一方清,1
70,方清氣,1
71,清氣群,1
72,氣群陰,1
73,群陰伏,1
74,陰伏半,1
75,伏半局,1
76,半局閑,1
77,局閑棋,1
78,閑棋萬,1
79,棋萬慮,1
80,萬慮空,1
81,慮空借,1
82,空借問,1
83,借問主,1
84,問主人,1
85,主人能,1
86,人能住,1
87,能住久,1
88,住久後,1
89,久後來,1
90,後來好,1
91,來好事,1
92,好事有,1
93,事有誰,1
94,有誰同,1
95,誰同堂,1
96,同堂開,1
97,堂開凍,1
98,開凍石,1
99,凍石千,1
100,石千年,1
101,千年翠,1
102,年翠藝,1
103,翠藝講,1
104,藝講秋,1
105,講秋膠,1
106,秋膠百,1
107,膠百步,1
108,百步威,1
109,步威揖,1
110,威揖讓,1
111,揖讓未,1
112,讓未能,1
113,未能忘,1
114,能忘典,1
115,忘典禮,1
116,典禮英,1
117,禮英雄,1
118,英雄孰,1
119,雄孰不,1
120,孰不慣,1
121,不慣戎,1
122,慣戎衣,1
123,戎衣風,1
124,衣風波,1
125,風波險,1
126,波險似,1
127,險似金,1
128,似金機,1
129,金機駭,1
130,機駭日,1
131,駭日月,1
132,日月忙,1
133,月忙如,1
134,忙如雪,1
135,如雪羽,1
136,雪羽飛,1
137,羽飛莫,1
138,飛莫怪,1
139,莫怪尊,1
140,怪尊前,1
141,尊前頻,1
142,前頻浩,1
143,頻浩歎,1
144,浩歎男,1
145,歎男兒,1
146,男兒志,1
147,兒志願,1
148,志願與,1
149,願與時,1
150,與時違,1
151,時違突,1
152,違突險,1
153,突險呀,1
154,險呀空,1
155,呀空龍,1
156,空龍虎,1
157,龍虎蹲,1
158,虎蹲由,1
159,蹲由來,1
160,由來英,1
161,來英氣,1
162,英氣蓄,1
163,氣蓄寒,1
164,蓄寒根,1
165,寒根蒼,1
166,根蒼苔,1
167,蒼苔點,1
168,苔點染,1
169,點染雲,1
170,染雲生,1
171,雲生靨,1
172,生靨老,1
173,靨老雨,1
174,老雨淋,1
175,雨淋漓,1
176,淋漓鐵,1
177,漓鐵漬,1
178,鐵漬痕,1
179,漬痕松,1
180,痕松韻,1
181,松韻遠,1
182,韻遠趨,1
183,遠趨疑,1
184,趨疑認,1
185,疑認祖,1
186,認祖山,1
187,祖山陰,1
188,山陰輕,1
189,陰輕覆,1
190,輕覆似,1
191,覆似憐,1
192,似憐孫,1
193,憐孫孤,1
194,孫孤岩,1
195,孤岩恰,1
196,岩恰恰,1
197,恰恰容,1
198,恰容幽,1
199,容幽構,1
200,幽構可,1
201,構可愛,1
202,可愛江,1
203,愛江南,1
204,江南釋,1
205,南釋子,1
206,釋子園,1
207,子園流,1
208,園流杯,1
209,流杯處,1
210,杯處處,1
211,處處稱,1
212,處稱佳,1
213,稱佳致,1
214,佳致何,1
215,致何似,1
216,何似斯,1
217,似斯亭,1
218,斯亭出,1
219,亭出自,1
220,出自然,1
221,自然山,1
222,然山溜,1
223,山溜穿,1
224,溜穿雲,1
225,穿雲來,1
226,雲來幾,1
227,來幾裏,1
228,幾裏石,1
229,裏石盤,1
230,石盤和,1
231,盤和蘚,1
232,和蘚鑿,1
233,蘚鑿何,1
234,鑿何年,1
235,何年聲,1
236,年聲交,1
237,聲交鳴,1
238,交鳴玉,1
239,鳴玉歌,1
240,玉歌沈,1
241,歌沈板,1
242,沈板色,1
243,板色幌,1
244,色幌寒,1
245,幌寒金,1
246,寒金酒,1
247,金酒滿,1
248,酒滿船,1
249,滿船莫,1
250,船莫怪,1
251,莫怪坐,1
252,怪坐中,1
253,坐中難,1
254,中難得,1
255,難得醉,1
256,得醉醒,1
257,醉醒人,1
258,醒人心,1
259,人心骨,1
260,心骨有,1
261,骨有潺,1
262,有潺湲,1
