排名,詞彙,出現次數
1,奉和武相,3
2,寒夜聞霜,3
3,奉酬宣上,2
4,九日登高,2
5,享太廟樂,2
6,猗與祖業,1
7,與祖業皇,1
8,祖業皇矣,1
9,業皇矣帝,1
10,皇矣帝先,1
11,矣帝先翦,1
12,帝先翦商,1
13,先翦商德,1
14,翦商德厚,1
15,商德厚封,1
16,德厚封唐,1
17,厚封唐慶,1
18,封唐慶延,1
19,唐慶延在,1
20,慶延在姬,1
21,延在姬猶,1
22,在姬猶稷,1
23,姬猶稷方,1
24,猶稷方晉,1
25,稷方晉喻,1
26,方晉喻宣,1
27,晉喻宣基,1
28,喻宣基我,1
29,宣基我鼎,1
30,基我鼎運,1
31,我鼎運于,1
32,鼎運于萬,1
33,運于萬斯,1
34,于萬斯年,1
35,萬斯年奉,1
36,斯年奉和,1
37,年奉和武,1
38,和武相高,1
39,武相高閣,1
40,相高閣安,1
41,高閣安仁,1
42,閣安仁省,1
43,安仁省名,1
44,仁省名園,1
45,省名園廣,1
46,名園廣武,1
47,園廣武廬,1
48,廣武廬沐,1
49,武廬沐蘭,1
50,廬沐蘭朝,1
51,沐蘭朝太,1
52,蘭朝太一,1
53,朝太一種,1
54,太一種竹,1
55,一種竹詠,1
56,種竹詠華,1
57,竹詠華胥,1
58,詠華胥奉,1
59,華胥奉和,1
60,胥奉和武,1
61,和武相禁,1
62,武相禁靜,1
63,相禁靜疏,1
64,禁靜疏鐘,1
65,靜疏鐘徹,1
66,疏鐘徹庭,1
67,鐘徹庭開,1
68,徹庭開爽,1
69,庭開爽韻,1
70,開爽韻虛,1
71,爽韻虛洪,1
72,韻虛洪鈞,1
73,虛洪鈞齊,1
74,洪鈞齊萬,1
75,鈞齊萬物,1
76,齊萬物縹,1
77,萬物縹帙,1
78,物縹帙整,1
79,縹帙整群,1
80,帙整群書,1
81,整群書奉,1
82,群書奉和,1
83,書奉和武,1
84,和武相寒,1
85,武相寒露,1
86,相寒露滋,1
87,寒露滋新,1
88,露滋新菊,1
89,滋新菊秋,1
90,新菊秋風,1
91,菊秋風落,1
92,秋風落故,1
93,風落故蕖,1
94,落故蕖同,1
95,故蕖同懷,1
96,蕖同懷不,1
97,同懷不同,1
98,懷不同賞,1
99,不同賞幽,1
100,同賞幽意,1
101,賞幽意竟,1
102,幽意竟何,1
103,意竟何如,1
104,竟何如寒,1
105,何如寒夜,1
106,如寒夜聞,1
107,夜聞霜霜,1
108,聞霜霜鐘,1
109,霜霜鐘初,1
110,霜鐘初應,1
111,鐘初應律,1
112,初應律寂,1
113,應律寂寂,1
114,律寂寂出,1
115,寂寂出重,1
116,寂出重林,1
117,出重林拂,1
118,重林拂水,1
119,林拂水宜,1
120,拂水宜清,1
121,水宜清聽,1
122,宜清聽淩,1
123,清聽淩空,1
124,聽淩空散,1
125,淩空散迥,1
126,空散迥音,1
127,散迥音寒,1
128,迥音寒夜,1
129,音寒夜聞,1
130,夜聞霜舂,1
131,聞霜舂容,1
132,霜舂容時,1
133,舂容時未,1
134,容時未歇,1
135,時未歇搖,1
