排名,詞彙,出現次數
1,人,11
2,不,10
3,題,10
4,山,7
5,中,6
6,雲,5
7,知,5
8,時,5
9,隱,4
10,之,4
11,一,4
12,無,4
13,醉,4
14,是,4
15,如,4
16,得,4
17,偶,4
18,與,3
19,羅,3
20,天,3
21,上,3
22,有,3
23,名,3
24,世,3
25,間,3
26,事,3
27,憂,3
28,花,3
29,生,3
30,思,3
31,道,3
32,賣,3
33,死,3
34,詠,3
35,長,3
36,洞,3
37,庭,3
38,酒,3
39,醒,3
40,病,3
41,條,3
42,兩,2
43,個,2
44,卻,2
45,何,2
46,真,2
47,茶,2
48,詩,2
49,香,2
50,靈,2
51,惟,2
52,粉,2
53,見,2
54,睡,2
55,哭,2
56,張,2
57,古,2
58,西,2
59,傷,2
60,豈,2
61,直,2
62,疑,2
63,前,2
64,後,2
65,遍,2
66,君,2
67,力,2
68,貴,2
69,翠,2
70,紅,2
71,枝,2
72,下,2
73,破,2
74,國,2
75,丹,2
76,將,2
77,殺,2
78,招,2
79,友,2
80,游,2
81,日,2
82,金,2
83,老,2
84,宿,2
85,到,2
86,仙,2
87,高,2
88,僧,2
89,寮,2
90,霍,2
91,秦,2
92,鶴,2
93,浮,2
94,景,2
95,福,2
96,作,2
97,靜,2
98,壺,1
99,物,1
100,鄭,1
101,遨,1
102,叟,1
103,外,1
104,處,1
105,嫩,1
106,芽,1
107,且,1
108,吾,1
109,謂,1
110,草,1
111,英,1
112,夜,1
113,臼,1
114,和,1
115,煙,1
116,搗,1
117,寒,1
118,爐,1
119,對,1
120,雪,1
121,烹,1
122,碧,1
123,散,1
124,常,1
125,綠,1
126,最,1
127,堪,1
128,珍,1
129,重,1
130,能,1
131,令,1
132,清,1
133,曾,1
134,陳,1
135,章,1
136,疏,1
137,忤,1
138,昭,1
139,皇,1
140,撲,1
141,落,1
142,南,1
143,可,1
144,使,1
145,諫,1
146,臣,1
147,終,1
148,屈,1
149,辱,1
150,惡,1
151,忠,1
152,良,1
153,卜,1
154,居,1
155,三,1
156,蜀,1
157,馳,1
158,大,1
159,唐,1
160,誰,1
161,來,1
162,修,1
163,史,1
164,者,1
165,言,1
166,正,1
167,頹,1
168,綱,1
169,富,1
170,曲,1
171,美,1
172,梳,1
173,洗,1
174,滿,1
175,頭,1
176,珠,1
177,片,1
178,戴,1
179,數,1
180,鄉,1
181,稅,1
182,農,1
183,粒,1
184,稻,1
185,飯,1
186,幾,1
187,滴,1
188,牛,1
189,頷,1
190,血,1
191,珊,1
192,瑚,1
193,銜,1
194,杯,1
195,吐,1
196,歇,1
197,施,1
198,素,1
199,面,1
200,已,1
201,妖,1
202,更,1
203,著,1
204,鈿,1
205,飾,1
206,臉,1
207,橫,1
208,寸,1
209,波,1
210,浸,1
211,吳,1
212,王,1
213,因,1
214,砂,1
215,白,1
216,鹿,1
217,裘,1
218,惹,1
219,九,1
220,衢,1
221,塵,1
222,耳,1
223,入,1
224,去,1
225,萬,1
226,千,1
227,非,1
228,愁,1
229,難,1
230,把,1
231,繩,1
232,系,1
233,烏,1
234,芳,1
235,偷,1
236,取,1
237,工,1
238,夫,1
239,任,1
240,堆,1
241,璧,1
242,磨,1
243,星,1
244,斗,1
245,買,1
246,月,1
247,半,1
248,朗,1
249,吟,1
250,水,1
251,聽,1
252,識,1
253,我,1
254,閒,1
255,贏,1
256,秋,1
257,看,1
258,佛,1
259,印,1
260,廢,1
261,晨,1
262,燒,1
263,錫,1
264,當,1
265,門,1
266,照,1
267,寂,1
268,寥,1
269,童,1
270,子,1
271,師,1
272,困,1
273,報,1
274,風,1
275,吹,1
276,折,1
277,好,1
278,芭,1
279,蕉,1
280,玄,1
281,猿,1
282,伴,1
283,采,1
284,芝,1
285,歎,1
286,獨,1
287,移,1
288,娥,1
289,渾,1
290,劍,1
291,盡,1
292,似,1
293,身,1
294,家,1
295,貧,1
296,擬,1
297,枕,1
298,榮,1
299,帆,1
300,劈,1
301,開,1
302,滄,1
303,海,1
304,浪,1
305,馬,1
306,蹄,1
307,踏,1
308,亂,1
309,青,1
310,利,1
311,濃,1
312,於,1
313,心,1
314,悶,1
315,戈,1
316,鋋,1
317,匝,1
318,四,1
319,溟,1
320,恨,1
321,奇,1
322,策,1
323,救,1
324,飲,1
325,太,1
326,平,1
327,節,1
328,松,1
329,頂,1
330,留,1
331,衣,1
332,玉,1
333,霄,1
334,永,1
335,傳,1
336,異,1
337,跡,1
338,在,1
339,揖,1
340,諸,1
341,否,1
342,欲,1
343,請,1
344,還,1
345,問,1
346,昨,1
347,宵,1
