排名,詞彙,出現次數
1,泉潮天萬里,1
2,潮天萬里一,1
3,天萬里一鎮,1
4,萬里一鎮屹,1
5,里一鎮屹天,1
6,一鎮屹天中,1
7,鎮屹天中筮,1
8,屹天中筮宅,1
9,天中筮宅龍,1
10,中筮宅龍鍾,1
11,筮宅龍鍾地,1
12,宅龍鍾地承,1
13,龍鍾地承恩,1
14,鍾地承恩燕,1
15,地承恩燕翼,1
16,承恩燕翼宮,1
17,恩燕翼宮環,1
18,燕翼宮環堂,1
19,翼宮環堂巍,1
20,宮環堂巍嶽,1
21,環堂巍嶽秀,1
22,堂巍嶽秀帶,1
23,巍嶽秀帶礪,1
24,嶽秀帶礪大,1
25,秀帶礪大江,1
26,帶礪大江雄,1
27,礪大江雄輪,1
28,大江雄輪奐,1
29,江雄輪奐雲,1
30,雄輪奐雲霄,1
31,輪奐雲霄望,1
32,奐雲霄望晶,1
33,雲霄望晶華,1
34,霄望晶華日,1
35,望晶華日月,1
36,晶華日月通,1
37,華日月通淩,1
38,日月通淩煙,1
39,月通淩煙喬,1
40,通淩煙喬木,1
41,淩煙喬木茂,1
42,煙喬木茂獻,1
43,喬木茂獻寶,1
44,木茂獻寶介,1
45,茂獻寶介圭,1
46,獻寶介圭崇,1
47,寶介圭崇昆,1
48,介圭崇昆俊,1
49,圭崇昆俊歌,1
50,崇昆俊歌常,1
51,昆俊歌常棣,1
52,俊歌常棣民,1
53,歌常棣民和,1
54,常棣民和教,1
55,棣民和教即,1
56,民和教即戎,1
57,和教即戎盤,1
58,教即戎盤庚,1
59,即戎盤庚遷,1
60,戎盤庚遷美,1
61,盤庚遷美土,1
62,庚遷美土陶,1
63,遷美土陶侃,1
64,美土陶侃效,1
65,土陶侃效兼,1
66,陶侃效兼庸,1
67,侃效兼庸設,1
68,效兼庸設醴,1
69,兼庸設醴延,1
70,庸設醴延張,1
71,設醴延張老,1
72,醴延張老開,1
73,延張老開軒,1
74,張老開軒禮,1
75,老開軒禮呂,1
76,開軒禮呂蒙,1
77,軒禮呂蒙無,1
78,禮呂蒙無孤,1
79,呂蒙無孤南,1
80,蒙無孤南國,1
81,無孤南國仰,1
82,孤南國仰庶,1
83,南國仰庶補,1
84,國仰庶補聖,1
85,仰庶補聖皇,1
86,庶補聖皇功,1
87,補聖皇功恩,1
88,聖皇功恩銜,1
89,皇功恩銜楓,1
90,功恩銜楓陛,1
91,恩銜楓陛渥,1
92,銜楓陛渥策,1
93,楓陛渥策向,1
94,陛渥策向桂,1
95,渥策向桂淵,1
96,策向桂淵弘,1
97,向桂淵弘載,1
98,桂淵弘載筆,1
99,淵弘載筆沿,1
100,弘載筆沿儒,1
101,載筆沿儒習,1
102,筆沿儒習持,1
103,沿儒習持弓,1
104,儒習持弓纘,1
105,習持弓纘祖,1
106,持弓纘祖風,1
107,弓纘祖風祛,1
108,纘祖風祛災,1
109,祖風祛災剿,1
110,風祛災剿猛,1
111,祛災剿猛虎,1
112,災剿猛虎溥,1
113,剿猛虎溥德,1
114,猛虎溥德翊,1
115,虎溥德翊飛,1
116,溥德翊飛龍,1
117,德翊飛龍日,1
118,翊飛龍日閱,1
119,飛龍日閱書,1
120,龍日閱書開,1
121,日閱書開士,1
122,閱書開士星,1
123,書開士星言,1
124,開士星言駕,1
125,士星言駕勸,1
126,星言駕勸農,1
127,言駕勸農勤,1
128,駕勸農勤勞,1
129,勸農勤勞思,1
130,農勤勞思命,1
131,勤勞思命重,1
132,勞思命重戲,1
133,思命重戲謔,1
134,命重戲謔逐,1
135,重戲謔逐時,1
136,戲謔逐時空,1
137,謔逐時空百,1
138,逐時空百粵,1
139,時空百粵霧,1
140,空百粵霧紛,1
141,百粵霧紛滿,1
142,粵霧紛滿諸,1
143,霧紛滿諸戎,1
144,紛滿諸戎澤,1
145,滿諸戎澤普,1
146,諸戎澤普通,1
147,戎澤普通願,1
148,澤普通願言,1
149,普通願言加,1
150,通願言加壯,1
151,願言加壯努,1
152,言加壯努勿,1
153,加壯努勿坐,1
154,壯努勿坐鬢,1
155,努勿坐鬢霜,1
156,勿坐鬢霜蓬,1
157,坐鬢霜蓬喬,1
158,鬢霜蓬喬嶽,1
159,霜蓬喬嶽標,1
160,蓬喬嶽標仙,1
161,喬嶽標仙跡,1
162,嶽標仙跡玄,1
163,標仙跡玄扃,1
164,仙跡玄扃妥,1
165,跡玄扃妥壽,1
166,玄扃妥壽姬,1
167,扃妥壽姬烏,1
168,妥壽姬烏號,1
169,壽姬烏號非,1
170,姬烏號非嶺,1
171,烏號非嶺海,1
172,號非嶺海鶴,1
173,非嶺海鶴仰,1
174,嶺海鶴仰向,1
175,海鶴仰向京,1
176,鶴仰向京師,1
177,仰向京師系,1
178,向京師系牒,1
179,京師系牒公,1
180,師系牒公侯,1
181,系牒公侯裔,1
182,牒公侯裔懸,1
183,公侯裔懸弧,1
184,侯裔懸弧將,1
185,裔懸弧將相,1
186,懸弧將相兒,1
187,弧將相兒清,1
188,將相兒清貞,1
189,相兒清貞蜚,1
190,兒清貞蜚簡,1
191,清貞蜚簡籍,1
192,貞蜚簡籍規,1
193,蜚簡籍規範,1
194,簡籍規範肅,1
195,籍規範肅門,1
196,規範肅門楣,1
197,範肅門楣萬,1
198,肅門楣萬里,1
199,門楣萬里提,1
200,楣萬里提兵,1
201,萬里提兵路,1
202,里提兵路三,1
203,提兵路三年,1
204,兵路三年報,1
205,路三年報母,1
206,三年報母慈,1
207,年報母慈劍,1
208,報母慈劍埋,1
209,母慈劍埋龍,1
210,慈劍埋龍守,1
211,劍埋龍守壤,1
212,埋龍守壤石,1
213,龍守壤石臥,1
214,守壤石臥虎,1
215,壤石臥虎司,1
216,石臥虎司碑,1
217,臥虎司碑憂,1
218,虎司碑憂闋,1
219,司碑憂闋情,1
220,碑憂闋情猶,1
221,憂闋情猶結,1
222,闋情猶結祥,1
223,情猶結祥回,1
224,猶結祥回禫,1
225,結祥回禫屆,1
226,祥回禫屆期,1
227,回禫屆期竹,1
228,禫屆期竹符,1
229,屆期竹符忠,1
230,期竹符忠介,1
231,竹符忠介凜,1
232,符忠介凜桐,1
233,忠介凜桐杖,1
234,介凜桐杖孝,1
235,凜桐杖孝思,1
236,桐杖孝思淒,1
237,杖孝思淒許,1
238,孝思淒許史,1
239,思淒許史峋,1
240,淒許史峋嶙,1
241,許史峋嶙篆,1
242,史峋嶙篆曹,1
243,峋嶙篆曹侯,1
244,嶙篆曹侯感,1
245,篆曹侯感舊,1
246,曹侯感舊詩,1
247,侯感舊詩鴻,1
248,感舊詩鴻蒙,1
