排名,詞彙,出現次數
1,不,6
2,風,6
3,愁,5
4,天,5
5,春,5
6,水,5
7,色,5
8,紅,5
9,無,5
10,雲,4
11,芳,4
12,香,4
13,年,4
14,上,4
15,玉,4
16,處,4
17,人,4
18,江,4
19,花,3
20,半,3
21,聲,3
22,魚,3
23,珠,3
24,碧,3
25,能,3
26,秦,3
27,袖,3
28,千,3
29,滿,3
30,眼,3
31,三,3
32,向,3
33,日,3
34,葉,3
35,地,3
36,颯,2
37,浪,2
38,度,2
39,驚,2
40,君,2
41,懸,2
42,同,2
43,娥,2
44,臉,2
45,淚,2
46,羅,2
47,豈,2
48,獨,2
49,將,2
50,宮,2
51,煙,2
52,枝,2
53,氣,2
54,光,2
55,動,2
56,微,2
57,逐,2
58,從,2
59,此,2
60,一,2
61,回,2
62,暮,2
63,已,2
64,移,2
65,怨,2
66,翠,2
67,狼,2
68,藉,2
69,墜,2
70,只,2
71,應,2
72,殿,2
73,鸞,2
74,湖,2
75,中,2
76,歌,2
77,長,2
78,吹,2
79,塵,2
80,馬,2
81,知,2
82,萬,2
83,里,2
84,指,2
85,冰,2
86,金,2
87,荷,2
88,豔,2
89,曉,2
90,白,2
91,雪,2
92,青,2
93,待,2
94,秋,2
95,折,2
96,蓮,2
97,月,2
98,瑞,2
99,重,2
100,飛,2
101,莫,2
102,曾,2
103,未,2
104,散,2
105,得,2
106,還,2
107,山,2
108,蜀,2
109,歸,2
110,與,2
111,丁,2
112,肯,2
113,嫌,2
114,爭,2
115,陰,1
116,湍,1
117,掛,1
118,舟,1
119,盡,1
120,住,1
121,命,1
122,鱉,1
123,妾,1
124,休,1
125,黛,1
126,垂,1
127,襪,1
128,裾,1
129,赴,1
130,流,1
131,餘,1
132,魄,1
133,銜,1
134,木,1
135,石,1
136,遺,1
137,恨,1
138,付,1
139,箜,1
140,篌,1
141,王,1
142,闕,1
143,靄,1
144,樹,1
145,瓊,1
146,近,1
147,禦,1
148,馨,1
149,蘇,1
150,合,1
151,啟,1
152,簾,1
153,浮,1
154,精,1
155,霏,1
156,縠,1
157,隨,1
158,宛,1
159,轉,1
160,鮫,1
161,鮹,1
162,寶,1
163,筵,1
164,咸,1
165,陽,1
166,首,1
167,掌,1
168,恩,1
169,帳,1
170,空,1
171,泣,1
172,飄,1
173,零,1
174,柳,1
175,凋,1
176,眉,1
177,桃,1
178,鳳,1
179,輦,1
180,北,1
181,五,1
182,笙,1
183,眷,1
184,自,1
185,情,1
186,信,1
187,虜,1
188,騎,1
189,飲,1
190,漢,1
191,營,1
192,堆,1
193,戰,1
194,骨,1
195,那,1
196,主,1
197,枯,1
198,沙,1
199,辨,1
200,浴,1
201,穀,1
202,寒,1
203,斷,1
204,崖,1
205,滑,1
206,恐,1
207,傷,1
208,神,1
209,鞍,1
210,勒,1
211,顏,1
212,征,1
213,衣,1
214,暴,1
215,蘋,1
216,錢,1
217,蟻,1
218,旗,1
219,臨,1
220,岸,1
221,市,1
222,渡,1
223,船,1
224,鷺,1
225,聯,1
226,翩,1
227,蹙,1
228,茭,1
229,瀲,1
230,灩,1
231,怕,1
232,洲,1
233,草,1
234,興,1
235,吳,1
236,女,1
237,機,1
238,織,1
239,曙,1
240,霜,1
241,蠶,1
242,吐,1
243,絲,1
244,盈,1
245,筐,1
246,刀,1
247,裁,1
248,縫,1
249,促,1
250,樓,1
251,弦,1
252,管,1
253,舞,1
254,慢,1
255,凝,1
256,避,1
257,雕,1
258,梁,1
259,唯,1
260,陌,1
261,菲,1
262,池,1
263,黃,1
264,官,1
265,南,1
266,院,1
267,粉,1
268,牆,1
269,東,1
270,初,1
271,分,1
272,文,1
273,字,1
274,擁,1
275,喜,1
276,歡,1
277,十,1
278,二,1
279,看,1
280,變,1
281,辭,1
282,凡,1
283,心,1
284,鸚,1
285,出,1
286,怪,1
287,泥,1
288,別,1
289,總,1
290,惆,1
291,悵,1
292,去,1
293,烹,1
294,采,1
295,野,1
296,樵,1
297,摧,1
298,燒,1
299,經,1
300,良,1
301,匠,1
302,材,1
303,雖,1
304,音,1
305,尾,1
306,焦,1
307,若,1
308,使,1
309,琢,1
310,磨,1
311,徽,1
312,便,1
313,來,1
314,律,1
315,軫,1
316,瑤,1
317,傳,1
318,峽,1
319,泉,1
320,寂,1
321,寥,1
322,杜,1
323,甫,1
324,在,1
325,時,1
326,貪,1
327,入,1
328,孟,1
329,郊,1
330,生,1
331,卻,1
332,如,1
333,今,1
334,始,1
335,會,1
336,麻,1
337,姑,1
338,意,1
339,借,1
340,問,1
341,川,1
342,後,1
343,晚,1
344,急,1
345,稀,1
346,啄,1
347,遍,1
348,庭,1
349,槐,1
350,終,1
351,除,1
352,蠹,1
353,害,1
354,事,1
355,頻,1
356,琉,1
357,璃,1
358,開,1
359,落,1
360,頭,1
361,霞,1
362,是,1
363,西,1
364,種,1
365,然,1
366,前,1
367,奈,1
368,葵,1
369,何,1
370,淺,1
371,紫,1
372,深,1
373,數,1
374,百,1
375,窠,1
376,共,1
377,牡,1
378,丹,1
379,幾,1
380,許,1
381,緣,1
382,多,1
