排名,詞彙,出現次數
1,得,4
2,薦,4
3,賦,3
4,芙,3
5,蓉,3
6,冰,3
7,寒,3
8,水,2
9,開,2
10,自,2
11,非,2
12,色,2
13,光,2
14,菡,1
15,萏,1
16,迎,1
17,秋,1
18,吐,1
19,夭,1
20,搖,1
21,映,1
22,濱,1
23,劍,1
24,芒,1
25,寶,1
26,匣,1
27,峰,1
28,影,1
29,寫,1
30,蒲,1
31,津,1
32,下,1
33,覆,1
34,參,1
35,差,1
36,荇,1
37,高,1
38,辭,1
39,苒,1
40,弱,1
41,蘋,1
42,當,1
43,巢,1
44,翠,1
45,甲,1
46,止,1
47,戲,1
48,赬,1
49,鱗,1
50,莫,1
51,以,1
52,時,1
53,先,1
54,後,1
55,而,1
56,言,1
57,故,1
58,新,1
59,芳,1
60,香,1
61,正,1
62,堪,1
63,玩,1
64,誰,1
65,報,1
66,涉,1
67,江,1
68,人,1
69,淩,1
70,涸,1
71,冱,1
72,寢,1
73,廟,1
74,致,1
75,精,1
76,誠,1
77,靜,1
78,澄,1
79,三,1
80,酒,1
81,肅,1
82,兩,1
83,楹,1
84,形,1
85,鹽,1
86,近,1
87,進,1
88,玉,1
89,豆,1
90,為,1
91,潛,1
92,英,1
93,禮,1
94,春,1
95,分,1
96,展,1
97,堅,1
98,從,1
99,北,1
100,陸,1
101,成,1
102,藉,1
103,茅,1
104,心,1
105,共,1
106,結,1
107,出,1
108,鑒,1
109,漸,1
110,明,1
111,幸,1
112,來,1
113,觀,1
114,靈,1
115,台,1
116,一,1
117,小,1
118,生,1
119,句,1
120,藻,1
121,井,1
122,尚,1
123,龍,1
124,跡,1
125,在,1
126,紅,1
127,樓,1
128,初,1
129,施,1
130,日,1
131,通,1
