排名,詞彙,出現次數
1,自有農夫已高枕,1
2,有農夫已高枕無,1
3,農夫已高枕無勞,1
4,夫已高枕無勞校,1
5,已高枕無勞校尉,1
6,高枕無勞校尉重,1
7,枕無勞校尉重橫,1
8,無勞校尉重橫行,1
9,勞校尉重橫行請,1
10,校尉重橫行請君,1
11,尉重橫行請君留,1
12,重橫行請君留楚,1
13,橫行請君留楚調,1
14,行請君留楚調聽,1
15,請君留楚調聽我,1
16,君留楚調聽我吟,1
17,留楚調聽我吟燕,1
18,楚調聽我吟燕歌,1
19,調聽我吟燕歌家,1
20,聽我吟燕歌家在,1
21,我吟燕歌家在遼,1
22,吟燕歌家在遼水,1
23,燕歌家在遼水頭,1
24,歌家在遼水頭邊,1
25,家在遼水頭邊風,1
26,在遼水頭邊風意,1
27,遼水頭邊風意氣,1
28,水頭邊風意氣多,1
29,頭邊風意氣多出,1
30,邊風意氣多出身,1
31,風意氣多出身為,1
32,意氣多出身為漢,1
33,氣多出身為漢將,1
34,多出身為漢將正,1
35,出身為漢將正值,1
36,身為漢將正值戎,1
37,為漢將正值戎未,1
38,漢將正值戎未和,1
39,將正值戎未和雪,1
40,正值戎未和雪中,1
41,值戎未和雪中淩,1
42,戎未和雪中淩天,1
43,未和雪中淩天山,1
44,和雪中淩天山冰,1
45,雪中淩天山冰上,1
46,中淩天山冰上渡,1
47,淩天山冰上渡交,1
48,天山冰上渡交河,1
49,山冰上渡交河大,1
50,冰上渡交河大小,1
51,上渡交河大小百,1
52,渡交河大小百餘,1
53,交河大小百餘戰,1
54,河大小百餘戰封,1
55,大小百餘戰封侯,1
56,小百餘戰封侯竟,1
57,百餘戰封侯竟蹉,1
58,餘戰封侯竟蹉跎,1
59,戰封侯竟蹉跎歸,1
60,封侯竟蹉跎歸來,1
61,侯竟蹉跎歸來灞,1
62,竟蹉跎歸來灞陵,1
63,蹉跎歸來灞陵下,1
64,跎歸來灞陵下故,1
65,歸來灞陵下故舊,1
66,來灞陵下故舊無,1
67,灞陵下故舊無相,1
68,陵下故舊無相過,1
69,下故舊無相過雄,1
70,故舊無相過雄劍,1
71,舊無相過雄劍委,1
72,無相過雄劍委塵,1
73,相過雄劍委塵匣,1
74,過雄劍委塵匣空,1
75,雄劍委塵匣空門,1
76,劍委塵匣空門垂,1
77,委塵匣空門垂雀,1
78,塵匣空門垂雀羅,1
79,匣空門垂雀羅玉,1
80,空門垂雀羅玉簪,1
81,門垂雀羅玉簪還,1
82,垂雀羅玉簪還趙,1
83,雀羅玉簪還趙女,1
84,羅玉簪還趙女寶,1
85,玉簪還趙女寶瑟,1
86,簪還趙女寶瑟付,1
87,還趙女寶瑟付齊,1
88,趙女寶瑟付齊娥,1
89,女寶瑟付齊娥昔,1
90,寶瑟付齊娥昔日,1
91,瑟付齊娥昔日不,1
92,付齊娥昔日不為,1
93,齊娥昔日不為樂,1
94,娥昔日不為樂時,1
95,昔日不為樂時哉,1
96,日不為樂時哉今,1
97,不為樂時哉今奈,1
98,為樂時哉今奈何,1
99,樂時哉今奈何行,1
100,時哉今奈何行吏,1
101,哉今奈何行吏到,1
102,今奈何行吏到西,1
103,奈何行吏到西華,1
104,何行吏到西華乃,1
105,行吏到西華乃觀,1
106,吏到西華乃觀三,1
107,到西華乃觀三峰,1
108,西華乃觀三峰壯,1
109,華乃觀三峰壯削,1
110,乃觀三峰壯削成,1
111,觀三峰壯削成元,1
112,三峰壯削成元氣,1
113,峰壯削成元氣中,1
114,壯削成元氣中傑,1
115,削成元氣中傑出,1
116,成元氣中傑出天,1
117,元氣中傑出天河,1
118,氣中傑出天河上,1
119,中傑出天河上如,1
120,傑出天河上如有,1
121,出天河上如有飛,1
122,天河上如有飛動,1
123,河上如有飛動色,1
124,上如有飛動色不,1
125,如有飛動色不知,1
126,有飛動色不知青,1
127,飛動色不知青冥,1
128,動色不知青冥狀,1
129,色不知青冥狀巨,1
130,不知青冥狀巨靈,1
131,知青冥狀巨靈安,1
132,青冥狀巨靈安在,1
133,冥狀巨靈安在哉,1
134,狀巨靈安在哉厥,1
135,巨靈安在哉厥跡,1
136,靈安在哉厥跡猶,1
137,安在哉厥跡猶可,1
138,在哉厥跡猶可望,1
139,哉厥跡猶可望方,1
140,厥跡猶可望方此,1
141,跡猶可望方此顧,1
142,猶可望方此顧行,1
143,可望方此顧行旅,1
144,望方此顧行旅末,1
145,方此顧行旅末由,1
146,此顧行旅末由飭,1
147,顧行旅末由飭仙,1
148,行旅末由飭仙裝,1
149,旅末由飭仙裝蔥,1
150,末由飭仙裝蔥蘢,1
151,由飭仙裝蔥蘢記,1
152,飭仙裝蔥蘢記星,1
153,仙裝蔥蘢記星壇,1
154,裝蔥蘢記星壇明,1
155,蔥蘢記星壇明滅,1
156,蘢記星壇明滅數,1
157,記星壇明滅數雲,1
158,星壇明滅數雲嶂,1
159,壇明滅數雲嶂良,1
160,明滅數雲嶂良友,1
161,滅數雲嶂良友垂,1
162,數雲嶂良友垂真,1
163,雲嶂良友垂真契,1
164,嶂良友垂真契宿,1
165,良友垂真契宿心,1
166,友垂真契宿心所,1
167,垂真契宿心所微,1
168,真契宿心所微尚,1
169,契宿心所微尚敢,1
170,宿心所微尚敢投,1
171,心所微尚敢投歸,1
172,所微尚敢投歸山,1
173,微尚敢投歸山吟,1
174,尚敢投歸山吟霞,1
175,敢投歸山吟霞徑,1
176,投歸山吟霞徑一,1
177,歸山吟霞徑一相,1
178,山吟霞徑一相訪,1
179,吟霞徑一相訪驄,1
180,霞徑一相訪驄馬,1
181,徑一相訪驄馬拂,1
182,一相訪驄馬拂繡,1
183,相訪驄馬拂繡裳,1
184,訪驄馬拂繡裳按,1
185,驄馬拂繡裳按兵,1
186,馬拂繡裳按兵遼,1
187,拂繡裳按兵遼水,1
188,繡裳按兵遼水陽,1
189,裳按兵遼水陽西,1
190,按兵遼水陽西分,1
191,兵遼水陽西分雁,1
192,遼水陽西分雁門,1
193,水陽西分雁門騎,1
194,陽西分雁門騎北,1
195,西分雁門騎北逐,1
196,分雁門騎北逐樓,1
197,雁門騎北逐樓煩,1
198,門騎北逐樓煩王,1
199,騎北逐樓煩王聞,1
200,北逐樓煩王聞道,1
201,逐樓煩王聞道五,1
202,樓煩王聞道五軍,1
203,煩王聞道五軍集,1
204,王聞道五軍集相,1
205,聞道五軍集相邀,1
206,道五軍集相邀百,1
207,五軍集相邀百戰,1
208,軍集相邀百戰場,1
209,集相邀百戰場風,1
210,相邀百戰場風沙,1
211,邀百戰場風沙暗,1
212,百戰場風沙暗天,1
213,戰場風沙暗天起,1
214,場風沙暗天起虜,1
215,風沙暗天起虜騎,1
216,沙暗天起虜騎森,1
217,暗天起虜騎森已,1
218,天起虜騎森已行,1
219,起虜騎森已行儒,1
220,虜騎森已行儒服,1
221,騎森已行儒服揖,1
222,森已行儒服揖諸,1
223,已行儒服揖諸將,1
224,行儒服揖諸將雄,1
225,儒服揖諸將雄謀,1
226,服揖諸將雄謀吞,1
227,揖諸將雄謀吞大,1
228,諸將雄謀吞大荒,1
229,將雄謀吞大荒金,1
230,雄謀吞大荒金門,1
231,謀吞大荒金門來,1
232,吞大荒金門來見,1
233,大荒金門來見謁,1
234,荒金門來見謁朱,1
235,金門來見謁朱紱,1
236,門來見謁朱紱生,1
237,來見謁朱紱生輝,1
238,見謁朱紱生輝光,1
239,謁朱紱生輝光數,1
240,朱紱生輝光數年,1
241,紱生輝光數年侍,1
242,生輝光數年侍御,1
243,輝光數年侍御史,1
244,光數年侍御史稍,1
245,數年侍御史稍遷,1
246,年侍御史稍遷尚,1
247,侍御史稍遷尚書,1
248,御史稍遷尚書郎,1
249,史稍遷尚書郎人,1
250,稍遷尚書郎人生,1
251,遷尚書郎人生志,1
252,尚書郎人生志氣,1
253,書郎人生志氣立,1
254,郎人生志氣立所,1
255,人生志氣立所貴,1
256,生志氣立所貴功,1
257,志氣立所貴功業,1
258,氣立所貴功業昌,1
259,立所貴功業昌何,1
260,所貴功業昌何必,1
261,貴功業昌何必守,1
262,功業昌何必守章,1
263,業昌何必守章句,1
264,昌何必守章句終,1
265,何必守章句終年,1
266,必守章句終年事,1
267,守章句終年事鉛,1
268,章句終年事鉛黃,1
269,句終年事鉛黃同,1
270,終年事鉛黃同時,1
271,年事鉛黃同時獻,1
272,事鉛黃同時獻賦,1
273,鉛黃同時獻賦客,1
274,黃同時獻賦客尚,1
275,同時獻賦客尚在,1
276,時獻賦客尚在東,1
