排名,詞彙,出現次數
1,不,308
2,風,207
3,一,206
4,人,204
5,無,184
6,有,181
7,雲,170
8,來,170
9,為,164
10,上,155
11,煙,154
12,如,151
13,山,149
14,日,145
15,中,142
16,自,139
17,時,136
18,清,134
19,天,133
20,下,133
21,何,132
22,未,122
23,君,119
24,月,117
25,春,116
26,得,116
27,是,115
28,花,114
29,寒,112
30,相,109
31,生,101
32,江,97
33,水,97
34,秋,96
35,白,95
36,知,94
37,應,91
38,高,90
39,金,88
40,古,88
41,可,88
42,雨,86
43,欲,83
44,石,83
45,夜,82
46,多,81
47,閑,81
48,明,80
49,猶,79
50,還,78
51,在,78
52,空,77
53,將,75
54,書,75
55,盡,75
56,香,75
57,玉,74
58,聲,73
59,似,73
60,心,73
61,作,73
62,南,72
63,年,72
64,落,72
65,客,72
66,名,71
67,此,71
68,思,70
69,萬,70
70,若,70
71,酒,69
72,子,69
73,見,69
74,誰,68
75,家,68
76,事,68
77,去,67
78,與,67
79,成,67
80,微,67
81,然,66
82,愁,66
83,好,64
84,地,64
85,亦,64
86,能,64
87,聞,63
88,道,62
89,三,62
90,今,62
91,行,61
92,前,61
93,初,61
94,霜,61
95,野,61
96,只,61
97,華,60
98,歸,60
99,遠,59
100,輕,59
101,獨,59
102,我,58
103,林,58
104,處,58
105,更,58
106,飛,57
107,方,57
108,問,56
109,坐,56
110,重,56
111,當,56
112,小,56
113,真,56
114,後,55
115,東,55
116,之,55
117,以,55
118,吟,55
119,深,54
120,疏,54
121,非,53
122,千,53
123,分,53
124,入,53
125,才,52
126,青,52
127,須,52
128,倚,52
129,情,52
130,衣,52
131,草,51
132,雪,51
133,朝,51
134,流,51
135,文,51
136,孤,51
137,波,51
138,鳥,51
139,所,50
140,露,50
141,龍,50
142,光,50
143,散,50
144,溪,50
145,靈,49
146,向,49
147,半,48
148,兮,48
149,餘,47
150,從,47
151,王,47
152,起,47
153,間,47
154,病,47
155,唯,47
156,出,46
157,神,46
158,過,46
159,魚,46
160,已,45
161,外,45
162,碧,45
163,新,45
164,平,45
165,到,45
166,便,45
167,泉,45
168,翠,44
169,看,44
170,莫,43
171,歌,43
172,又,43
173,大,43
174,堪,43
175,幾,43
176,樹,43
177,尚,42
178,鶴,42
179,卻,42
180,同,42
181,仙,42
182,城,41
183,開,41
184,虛,41
185,靜,41
186,門,41
187,者,41
188,醉,41
189,霞,40
190,離,40
191,先,40
192,隨,40
193,色,40
194,吳,40
195,殘,40
196,幽,40
197,窗,40
198,難,39
199,遙,39
200,十,39
201,百,39
202,洞,39
203,頭,39
204,晚,39
205,曾,39
206,陽,38
207,曲,38
208,長,38
209,藥,38
210,臨,38
211,滿,38
212,身,37
213,忽,37
214,斜,37
215,吾,37
216,爭,37
217,遺,37
218,因,37
219,葉,37
220,荒,37
221,夢,37
222,即,37
223,漁,37
224,公,37
225,峰,37
226,松,37
227,邊,36
228,容,36
229,意,36
230,海,36
231,曉,36
232,回,36
233,棲,36
234,枝,35
235,苦,35
236,五,35
237,羽,35
238,玄,35
239,近,35
240,浪,34
241,言,34
242,田,34
243,隱,34
244,著,34
245,少,33
246,橫,33
247,詩,33
248,詞,33
249,其,33
250,破,33
251,紅,33
252,雙,32
253,浮,32
254,國,32
255,任,32
256,共,32
257,豈,32
258,雖,32
259,影,32
260,勞,31
261,望,31
262,動,31
263,別,31
264,驚,31
265,持,31
266,蒙,31
267,和,31
268,岸,30
269,手,30
270,西,30
271,發,30
272,紫,30
273,圖,30
274,奇,30
275,正,30
276,取,30
277,或,30
278,直,30
279,立,30
280,尋,30
281,細,30
282,披,30
283,謝,30
284,封,30
285,憶,30
286,待,30
287,樓,30
288,但,29
289,竹,29
290,垂,29
291,懷,29
292,釣,29
293,裏,29
294,氣,29
295,伴,29
296,庭,29
297,帶,29
298,路,28
299,世,28
300,塵,28
301,終,28
302,短,28
303,斷,28
304,至,28
305,四,28
306,絕,28
307,且,28
308,舊,28
309,休,28
310,愛,27
311,宮,27
312,信,27
313,涼,27
314,數,27
315,吹,27
316,經,27
317,而,27
318,參,27
319,黃,27
320,池,27
321,僧,27
322,帆,27
323,北,26
324,冷,26
325,憐,26
326,解,26
327,使,26
328,合,26
329,節,26
330,照,26
331,教,26
332,舟,26
333,星,26
334,車,25
335,盤,25
336,徒,25
337,常,25
338,敢,25
339,複,25
340,木,25
341,綠,25
342,皆,25
343,乘,25
344,背,25
345,說,25
346,晴,25
347,通,25
348,對,24
349,語,24
350,船,24
351,學,24
352,置,24
353,老,24
354,傾,24
355,兩,24
356,差,24
357,龜,24
358,骨,24
359,忘,24
360,鬥,24
361,笑,24
362,寄,23
363,絲,23
364,足,23
365,陰,23
366,早,23
367,魂,23
368,勢,23
369,縱,23
370,窺,23
371,鹿,23
372,襟,23
373,期,23
374,移,23
375,亂,23
376,根,23
377,逢,23
378,堂,22
379,幹,22
380,聽,22
381,於,22
382,飄,22
383,皮,22
384,凝,22
385,用,22
386,徑,22
387,攜,22
388,眠,22
389,抱,21
390,宿,21
391,蘭,21
392,口,21
393,兒,21
394,士,21
395,九,21
396,強,21
397,窮,21
398,利,21
399,精,21
400,編,21
401,漸,21
402,臥,21
403,蒼,21
404,群,21
405,丁,21
406,暮,21
407,偏,21
408,聊,20
409,傍,20
410,求,20
411,調,20
412,往,20
413,安,20
414,佳,20
415,音,20
416,弦,20
417,沙,20
418,功,20
419,載,20
420,鳳,20
421,悲,20
422,易,20
423,賢,20
424,毫,20
425,齊,20
426,陸,20
427,桂,20
428,疑,20
429,薄,20
430,蓬,20
431,拂,20
432,苔,20
433,沈,20
434,帝,20
435,簷,20
436,佩,20
437,珠,20
438,墮,20
439,故,20
440,采,19
441,昔,19
442,連,19
443,燕,19
444,轉,19
445,傳,19
446,恨,19
447,必,19
448,戰,19
449,會,19
450,親,19
451,裁,19
452,雅,19
453,肯,19
454,雄,19
455,芳,19
456,況,19
457,茅,19
458,低,19
459,村,19
460,搖,19
461,川,19
462,湖,19
463,汀,19
464,禽,19
465,官,19
466,交,18
467,暗,18
468,丹,18
469,漢,18
470,含,18
471,夫,18
472,劍,18
473,越,18
474,遲,18
475,首,18
476,既,18
477,結,18
478,力,18
479,皇,18
480,芝,18
481,火,18
482,居,18
483,琴,18
484,物,18
485,齋,18
486,繞,18
487,端,18
488,定,18
489,輪,17
490,盈,17
491,衰,17
492,登,17
493,命,17
494,憑,17
495,遂,17
496,最,17
497,鳴,17
498,灑,17
499,遊,17
500,太,17
501,八,17
502,危,17
503,侯,17
504,遍,17
505,左,17
506,梁,17
507,枕,17
508,守,17
509,良,17
510,詠,17
511,桐,17
512,巾,17
513,樂,17
514,冠,17
515,嘗,17
516,全,17
517,旋,17
518,洲,17
519,岩,17
520,鄰,17
521,烏,17
522,留,17
523,貴,16
524,負,16
525,缺,16
526,映,16
527,寥,16
528,號,16
529,尊,16
530,次,16
531,焚,16
532,角,16
533,步,16
534,穴,16
535,二,16
536,消,16
537,枯,16
538,懸,16
539,機,16
540,字,16
541,兼,16
542,折,16
543,覺,16
544,島,16
545,竿,16
546,興,16
547,性,16
548,禪,16
549,夕,16
550,度,16
551,片,16
552,荷,16
553,翁,16
554,巢,16
555,饑,15
556,食,15
557,束,15
558,目,15
559,形,15
560,淩,15
561,屏,15
562,唱,15
563,女,15
564,主,15
565,諸,15
566,偶,15
567,筆,15
568,鴻,15
569,代,15
570,虎,15
571,抽,15
572,淨,15
573,訪,15
574,師,15
575,憂,15
576,卿,15
577,尺,15
578,賦,15
579,寂,15
580,蕭,15
581,靄,15
582,識,15
583,條,15
584,赤,15
585,杯,15
586,殿,15
587,依,15
588,歲,15
589,柳,15
590,耳,14
591,朱,14
592,弄,14
593,要,14
594,敵,14
595,聖,14
596,室,14
597,籍,14
598,並,14
599,異,14
600,景,14
601,麗,14
602,本,14
603,簡,14
604,屋,14
605,床,14
606,染,14
607,壇,14
608,篁,14
609,喜,14
610,欹,14
611,關,14
612,鷗,14
613,舞,14
614,里,14
615,題,14
616,傷,14
617,送,14
618,飲,14
619,蕙,14
620,拜,14
621,棹,13
622,郎,13
623,盛,13
624,歡,13
625,霧,13
626,歎,13
627,種,13
628,顏,13
629,爾,13
630,河,13
631,氏,13
632,右,13
633,徐,13
634,恐,13
635,軒,13
636,致,13
637,積,13
638,比,13
639,毛,13
640,旗,13
641,臣,13
642,園,13
643,拋,13
644,急,13
645,死,13
646,侵,13
647,暫,13
648,雜,13
649,穿,13
650,鬢,13
651,化,13
652,都,13
653,冥,13
654,境,13
655,象,13
656,蘿,13
657,辭,13
658,蕊,13
659,杉,13
660,澗,13
661,頻,13
662,收,13
663,想,13
664,扇,13
665,蓮,13
666,供,13
667,滴,13
668,買,13
669,浩,12
670,蓋,12
671,洛,12
672,由,12
673,馬,12
674,久,12
675,潛,12
676,井,12
677,籟,12
678,疾,12
679,沉,12
680,沒,12
681,六,12
682,論,12
683,陳,12
684,免,12
685,戶,12
686,史,12
687,墨,12
688,擬,12
689,值,12
690,支,12
691,味,12
692,甘,12
693,凍,12
694,澤,12
695,跡,12
696,樵,12
697,兵,12
698,暖,12
699,也,12
700,狂,12
701,錢,12
702,材,12
703,藏,12
704,紛,12
705,怪,12
706,極,12
707,鐘,12
708,翰,12
709,探,12
710,嵐,12
711,招,12
712,倒,12
713,授,12
714,畫,12
715,稱,12
716,試,12
