排名,詞彙,出現次數
1,思歸,2
2,歸寄,2
3,答澈,2
4,澈公,2
5,寄王,1
6,王事,1
7,事紛,1
8,紛紛,1
9,紛無,1
10,無暇,1
11,暇日,1
12,日浮,1
13,浮生,1
14,生冉,1
15,冉冉,1
16,冉只,1
17,只如,1
18,如雲,1
19,雲思,1
20,寄已,1
21,已為,1
22,為平,1
23,平子,1
24,子歸,1
25,歸休,1
26,休計,1
27,計五,1
28,五老,1
29,老岩,1
30,岩前,1
31,前必,1
32,必共,1
33,共聞,1
34,聞答,1
35,公空,1
36,空山,1
37,山泉,1
38,泉落,1
39,落松,1
40,松窗,1
41,窗靜,1
42,靜閑,1
43,閑地,1
44,地草,1
45,草生,1
46,生春,1
47,春日,1
48,日遲,1
49,遲答,1
50,公白,1
51,白髮,1
52,髮漸,1
53,漸多,1
54,多身,1
55,身未,1
56,未退,1
57,退依,1
58,依依,1
59,依常,1
60,常在,1
61,在永,1
62,永禪,1
63,禪師,1
