排名,詞彙,出現次數
1,不,270
2,山,234
3,一,223
4,人,215
5,日,198
6,時,183
7,已,174
8,何,173
9,高,170
10,中,169
11,無,162
12,雲,160
13,來,159
14,風,151
15,方,147
16,自,143
17,有,140
18,清,138
19,為,137
20,獨,134
21,此,133
22,林,132
23,生,131
24,心,118
25,還,116
26,歸,111
27,如,110
28,子,110
29,朝,109
30,知,107
31,上,106
32,見,105
33,夜,105
34,春,103
35,幽,103
36,雨,102
37,長,100
38,秋,99
39,事,98
40,在,97
41,複,97
42,空,96
43,當,96
44,寒,95
45,同,95
46,月,94
47,門,94
48,去,93
49,夕,92
50,水,92
51,相,91
52,思,91
53,下,89
54,出,89
55,豈,87
56,忽,86
57,未,86
58,可,86
59,樹,85
60,行,85
61,遠,85
62,年,84
63,得,84
64,城,83
65,天,83
66,望,81
67,東,80
68,今,79
69,與,79
70,草,78
71,滿,78
72,芳,77
73,花,77
74,遊,76
75,君,75
76,明,74
77,始,74
78,流,74
79,世,73
80,南,73
81,居,73
82,亦,73
83,所,72
84,道,71
85,起,71
86,新,70
87,園,69
88,多,69
89,郡,69
90,景,68
91,馬,67
92,別,67
93,故,66
94,欲,66
95,西,66
96,情,66
97,言,66
98,野,66
99,露,65
100,歲,65
101,白,64
102,綠,62
103,華,62
104,閣,62
105,非,61
106,齋,61
107,將,61
108,玉,60
109,煙,60
110,暮,60
111,陽,60
112,塵,59
113,路,59
114,意,58
115,守,58
116,海,58
117,餘,57
118,物,57
119,歡,57
120,對,56
121,青,56
122,散,56
123,氣,56
124,書,56
125,文,56
126,池,55
127,川,55
128,鳥,54
129,晨,54
130,安,53
131,竹,52
132,念,52
133,成,52
134,離,52
135,猶,51
136,坐,51
137,千,51
138,茲,51
139,雪,51
140,蕭,51
141,客,50
142,處,50
143,跡,50
144,懷,49
145,微,49
146,往,48
147,誰,48
148,從,48
149,酒,48
150,良,48
151,平,48
152,臨,48
153,蒼,48
154,衣,47
155,我,47
156,陰,46
157,落,46
158,重,46
159,間,45
160,素,45
161,結,44
162,遙,44
163,疏,44
164,深,44
165,沉,43
166,然,43
167,家,42
168,難,42
169,期,42
170,涼,42
171,石,42
172,地,41
173,泉,41
174,木,41
175,群,40
176,前,40
177,霜,40
178,田,40
179,舊,40
180,河,40
181,澗,40
182,萬,39
183,開,39
184,光,39
185,且,39
186,裏,39
187,夏,39
188,驚,39
189,終,39
190,車,38
191,之,38
192,聲,38
193,百,38
194,發,38
195,昔,38
196,燕,38
197,賞,38
198,宿,38
199,士,38
200,雖,38
201,寂,38
202,絕,38
203,能,37
204,古,37
205,節,37
206,是,36
207,永,36
208,宴,36
209,京,36
210,十,35
211,聞,35
212,俱,35
213,樂,34
214,更,34
215,名,34
216,抱,34
217,愛,34
218,三,34
219,眾,34
220,身,34
221,以,34
222,橫,33
223,遇,33
224,國,33
225,北,33
226,色,33
227,含,33
228,入,33
229,仙,33
230,憂,33
231,分,33
232,游,33
233,飲,33
234,江,32
235,登,32
236,陵,32
237,金,32
238,公,32
239,關,32
240,回,32
241,況,32
242,端,32
243,四,32
244,佳,31
245,親,31
246,英,31
247,鐘,31
248,罷,31
249,攜,31
250,騎,31
251,留,31
252,閑,31
253,棲,31
254,條,30
255,香,30
256,飛,30
257,正,30
258,共,30
259,孤,30
260,聊,30
261,飄,30
262,洛,30
263,鳴,30
264,屬,30
265,府,30
266,憶,30
267,曲,29
268,葉,29
269,繞,29
270,應,29
271,才,29
272,動,29
273,感,29
274,掩,29
275,尚,28
276,初,28
277,至,28
278,久,28
279,廣,28
280,本,28
281,詩,28
282,都,28
283,舟,28
284,看,28
285,仰,28
286,緣,28
287,漢,27
288,過,27
289,郊,27
290,晏,27
291,少,27
292,松,27
293,尋,27
294,傷,26
295,問,26
296,照,26
297,大,26
298,宮,26
299,變,26
300,靜,26
301,禽,26
302,庭,26
303,忻,26
304,淒,26
305,但,26
306,積,26
307,碧,26
308,晚,25
309,連,25
310,窗,25
311,恨,25
312,盈,25
313,屢,25
314,嘉,25
315,曠,25
316,及,25
317,理,25
318,令,25
319,徒,25
320,賓,24
321,曉,24
322,駕,24
323,想,24
324,度,24
325,興,24
326,闕,24
327,觴,24
328,忘,24
329,幾,24
330,依,24
331,聽,24
332,原,24
333,靈,24
334,蒙,23
335,兩,23
