排名,詞彙,出現次數
1,經望湖驛,5
2,望湖驛大,1
3,湖驛大漠,1
4,驛大漠無,1
5,大漠無屯,1
6,漠無屯雲,1
7,無屯雲孤,1
8,屯雲孤峰,1
9,雲孤峰出,1
10,孤峰出亂,1
11,峰出亂柳,1
12,出亂柳前,1
13,亂柳前驅,1
14,柳前驅白,1
15,前驅白登,1
16,驅白登道,1
17,白登道顧,1
18,登道顧失,1
19,道顧失飛,1
20,顧失飛狐,1
21,失飛狐口,1
22,飛狐口經,1
23,狐口經望,1
24,口經望湖,1
25,望湖驛遙,1
26,湖驛遙憶,1
27,驛遙憶代,1
28,遙憶代王,1
29,憶代王城,1
30,代王城俯,1
31,王城俯臨,1
32,城俯臨恒,1
33,俯臨恒山,1
34,臨恒山後,1
35,恒山後累,1
36,山後累累,1
37,後累累多,1
38,累累多古,1
39,累多古墓,1
40,多古墓寂,1
41,古墓寂寞,1
42,墓寂寞為,1
43,寂寞為墟,1
44,寞為墟久,1
45,為墟久經,1
46,墟久經望,1
47,久經望湖,1
48,望湖驛豈,1
49,湖驛豈不,1
50,驛豈不固,1
51,豈不固金,1
52,不固金湯,1
53,固金湯終,1
54,金湯終聞,1
55,湯終聞擊,1
56,終聞擊銅,1
57,聞擊銅鬥,1
58,擊銅鬥交,1
59,銅鬥交歡,1
60,鬥交歡初,1
61,交歡初仗,1
62,歡初仗信,1
63,初仗信接,1
64,仗信接宴,1
65,信接宴翻,1
66,接宴翻貽,1
67,宴翻貽咎,1
68,翻貽咎經,1
69,貽咎經望,1
70,咎經望湖,1
71,望湖驛埋,1
72,湖驛埋寶,1
73,驛埋寶賊,1
74,埋寶賊夫,1
75,寶賊夫人,1
76,賊夫人磨,1
77,夫人磨笄,1
78,人磨笄傷,1
79,磨笄傷彼,1
80,笄傷彼婦,1
81,傷彼婦功,1
82,彼婦功成,1
83,婦功成行,1
84,功成行且,1
85,成行且薄,1
86,行且薄義,1
87,且薄義立,1
88,薄義立名,1
89,義立名不,1
90,立名不朽,1
91,名不朽經,1
92,不朽經望,1
93,朽經望湖,1
94,望湖驛莫,1
95,湖驛莫慎,1
96,驛莫慎纖,1
97,莫慎纖微,1
98,慎纖微端,1
99,纖微端其,1
100,微端其何,1
101,端其何社,1
102,其何社稷,1
103,何社稷守,1
104,社稷守身,1
105,稷守身歿,1
106,守身歿國,1
107,身歿國遂,1
108,歿國遂亡,1
109,國遂亡此,1
110,遂亡此立,1
111,亡此立人,1
112,此立人君,1
113,立人君醜,1
