排名,詞彙,出現次數
1,金帶連環,2
2,帶連環束,2
3,連環束戰,2
4,環束戰袍,2
5,束戰袍馬,2
6,戰袍馬頭,2
7,袍馬頭沖,2
8,馬頭沖雪,2
9,頭沖雪度,2
10,沖雪度臨,2
11,雪度臨洮,2
12,度臨洮卷,2
13,臨洮卷旗,2
14,洮卷旗夜,2
15,卷旗夜劫,2
16,旗夜劫單,2
17,夜劫單于,2
18,劫單于帳,2
19,單于帳亂,2
20,于帳亂斫,2
21,帳亂斫胡,2
22,秋色渡江,2
23,潮回島嶼,2
24,回島嶼多,2
25,稀逢息心,2
26,逢息心侶,2
27,傳肘後方,2
28,亂斫胡兵,1
29,斫胡兵缺,1
30,胡兵缺寶,1
31,兵缺寶刀,1
32,缺寶刀雁,1
33,寶刀雁塞,1
34,刀雁塞日,1
35,雁塞日初,1
36,塞日初晴,1
37,日初晴胡,1
38,初晴胡關,1
39,晴胡關雪,1
40,胡關雪複,1
41,關雪複平,1
42,雪複平危,1
43,複平危竿,1
44,平危竿緣,1
45,危竿緣廣,1
46,竿緣廣漠,1
47,緣廣漠古,1
48,廣漠古竇,1
49,漠古竇傍,1
50,古竇傍長,1
51,竇傍長城,1
52,傍長城拔,1
53,長城拔劍,1
54,城拔劍金,1
55,拔劍金星,1
56,劍金星出,1
57,金星出彎,1
58,星出彎弧,1
59,出彎弧玉,1
60,彎弧玉羽,1
61,弧玉羽鳴,1
62,玉羽鳴誰,1
63,羽鳴誰知,1
64,鳴誰知系,1
65,誰知系虜,1
66,知系虜者,1
67,系虜者賈,1
68,虜者賈誼,1
69,者賈誼是,1
70,賈誼是書,1
71,誼是書生,1
72,是書生強,1
73,書生強開,1
74,生強開尊,1
75,強開尊酒,1
76,開尊酒向,1
77,尊酒向陵,1
78,酒向陵看,1
79,向陵看憶,1
80,陵看憶得,1
81,看憶得君,1
82,憶得君王,1
83,得君王舊,1
84,君王舊日,1
85,王舊日歡,1
86,舊日歡不,1
87,日歡不覺,1
88,歡不覺餘,1
89,不覺餘歌,1
90,覺餘歌悲,1
91,餘歌悲自,1
92,歌悲自斷,1
93,悲自斷非,1
94,自斷非關,1
95,斷非關豔,1
96,非關豔曲,1
97,關豔曲轉,1
98,豔曲轉聲,1
99,曲轉聲難,1
100,轉聲難領,1
101,聲難領得,1
102,難領得賣,1
103,領得賣珠,1
104,得賣珠錢,1
105,賣珠錢還,1
106,珠錢還歸,1
107,錢還歸銅,1
108,還歸銅柱,1
109,歸銅柱邊,1
110,銅柱邊看,1
111,柱邊看兒,1
112,邊看兒調,1
113,看兒調小,1
114,兒調小象,1
115,調小象打,1
116,小象打鼓,1
117,象打鼓放,1
118,打鼓放新,1
119,鼓放新船,1
120,放新船醉,1
121,新船醉後,1
