排名,詞彙,出現次數
1,愁,4
2,不,3
3,院,3
4,賦,3
5,和,2
6,白,2
7,敏,2
8,中,2
9,戍,2
10,遠,2
11,煙,2
12,塵,2
13,貢,2
14,題,2
15,深,2
16,年,2
17,蕭,1
18,關,1
19,新,1
20,復,1
21,舊,1
22,山,1
23,川,1
24,古,1
25,秦,1
26,原,1
27,景,1
28,象,1
29,鮮,1
30,戎,1
31,虜,1
32,乞,1
33,降,1
34,歸,1
35,惠,1
36,化,1
37,皇,1
38,威,1
39,漸,1
40,被,1
41,懾,1
42,腥,1
43,膻,1
44,穹,1
45,廬,1
46,滅,1
47,神,1
48,武,1
49,光,1
50,揚,1
51,竹,1
52,帛,1
53,傳,1
54,左,1
55,衽,1
56,盡,1
57,知,1
58,歌,1
59,帝,1
60,澤,1
61,從,1
62,茲,1
63,更,1
64,備,1
65,三,1
66,邊,1
67,梧,1
68,桐,1
69,葉,1
70,落,1
71,滿,1
72,庭,1
73,陰,1
74,鎖,1
75,閉,1
76,朱,1
77,門,1
78,試,1
79,曾,1
80,是,1
81,昔,1
82,辛,1
83,苦,1
84,地,1
85,將,1
86,今,1
87,日,1
88,負,1
89,初,1
90,心,1
91,迥,1
92,野,1
93,秋,1
94,生,1
95,枕,1
96,上,1
97,起,1
98,眉,1
99,頭,1
100,閨,1
101,閣,1
102,危,1
103,坐,1
104,風,1
105,遊,1
106,巴,1
107,猿,1
108,啼,1
109,住,1
110,谷,1
111,水,1
112,咽,1
113,還,1
114,流,1
115,送,1
116,客,1
117,泊,1
118,舟,1
119,入,1
120,浦,1
121,思,1
122,鄉,1
123,望,1
124,月,1
125,登,1
126,樓,1
127,波,1
128,早,1
129,晚,1
130,長,1
131,羈,1
132,旅,1
133,弦,1
134,管,1
135,終,1
136,樂,1
137,五,1
138,侯,1
