排名,詞彙,出現次數
1,書懷,4
2,從弟,4
3,弟舍,4
4,舍人,4
5,春晚,3
6,秋夕,3
7,夕書,3
8,郡樓,3
9,蜀都,2
10,感懷,2
11,樓寓,2
12,寓懷,2
13,中春,2
14,春宴,2
15,宴游,2
16,閑望,2
17,書事,2
18,寄長,2
19,長安,2
20,登樓,2
21,妓不,2
22,不至,2
23,春夕,2
24,寓興,2
25,大師,2
26,自遣,2
27,登郡,2
28,樓書,2
29,夢歸,1
30,歸故,1
31,故園,1
32,園蜀,1
33,都春,1
34,晚感,1
35,懷對,1
36,對雨,1
37,雨春,1
38,春霽,1
39,霽秋,1
40,懷春,1
41,春宵,1
42,宵秋,1
43,懷呈,1
44,呈戎,1
45,戎州,1
46,州郎,1
47,郎中,1
48,中晚,1
49,晚樓,1
50,懷征,1
51,征婦,1
52,婦怨,1
53,怨對,1
54,對鏡,1
55,鏡春,1
56,春燕,1
57,燕春,1
58,晚寓,1
59,懷中,1
60,游春,1
61,晚閑,1
62,望秋,1
63,事蓮,1
64,蓮塘,1
65,塘霽,1
66,霽望,1
67,望送,1
68,送從,1
69,人入,1
70,入蜀,1
71,蜀新,1
72,新回,1
73,回車,1
74,車院,1
75,院筵,1
76,筵上,1
77,上作,1
78,作寄,1
79,安鄭,1
80,鄭員,1
81,員外,1
82,外咸,1
83,咸陽,1
84,陽懷,1
85,懷古,1
86,古春,1
87,春怨,1
88,怨登,1
89,寓望,1
90,望江,1
91,江岸,1
92,岸獨,1
93,獨步,1
94,步江,1
95,江樓,1
96,樓望,1
97,望鄉,1
98,鄉寄,1
99,寄內,1
100,內命,1
101,命妓,1
102,至宣,1
103,宣賜,1
104,賜錦,1
105,錦袍,1
106,袍設,1
107,設上,1
108,上贈,1
109,贈諸,1
110,諸郡,1
111,郡客,1
112,客晨,1
113,晨雞,1
114,雞芳,1
115,芳春,1
116,春春,1
117,春遊,1
118,遊重,1
119,重陽,1
120,陽感,1
121,懷宴,1
122,游池,1
123,池館,1
124,館寄,1
125,寄高,1
126,高書,1
127,書記,1
128,記再,1
129,再見,1
130,見從,1
131,人春,1
132,春晝,1
133,晝醉,1
134,醉眠,1
135,眠中,1
136,中夏,1
137,夏晝,1
138,晝臥,1
139,臥春,1
140,夕寓,1
141,興春,1
142,春夜,1
143,夜訪,1
144,訪飲,1
145,飲妓,1
146,不遇,1
147,遇招,1
148,招酒,1
149,酒徒,1
150,徒不,1
151,至春,1
152,宴河,1
153,河亭,1
154,亭蜀,1
155,都道,1
156,道中,1
157,中萬,1
158,萬葛,1
159,葛樹,1
160,樹春,1
161,夕遣,1
162,遣懷,1
163,懷西,1
164,西齋,1
165,齋新,1
166,新蟬,1
167,蟬寄,1
168,寄滑,1
169,滑州,1
170,州文,1
171,文秀,1
172,秀大,1
173,師中,1
174,春登,1
175,樓自,1
176,遣偶,1
177,偶有,1
178,有下,1
179,下殤,1
180,殤因,1
181,因而,1
182,而自,1
183,遣倦,1
184,倦學,1
185,學去,1
186,去年,1
187,年今,1
188,今日,1
189,日晝,1
190,晝寢,1
191,寢郡,1
192,郡齋,1
193,齋寓,1
194,興郡,1
195,樓閑,1
196,望書,1
197,懷玉,1
198,玉燭,1
199,燭花,1
200,花從,1
201,人惠,1
202,惠茶,1
203,茶再,1
204,再看,1
205,看光,1
206,光福,1
207,福寺,1
208,寺牡,1
209,牡丹,1
210,丹海,1
211,海棠,1
212,棠花,1
213,花新,1
214,新竹,1
215,竹木,1
216,木芙,1
217,芙蓉,1
218,蓉送,1
219,送二,1
220,二郎,1
221,郎君,1
222,君歸,1
223,歸長,1
224,安送,1
225,送文,1
226,文英,1
227,英大,1
228,師酬,1
229,酬勾,1
230,勾評,1
231,評事,1
232,事初,1
233,初至,1
234,至郡,1
235,郡界,1
236,界到,1
237,到郡,1
238,郡後,1
239,後有,1
240,有寄,1
241,長春,1
242,春節,1
243,節登,1
244,事旭,1
245,旭川,1
246,川祁,1
247,祁宰,1
248,宰思,1
249,思家,1
250,家而,1
251,而卒,1
252,卒因,1
253,因述,1
254,述意,1
255,意呈,1
256,呈秦,1
257,秦川,1
258,川知,1
259,知己,1
260,己登,1
261,懷偶,1
262,偶聞,1
263,聞官,1
264,官吏,1
265,吏舉,1
266,舉請,1
267,請輒,1
268,輒有,1
269,有一,1
270,一篇,1
271,篇寄,1
272,寄從,1
273,人誡,1
274,誡是,1
275,是非,1
276,非簡,1
277,簡豎,1
278,豎儒,1
279,儒貽,1
280,貽諸,1
281,諸學,1
282,學童,1
