排名,詞彙,出現次數
1,秀才,5
2,早秋,4
3,歐陽,3
4,西歸,2
5,旅懷,2
6,處士,2
7,陽秀,2
8,贈道,2
9,道者,2
10,傷春,1
11,春感,1
12,感懷,1
13,懷閏,1
14,閏三,1
15,三月,1
16,月早,1
17,秋遊,1
18,遊湖,1
19,湖上,1
20,上亭,1
21,亭宿,1
22,宿漁,1
23,漁家,1
24,家旅,1
25,旅中,1
26,中早,1
27,秋早,1
28,秋西,1
29,歸有,1
30,有懷,1
31,懷冬,1
32,冬夜,1
33,夜旅,1
34,懷塞,1
35,塞上,1
36,上作,1
37,作秋,1
38,秋日,1
39,日寄,1
40,寄陳,1
41,陳景,1
42,景孚,1
43,孚秀,1
44,才冬,1
45,冬日,1
46,日送,1
47,送友,1
48,友人,1
49,人西,1
50,歸感,1
51,感寓,1
52,寓七,1
53,七夕,1
54,夕晚,1
55,晚春,1
56,春陪,1
57,陪王,1
58,王員,1
59,員外,1
60,外東,1
61,東塘,1
62,塘游,1
63,游宴,1
64,宴游,1
65,游東,1
66,東湖,1
67,湖黃,1
68,黃處,1
69,士園,1
70,園林,1
71,林題,1
72,題許,1
73,許子,1
74,子正,1
75,正處,1
76,士新,1
77,新池,1
78,池旅,1
79,懷早,1
80,秋歸,1
81,歸歐,1
82,陽示,1
83,示新,1
84,新詩,1
85,詩因,1
86,因貽,1
87,貽四,1
88,四韻,1
89,韻尉,1
90,尉遲,1
91,遲將,1
92,將軍,1
93,軍贈,1
94,贈歐,1
95,才贈,1
96,者贈,1
97,者遣,1
98,遣懷,1
99,懷寄,1
100,寄歐,1
101,才送,1
102,送元,1
103,元秀,1
104,才入,1
105,入道,1
106,道三,1
107,三閭,1
108,閭大,1
109,大夫,1
110,夫傷,1
111,傷曾,1
112,曾秀,1
113,才馬,1
