排名,詞彙,出現次數
1,高士,50
2,士詠,50
3,人高,7
4,廬山,5
5,真人,5
6,先生,4
7,生高,4
8,子高,3
9,夫妻,3
10,妻高,3
11,山人,2
12,彭蠡,2
13,蠡湖,2
14,舟中,2
15,言懷,2
16,成子,2
17,高高,2
18,丈人,2
19,詠南,2
20,詠顏,2
21,詠鄭,2
22,陵高,2
23,公高,2
24,詠嚴,2
25,平高,2
26,倚帝,2
27,帝山,2
28,山秋,2
29,秋日,2
30,覽古,1
31,古十,1
32,十四,1
33,四首,1
34,首步,1
35,步虛,1
36,虛詞,1
37,詞十,1
38,十首,1
39,首登,1
40,登北,1
41,北固,1
42,固山,1
43,山望,1
44,望海,1
45,海聽,1
46,聽尹,1
47,尹煉,1
48,煉師,1
49,師彈,1
50,彈琴,1
51,琴題,1
52,題龔,1
53,龔山,1
54,人草,1
55,草堂,1
56,堂遊,1
57,遊廬,1
58,山五,1
59,五老,1
60,老峰,1
61,峰登,1
62,登廬,1
63,山東,1
64,東峰,1
65,峰觀,1
66,觀九,1
67,九江,1
68,江合,1
69,合彭,1
70,湖建,1
71,建業,1
72,業懷,1
73,懷古,1
74,古經,1
75,經羊,1
76,羊角,1
77,角哀,1
78,哀墓,1
79,墓作,1
80,作過,1
81,過天,1
82,天門,1
83,門山,1
84,山懷,1
85,懷友,1
86,友舟,1
87,中遇,1
88,遇柳,1
89,柳伯,1
90,伯存,1
91,存歸,1
92,歸潛,1
93,潛山,1
94,山因,1
95,因有,1
96,有此,1
97,此贈,1
98,贈舟,1
99,中夜,1
100,夜行,1
101,行晚,1
102,晚到,1
103,到湖,1
104,湖口,1
105,口見,1
106,見廬,1
107,山作,1
108,作呈,1
109,呈諸,1
110,諸故,1
111,故人,1
112,人苦,1
113,苦春,1
114,春霖,1
115,霖作,1
116,作寄,1
117,寄友,1
118,友酬,1
119,酬葉,1
120,葉縣,1
121,縣劉,1
122,劉明,1
123,明府,1
124,府避,1
125,避地,1
126,地廬,1
127,山言,1
128,懷詒,1
129,詒鄭,1
130,鄭錄,1
131,錄事,1
132,事昆,1
133,昆季,1
134,季苟,1
135,苟尊,1
136,尊師,1
137,師兼,1
138,兼見,1
139,見贈,1
140,贈之,1
141,之高,1
142,詠混,1
143,混元,1
144,元皇,1
145,皇帝,1
146,帝高,1
147,詠廣,1
148,廣成,1
149,詠許,1
150,許先,1
151,詠樊,1
152,樊先,1
153,詠柏,1
154,柏成,1
155,詠臧,1
156,臧丈,1
157,詠伯,1
158,伯夷,1
159,夷叔,1
160,叔齊,1
161,齊高,1
162,南華,1
163,華真,1
164,詠沖,1
165,沖虛,1
166,虛真,1
167,詠洞,1
168,洞靈,1
169,靈真,1
170,詠通,1
171,通玄,1
172,玄真,1
173,詠文,1
174,文始,1
175,始真,1
176,詠榮,1
177,榮啟,1
178,啟期,1
179,期高,1
180,詠長,1
181,長沮,1
182,沮桀,1
183,桀溺,1
184,溺高,1
185,顏闔,1
186,闔高,1
187,詠老,1
188,老萊,1
189,萊夫,1
190,詠楚,1
191,楚狂,1
192,狂接,1
193,接輿,1
194,輿夫,1
195,鄭商,1
196,商人,1
197,人弦,1
198,弦高,1
199,詠柳,1
200,柳下,1
201,下惠,1
202,惠高,1
203,詠荷,1
204,荷蓧,1
205,蓧晨,1
206,晨門,1
207,門高,1
208,詠漢,1
209,漢陰,1
210,陰丈,1
211,詠于,1
212,于陵,1
213,陵夫,1
214,詠項,1
215,項橐,1
216,橐高,1
217,詠太,1
218,太伯,1
219,伯延,1
220,延陵,1
221,詠壺,1
222,壺丘,1
223,丘子,1
224,詠段,1
225,段幹,1
226,幹木,1
227,木高,1
228,詠魯,1
229,魯仲,1
230,仲連,1
231,連高,1
232,顏歜,1
233,歜高,1
234,詠周,1
235,周豐,1
236,豐高,1
237,詠師,1
238,師金,1
239,金高,1
240,南郭,1
241,郭子,1
242,子綦,1
243,綦高,1
244,詠黔,1
245,黔婁,1
246,婁先,1
247,詠原,1
248,原憲,1
249,憲高,1
250,詠商,1
251,商山,1
252,山四,1
253,四皓,1
254,皓高,1
255,詠河,1
256,河上,1
257,上公,1
258,詠東,1
259,東方,1
260,方曼,1
261,曼倩,1
262,倩高,1
263,嚴君,1
264,君平,1
265,詠司,1
266,司馬,1
267,馬季,1
268,季主,1
269,主高,1
270,鄭子,1
271,子真,1
272,真張,1
273,張仲,1
274,仲蔚,1
275,蔚高,1
276,嚴子,1
277,子陵,1
278,詠向,1
279,向子,1
280,子平,1
281,詠韓,1
282,韓康,1
283,康高,1
284,詠台,1
285,台佟,1
286,佟管,1
287,管甯,1
288,甯高,1
289,詠高,1
290,高鳳,1
291,鳳高,1
292,詠龐,1
293,龐德,1
294,德公,1
295,詠玄,1
296,玄晏,1
297,晏先,1
298,詠孫,1
299,孫公,1
300,公和,1
301,和高,1
302,詠董,1
303,董威,1
304,威輦,1
305,輦高,1
306,詠郭,1
307,郭文,1
308,文舉,1
309,舉高,1
310,詠陶,1
311,陶征,1
312,征君,1
313,君元,1
314,元日,1
315,日言,1
316,懷因,1
317,因以,1
318,以自,1
319,自勵,1
320,勵詒,1
321,詒諸,1
322,諸同,1
323,同志,1
324,志同,1
325,同劉,1
326,劉主,1
327,主簿,1
328,簿承,1
329,承介,1
330,介建,1
