排名,詞彙,出現次數
1,漁父詞一十八首,18
2,父詞一十八首神,2
3,獻鄭思遠施真人,1
4,鄭思遠施真人二,1
5,思遠施真人二仙,1
6,遠施真人二仙得,1
7,施真人二仙得火,1
8,真人二仙得火龍,1
9,人二仙得火龍真,1
10,二仙得火龍真人,1
11,仙得火龍真人劍,1
12,得火龍真人劍法,1
13,火龍真人劍法七,1
14,龍真人劍法七言,1
15,真人劍法七言真,1
16,人劍法七言真人,1
17,劍法七言真人行,1
18,法七言真人行巴,1
19,七言真人行巴陵,1
20,言真人行巴陵市,1
21,真人行巴陵市太,1
22,人行巴陵市太守,1
23,行巴陵市太守怒,1
24,巴陵市太守怒其,1
25,陵市太守怒其不,1
26,市太守怒其不避,1
27,太守怒其不避使,1
28,守怒其不避使案,1
29,怒其不避使案吏,1
30,其不避使案吏具,1
31,不避使案吏具其,1
32,避使案吏具其罪,1
33,使案吏具其罪真,1
34,案吏具其罪真人,1
35,吏具其罪真人詩,1
36,具其罪真人詩曰,1
37,其罪真人詩曰仙,1
38,罪真人詩曰仙樂,1
39,真人詩曰仙樂侑,1
40,人詩曰仙樂侑席,1
41,詩曰仙樂侑席題,1
42,曰仙樂侑席題桐,1
43,仙樂侑席題桐柏,1
44,樂侑席題桐柏山,1
45,侑席題桐柏山黃,1
46,席題桐柏山黃先,1
47,題桐柏山黃先生,1
48,桐柏山黃先生庵,1
49,柏山黃先生庵門,1
50,山黃先生庵門絕,1
51,黃先生庵門絕句,1
52,先生庵門絕句徽,1
53,生庵門絕句徽宗,1
54,庵門絕句徽宗齋,1
55,門絕句徽宗齋會,1
56,絕句徽宗齋會七,1
57,句徽宗齋會七夕,1
58,徽宗齋會七夕贈,1
59,宗齋會七夕贈李,1
60,齋會七夕贈李德,1
61,會七夕贈李德成,1
62,七夕贈李德成牧,1
63,夕贈李德成牧童,1
64,贈李德成牧童潭,1
65,李德成牧童潭州,1
66,德成牧童潭州鶴,1
67,成牧童潭州鶴會,1
68,牧童潭州鶴會紹,1
69,童潭州鶴會紹興,1
70,潭州鶴會紹興道,1
71,州鶴會紹興道會,1
72,鶴會紹興道會贈,1
73,會紹興道會贈曹,1
74,紹興道會贈曹先,1
75,興道會贈曹先生,1
76,道會贈曹先生海,1
77,會贈曹先生海上,1
78,贈曹先生海上相,1
79,曹先生海上相逢,1
80,先生海上相逢趙,1
81,生海上相逢趙同,1
82,海上相逢趙同題,1
83,上相逢趙同題鳳,1
84,相逢趙同題鳳翔,1
85,逢趙同題鳳翔府,1
86,趙同題鳳翔府天,1
87,同題鳳翔府天慶,1
88,題鳳翔府天慶觀,1
89,鳳翔府天慶觀劍,1
90,翔府天慶觀劍畫,1
91,府天慶觀劍畫此,1
92,天慶觀劍畫此詩,1
93,慶觀劍畫此詩於,1
94,觀劍畫此詩於襄,1
95,劍畫此詩於襄陽,1
96,畫此詩於襄陽雪,1
97,此詩於襄陽雪中,1
98,詩於襄陽雪中洞,1
99,於襄陽雪中洞庭,1
100,襄陽雪中洞庭湖,1
101,陽雪中洞庭湖君,1
102,雪中洞庭湖君山,1
103,中洞庭湖君山頌,1
104,洞庭湖君山頌秦,1
105,庭湖君山頌秦州,1
106,湖君山頌秦州北,1
107,君山頌秦州北山,1
108,山頌秦州北山觀,1
109,頌秦州北山觀留,1
110,秦州北山觀留詩,1
111,州北山觀留詩題,1
112,北山觀留詩題永,1
113,山觀留詩題永康,1
114,觀留詩題永康酒,1
115,留詩題永康酒樓,1
116,詩題永康酒樓贈,1
117,題永康酒樓贈滕,1
118,永康酒樓贈滕宗,1
119,康酒樓贈滕宗諒,1
120,酒樓贈滕宗諒贈,1
121,樓贈滕宗諒贈江,1
122,贈滕宗諒贈江州,1
123,滕宗諒贈江州太,1
124,宗諒贈江州太平,1
125,諒贈江州太平觀,1
126,贈江州太平觀道,1
127,江州太平觀道士,1
128,州太平觀道士宋,1
129,太平觀道士宋朝,1
130,平觀道士宋朝張,1
131,觀道士宋朝張天,1
132,道士宋朝張天覺,1
133,士宋朝張天覺為,1
134,宋朝張天覺為相,1
135,朝張天覺為相之,1
136,張天覺為相之日,1
137,天覺為相之日有,1
138,覺為相之日有襤,1
139,為相之日有襤縷,1
140,相之日有襤縷道,1
141,之日有襤縷道人,1
142,日有襤縷道人及,1
143,有襤縷道人及門,1
144,襤縷道人及門求,1
145,縷道人及門求施,1
146,道人及門求施留,1
147,人及門求施留詩,1
148,及門求施留詩於,1
149,門求施留詩於案,1
150,求施留詩於案上,1
151,施留詩於案上雲,1
152,留詩於案上雲贈,1
153,詩於案上雲贈陳,1
154,於案上雲贈陳處,1
155,案上雲贈陳處士,1
156,上雲贈陳處士哭,1
157,雲贈陳處士哭陳,1
158,贈陳處士哭陳先,1
159,陳處士哭陳先生,1
160,處士哭陳先生化,1
161,士哭陳先生化江,1
162,哭陳先生化江南,1
163,陳先生化江南簡,1
164,先生化江南簡寂,1
165,生化江南簡寂觀,1
166,化江南簡寂觀道,1
167,江南簡寂觀道士,1
168,南簡寂觀道士侯,1
169,簡寂觀道士侯用,1
170,寂觀道士侯用晦,1
171,觀道士侯用晦磨,1
172,道士侯用晦磨劍,1
173,士侯用晦磨劍熙,1
174,侯用晦磨劍熙甯,1
175,用晦磨劍熙甯元,1
176,晦磨劍熙甯元年,1
177,磨劍熙甯元年八,1
178,劍熙甯元年八月,1
179,熙甯元年八月十,1
180,甯元年八月十九,1
181,元年八月十九日,1
182,年八月十九日過,1
183,八月十九日過湖,1
184,月十九日過湖州,1
185,十九日過湖州東,1
186,九日過湖州東林,1
187,日過湖州東林沈,1
188,過湖州東林沈山,1
189,湖州東林沈山用,1
190,州東林沈山用石,1
191,東林沈山用石榴,1
192,林沈山用石榴自,1
193,沈山用石榴自號,1
194,山用石榴自號回,1
195,用石榴自號回山,1
196,石榴自號回山人,1
197,榴自號回山人大,1
198,自號回山人大雲,1
199,號回山人大雲寺,1
200,回山人大雲寺茶,1
201,山人大雲寺茶詩,1
202,人大雲寺茶詩別,1
203,大雲寺茶詩別詩,1
204,雲寺茶詩別詩二,1
205,寺茶詩別詩二首,1
206,茶詩別詩二首贈,1
207,詩別詩二首贈羅,1
208,別詩二首贈羅浮,1
209,詩二首贈羅浮道,1
210,二首贈羅浮道士,1
211,首贈羅浮道士宿,1
212,贈羅浮道士宿州,1
213,羅浮道士宿州天,1
214,浮道士宿州天慶,1
215,道士宿州天慶觀,1
216,士宿州天慶觀殿,1
217,宿州天慶觀殿門,1
218,州天慶觀殿門留,1
219,天慶觀殿門留贈,1
220,慶觀殿門留贈符,1
221,觀殿門留贈符離,1
222,殿門留贈符離道,1
223,門留贈符離道士,1
224,留贈符離道士題,1
225,贈符離道士題黃,1
226,符離道士題黃鶴,1
227,離道士題黃鶴樓,1
228,道士題黃鶴樓石,1
229,士題黃鶴樓石照,1
230,題黃鶴樓石照答,1
231,黃鶴樓石照答僧,1
232,鶴樓石照答僧見,1
233,樓石照答僧見與,1
234,石照答僧見與潭,1
235,照答僧見與潭州,1
236,答僧見與潭州智,1
237,僧見與潭州智度,1
238,見與潭州智度寺,1
239,與潭州智度寺慧,1
240,潭州智度寺慧覺,1
241,州智度寺慧覺詩,1
242,智度寺慧覺詩參,1
243,度寺慧覺詩參黃,1
244,寺慧覺詩參黃龍,1
245,慧覺詩參黃龍機,1
246,覺詩參黃龍機悟,1
247,詩參黃龍機悟後,1
248,參黃龍機悟後呈,1
249,黃龍機悟後呈偈,1
250,龍機悟後呈偈題,1
251,機悟後呈偈題僧,1
252,悟後呈偈題僧房,1
253,後呈偈題僧房絕,1
254,呈偈題僧房絕句,1
255,偈題僧房絕句賜,1
256,題僧房絕句賜齊,1
257,僧房絕句賜齊州,1
258,房絕句賜齊州李,1
259,絕句賜齊州李希,1
260,句賜齊州李希遇,1
261,賜齊州李希遇詩,1
262,齊州李希遇詩六,1
263,州李希遇詩六言,1
264,李希遇詩六言明,1
265,希遇詩六言明胎,1
266,遇詩六言明胎息,1
267,詩六言明胎息警,1
268,六言明胎息警世,1
269,言明胎息警世通,1
270,明胎息警世通道,1
271,胎息警世通道為,1
272,息警世通道為賈,1
273,警世通道為賈師,1
274,世通道為賈師雄,1
275,通道為賈師雄發,1
276,道為賈師雄發明,1
277,為賈師雄發明古,1
278,賈師雄發明古鐵,1
279,師雄發明古鐵鏡,1
280,雄發明古鐵鏡題,1
281,發明古鐵鏡題全,1
282,明古鐵鏡題全州,1
283,古鐵鏡題全州道,1
284,鐵鏡題全州道士,1
285,鏡題全州道士蔣,1
286,題全州道士蔣暉,1
287,全州道士蔣暉壁,1
288,州道士蔣暉壁謁,1
289,道士蔣暉壁謁石,1
290,士蔣暉壁謁石守,1
291,蔣暉壁謁石守道,1
292,暉壁謁石守道題,1
293,壁謁石守道題廣,1
294,謁石守道題廣陵,1
295,石守道題廣陵妓,1
296,守道題廣陵妓屏,1
297,道題廣陵妓屏二,1
298,題廣陵妓屏二首,1
299,廣陵妓屏二首題,1
300,陵妓屏二首題東,1
301,妓屏二首題東都,1
302,屏二首題東都妓,1
303,二首題東都妓館,1
304,首題東都妓館壁,1
305,題東都妓館壁崔,1
306,東都妓館壁崔中,1
307,都妓館壁崔中舉,1
308,妓館壁崔中舉進,1
309,館壁崔中舉進士,1
310,壁崔中舉進士游,1
311,崔中舉進士游岳,1
312,中舉進士游岳陽,1
313,舉進士游岳陽遇,1
314,進士游岳陽遇真,1
315,士游岳陽遇真人,1
316,游岳陽遇真人錄,1
317,岳陽遇真人錄沁,1
318,陽遇真人錄沁園,1
319,遇真人錄沁園春,1
320,真人錄沁園春詞,1
321,人錄沁園春詞詰,1
322,錄沁園春詞詰其,1
323,沁園春詞詰其姓,1
324,園春詞詰其姓名,1
325,春詞詰其姓名留,1
326,詞詰其姓名留詩,1
327,詰其姓名留詩于,1
328,其姓名留詩于壁,1
329,姓名留詩于壁題,1
330,名留詩于壁題詩,1
331,留詩于壁題詩紫,1
332,詩于壁題詩紫極,1
333,于壁題詩紫極宮,1
334,壁題詩紫極宮閑,1
335,題詩紫極宮閑題,1
336,詩紫極宮閑題山,1
337,紫極宮閑題山隱,1
338,極宮閑題山隱絕,1
339,宮閑題山隱絕句,1
340,閑題山隱絕句勸,1
341,題山隱絕句勸世,1
342,山隱絕句勸世窯,1
343,隱絕句勸世窯頭,1
344,絕句勸世窯頭坯,1
345,句勸世窯頭坯歌,1
346,勸世窯頭坯歌寄,1
347,世窯頭坯歌寄白,1
348,窯頭坯歌寄白龍,1
349,頭坯歌寄白龍洞,1
350,坯歌寄白龍洞劉,1
351,歌寄白龍洞劉道,1
352,寄白龍洞劉道人,1
353,白龍洞劉道人贈,1
354,龍洞劉道人贈喬,1
355,洞劉道人贈喬二,1
356,劉道人贈喬二郎,1
357,道人贈喬二郎鄂,1
358,人贈喬二郎鄂渚,1
359,贈喬二郎鄂渚悟,1
360,喬二郎鄂渚悟道,1
361,二郎鄂渚悟道歌,1
362,郎鄂渚悟道歌又,1
363,鄂渚悟道歌又記,1
364,渚悟道歌又記秘,1
365,悟道歌又記秘訣,1
366,道歌又記秘訣歌,1
367,歌又記秘訣歌勉,1
368,又記秘訣歌勉牛,1
369,記秘訣歌勉牛生,1
370,秘訣歌勉牛生夏,1
371,訣歌勉牛生夏侯,1
372,歌勉牛生夏侯生,1
373,勉牛生夏侯生題,1
374,牛生夏侯生題四,1
375,生夏侯生題四明,1
376,夏侯生題四明金,1
377,侯生題四明金鵝,1
378,生題四明金鵝寺,1
379,題四明金鵝寺壁,1
380,四明金鵝寺壁穀,1
381,明金鵝寺壁穀神,1
382,金鵝寺壁穀神歌,1
383,鵝寺壁穀神歌修,1
384,寺壁穀神歌修身,1
385,壁穀神歌修身訣,1
386,穀神歌修身訣長,1
387,神歌修身訣長短,1
388,歌修身訣長短句,1
389,修身訣長短句直,1
390,身訣長短句直指,1
391,訣長短句直指大,1
392,長短句直指大丹,1
393,短句直指大丹歌,1
394,句直指大丹歌漁,1
395,直指大丹歌漁父,1
396,指大丹歌漁父詞,1
397,大丹歌漁父詞一,1
398,丹歌漁父詞一十,1
399,歌漁父詞一十八,1
400,父詞一十八首入,1
401,詞一十八首入定,1
402,一十八首入定漁,1
403,十八首入定漁父,1
404,八首入定漁父詞,1
405,首入定漁父詞一,1
406,入定漁父詞一十,1
407,定漁父詞一十八,1
408,父詞一十八首初,1
409,詞一十八首初九,1
410,一十八首初九漁,1
411,十八首初九漁父,1
412,八首初九漁父詞,1
413,首初九漁父詞一,1
414,初九漁父詞一十,1
415,九漁父詞一十八,1
416,父詞一十八首玄,1
417,詞一十八首玄用,1
418,一十八首玄用漁,1
419,十八首玄用漁父,1
420,八首玄用漁父詞,1
421,首玄用漁父詞一,1
422,玄用漁父詞一十,1
423,用漁父詞一十八,1
424,詞一十八首神效,1
425,一十八首神效漁,1
426,十八首神效漁父,1
427,八首神效漁父詞,1
428,首神效漁父詞一,1
429,神效漁父詞一十,1
430,效漁父詞一十八,1
431,父詞一十八首沐,1
432,詞一十八首沐浴,1
433,一十八首沐浴漁,1
434,十八首沐浴漁父,1
435,八首沐浴漁父詞,1
436,首沐浴漁父詞一,1
437,沐浴漁父詞一十,1
438,浴漁父詞一十八,1
439,父詞一十八首延,1
440,詞一十八首延壽,1
441,一十八首延壽漁,1
442,十八首延壽漁父,1
443,八首延壽漁父詞,1
444,首延壽漁父詞一,1
445,延壽漁父詞一十,1
446,壽漁父詞一十八,1
447,父詞一十八首瑞,1
448,詞一十八首瑞鼎,1
449,一十八首瑞鼎漁,1
450,十八首瑞鼎漁父,1
451,八首瑞鼎漁父詞,1
452,首瑞鼎漁父詞一,1
453,瑞鼎漁父詞一十,1
454,鼎漁父詞一十八,1
455,父詞一十八首活,1
456,詞一十八首活得,1
457,一十八首活得漁,1
458,十八首活得漁父,1
459,八首活得漁父詞,1
460,首活得漁父詞一,1
461,活得漁父詞一十,1
