排名,詞彙,出現次數
1,春秋戰國門再吟,15
2,秋戰國門再吟春,14
3,戰國門再吟春秋,14
4,國門再吟春秋戰,14
5,門再吟春秋戰國,14
6,再吟春秋戰國門,14
7,三代門再吟三代,2
8,代門再吟三代門,2
9,靈公春秋戰國門,2
10,公春秋戰國門陳,2
11,惠王春秋戰國門,2
12,吟春秋戰國門田,2
13,春秋戰國門田子,2
14,前漢門再吟前漢,2
15,漢門再吟前漢門,2
16,閑吟唐虞門唐堯,1
17,吟唐虞門唐堯唐,1
18,唐虞門唐堯唐虞,1
19,虞門唐堯唐虞門,1
20,門唐堯唐虞門虞,1
21,唐堯唐虞門虞舜,1
22,堯唐虞門虞舜唐,1
23,唐虞門虞舜唐虞,1
24,虞門虞舜唐虞門,1
25,門虞舜唐虞門舜,1
26,虞舜唐虞門舜妃,1
27,舜唐虞門舜妃唐,1
28,唐虞門舜妃唐虞,1
29,虞門舜妃唐虞門,1
30,門舜妃唐虞門再,1
31,舜妃唐虞門再吟,1
32,妃唐虞門再吟三,1
33,唐虞門再吟三代,1
34,虞門再吟三代門,1
35,門再吟三代門夏,1
36,再吟三代門夏禹,1
37,吟三代門夏禹三,1
38,三代門夏禹三代,1
39,代門夏禹三代門,1
40,門夏禹三代門再,1
41,夏禹三代門再吟,1
42,禹三代門再吟三,1
43,門再吟三代門太,1
44,再吟三代門太康,1
45,吟三代門太康三,1
46,三代門太康三代,1
47,代門太康三代門,1
48,門太康三代門後,1
49,太康三代門後稷,1
50,康三代門後稷三,1
51,三代門後稷三代,1
52,代門後稷三代門,1
53,門後稷三代門文,1
54,後稷三代門文王,1
55,稷三代門文王三,1
56,三代門文王三代,1
57,代門文王三代門,1
58,門文王三代門武,1
59,文王三代門武王,1
60,王三代門武王三,1
61,三代門武王三代,1
62,代門武王三代門,1
63,門武王三代門太,1
64,武王三代門太公,1
65,王三代門太公三,1
66,三代門太公三代,1
67,代門太公三代門,1
68,門太公三代門再,1
69,太公三代門再吟,1
70,公三代門再吟三,1
71,門再吟三代門又,1
72,再吟三代門又吟,1
73,吟三代門又吟三,1
74,三代門又吟三代,1
75,代門又吟三代門,1
76,門又吟三代門子,1
77,又吟三代門子牙,1
78,吟三代門子牙妻,1
79,三代門子牙妻三,1
80,代門子牙妻三代,1
81,門子牙妻三代門,1
82,子牙妻三代門周,1
83,牙妻三代門周公,1
84,妻三代門周公三,1
85,三代門周公三代,1
86,代門周公三代門,1
87,門周公三代門夷,1
88,周公三代門夷齊,1
89,公三代門夷齊三,1
90,三代門夷齊三代,1
91,代門夷齊三代門,1
92,門夷齊三代門管,1
93,夷齊三代門管蔡,1
94,齊三代門管蔡三,1
95,三代門管蔡三代,1
96,代門管蔡三代門,1
97,門管蔡三代門成,1
98,管蔡三代門成王,1
99,蔡三代門成王三,1
100,三代門成王三代,1
101,代門成王三代門,1
102,門成王三代門幽,1
103,成王三代門幽王,1
104,王三代門幽王三,1
105,三代門幽王三代,1
106,代門幽王三代門,1
107,門幽王三代門平,1
108,幽王三代門平王,1
109,王三代門平王春,1
110,三代門平王春秋,1
111,代門平王春秋戰,1
112,門平王春秋戰國,1
113,平王春秋戰國門,1
114,王春秋戰國門祭,1
115,春秋戰國門祭足,1
116,秋戰國門祭足春,1
117,戰國門祭足春秋,1
118,國門祭足春秋戰,1
119,門祭足春秋戰國,1
120,祭足春秋戰國門,1
121,足春秋戰國門再,1
122,吟春秋戰國門隱,1
123,春秋戰國門隱公,1
124,秋戰國門隱公春,1
125,戰國門隱公春秋,1
126,國門隱公春秋戰,1
127,門隱公春秋戰國,1
128,隱公春秋戰國門,1
129,公春秋戰國門莊,1
130,春秋戰國門莊公,1
131,秋戰國門莊公春,1
132,戰國門莊公春秋,1
133,國門莊公春秋戰,1
134,門莊公春秋戰國,1
135,莊公春秋戰國門,1
136,公春秋戰國門哀,1
137,春秋戰國門哀公,1
138,秋戰國門哀公春,1
139,戰國門哀公春秋,1
140,國門哀公春秋戰,1
141,門哀公春秋戰國,1
142,哀公春秋戰國門,1
143,公春秋戰國門再,1
144,吟春秋戰國門平,1
145,春秋戰國門平公,1
146,秋戰國門平公春,1
147,戰國門平公春秋,1
148,國門平公春秋戰,1
149,門平公春秋戰國,1
150,平公春秋戰國門,1
151,公春秋戰國門文,1
152,春秋戰國門文公,1
153,秋戰國門文公春,1
154,戰國門文公春秋,1
155,國門文公春秋戰,1
156,門文公春秋戰國,1
157,文公春秋戰國門,1
158,公春秋戰國門景,1
159,春秋戰國門景公,1
160,秋戰國門景公春,1
161,戰國門景公春秋,1
162,國門景公春秋戰,1
163,門景公春秋戰國,1
164,景公春秋戰國門,1
165,公春秋戰國門衛,1
166,春秋戰國門衛靈,1
167,秋戰國門衛靈公,1
168,戰國門衛靈公春,1
169,國門衛靈公春秋,1
170,門衛靈公春秋戰,1
171,衛靈公春秋戰國,1
172,春秋戰國門陳靈,1
173,秋戰國門陳靈公,1
174,戰國門陳靈公春,1
175,國門陳靈公春秋,1
176,門陳靈公春秋戰,1
177,陳靈公春秋戰國,1
178,春秋戰國門陳蔡,1
179,秋戰國門陳蔡君,1
180,戰國門陳蔡君春,1
181,國門陳蔡君春秋,1
182,門陳蔡君春秋戰,1
183,陳蔡君春秋戰國,1
184,蔡君春秋戰國門,1
185,君春秋戰國門楚,1
186,春秋戰國門楚惠,1
187,秋戰國門楚惠王,1
188,戰國門楚惠王春,1
189,國門楚惠王春秋,1
190,門楚惠王春秋戰,1
191,楚惠王春秋戰國,1
192,王春秋戰國門楚,1
193,春秋戰國門楚懷,1
194,秋戰國門楚懷王,1
195,戰國門楚懷王春,1
196,國門楚懷王春秋,1
197,門楚懷王春秋戰,1
198,楚懷王春秋戰國,1
199,懷王春秋戰國門,1
200,王春秋戰國門再,1
201,吟春秋戰國門韓,1
202,春秋戰國門韓惠,1
203,秋戰國門韓惠王,1
204,戰國門韓惠王春,1
205,國門韓惠王春秋,1
206,門韓惠王春秋戰,1
207,韓惠王春秋戰國,1
208,王春秋戰國門頃,1
209,春秋戰國門頃襄,1
210,秋戰國門頃襄王,1
211,戰國門頃襄王春,1
212,國門頃襄王春秋,1
213,門頃襄王春秋戰,1
214,頃襄王春秋戰國,1
215,襄王春秋戰國門,1
216,王春秋戰國門武,1
217,春秋戰國門武公,1
218,秋戰國門武公春,1
219,戰國門武公春秋,1
220,國門武公春秋戰,1
221,門武公春秋戰國,1
222,武公春秋戰國門,1
223,公春秋戰國門華,1
224,春秋戰國門華元,1
225,秋戰國門華元春,1
226,戰國門華元春秋,1
227,國門華元春秋戰,1
228,門華元春秋戰國,1
229,華元春秋戰國門,1
230,元春秋戰國門臧,1
231,春秋戰國門臧孫,1
232,秋戰國門臧孫春,1
233,戰國門臧孫春秋,1
234,國門臧孫春秋戰,1
235,門臧孫春秋戰國,1
236,臧孫春秋戰國門,1
237,孫春秋戰國門公,1
238,春秋戰國門公叔,1
239,秋戰國門公叔春,1
240,戰國門公叔春秋,1
241,國門公叔春秋戰,1
242,門公叔春秋戰國,1
243,公叔春秋戰國門,1
244,叔春秋戰國門莊,1
245,春秋戰國門莊辛,1
246,秋戰國門莊辛春,1
247,戰國門莊辛春秋,1
248,國門莊辛春秋戰,1
249,門莊辛春秋戰國,1
250,莊辛春秋戰國門,1
251,辛春秋戰國門孫,1
252,春秋戰國門孫臏,1
253,秋戰國門孫臏春,1
254,戰國門孫臏春秋,1
255,國門孫臏春秋戰,1
256,門孫臏春秋戰國,1
257,孫臏春秋戰國門,1
258,臏春秋戰國門靈,1
259,春秋戰國門靈輒,1
260,秋戰國門靈輒春,1
261,戰國門靈輒春秋,1
262,國門靈輒春秋戰,1
263,門靈輒春秋戰國,1
264,靈輒春秋戰國門,1
265,輒春秋戰國門郭,1
266,春秋戰國門郭開,1
267,秋戰國門郭開春,1
268,戰國門郭開春秋,1
269,國門郭開春秋戰,1
270,門郭開春秋戰國,1
271,郭開春秋戰國門,1
272,開春秋戰國門樂,1
273,春秋戰國門樂羊,1
274,秋戰國門樂羊春,1
275,戰國門樂羊春秋,1
276,國門樂羊春秋戰,1
277,門樂羊春秋戰國,1
278,樂羊春秋戰國門,1
279,羊春秋戰國門虞,1
280,春秋戰國門虞卿,1
281,秋戰國門虞卿春,1
282,戰國門虞卿春秋,1
283,國門虞卿春秋戰,1
284,門虞卿春秋戰國,1
285,虞卿春秋戰國門,1
286,卿春秋戰國門豫,1
287,春秋戰國門豫讓,1
288,秋戰國門豫讓春,1
289,戰國門豫讓春秋,1
290,國門豫讓春秋戰,1
291,門豫讓春秋戰國,1
292,豫讓春秋戰國門,1
293,讓春秋戰國門毛,1
294,春秋戰國門毛遂,1
295,秋戰國門毛遂春,1
296,戰國門毛遂春秋,1
