排名,詞彙,出現次數
1,送,10
2,州,8
3,歸,7
4,二,6
5,首,5
6,獻,5
7,寄,4
8,書,4
9,和,4
10,人,3
11,先,3
12,輩,3
13,上,3
14,塞,2
15,張,2
16,侍,2
17,禦,2
18,南,2
19,居,2
20,晚,2
21,望,2
22,贈,2
23,友,2
24,懷,2
25,情,2
26,第,2
27,蜀,2
28,尚,2
29,將,2
30,李,2
31,楊,2
32,師,2
33,奉,2
34,日,2
35,亭,2
36,呈,2
37,同,2
38,陝,2
39,夏,2
40,不,2
41,知,2
42,外,1
43,曉,1
44,發,1
45,題,1
46,終,1
47,山,1
48,隱,1
49,者,1
50,嘉,1
51,川,1
52,驛,1
53,樓,1
54,吳,1
55,石,1
56,貫,1
57,湖,1
58,劉,1
59,耕,1
60,舒,1
61,許,1
62,璋,1
63,少,1
64,府,1
65,雍,1
66,陶,1
67,感,1
68,陳,1
69,程,1
70,秀,1
71,才,1
72,下,1
73,旱,1
74,魚,1
75,詞,1
76,苗,1
77,相,1
78,公,1
79,野,1
80,寺,1
81,寓,1
82,即,1
83,事,1
84,襄,1
85,盧,1
86,留,1
87,恩,1
88,地,1
89,僕,1
90,射,1
91,隨,1
92,虢,1
93,抑,1
94,卿,1
95,邊,1
96,費,1
97,煉,1
98,供,1
99,赴,1
100,都,1
101,徐,1
102,秋,1
103,游,1
104,涇,1
105,三,1
106,年,1
107,黃,1
108,頗,1
109,袁,1
110,參,1
111,軍,1
112,通,1
113,微,1
114,寮,1
115,裳,1
116,段,1
117,群,1
118,玉,1
119,真,1
120,觀,1
121,尋,1
122,趙,1
123,尊,1
124,遇,1
125,及,1
126,後,1
127,主,1
128,司,1
129,王,1
130,起,1
131,賀,1
132,章,1
133,入,1
134,道,1
135,出,1
136,僧,1
137,新,1
138,羅,1
139,秘,1
140,監,1
141,從,1
142,翁,1
143,河,1
144,風,1
145,鳴,1
146,條,1
147,己,1
148,工,1
149,部,1
150,重,1
151,絕,1
152,句,1
