排名,詞彙,出現次數
1,長安,3
2,飲馬,2
3,馬長,2
4,長城,2
5,城窟,2
6,登樓,2
7,二首,2
8,相和,1
9,和歌,1
10,歌辭,1
11,辭飲,1
12,窟行,1
13,行飲,1
14,窟夜,1
15,夜直,1
16,直贈,1
17,贈行,1
18,行腳,1
19,腳僧,1
20,僧秋,1
21,秋日,1
22,日思,1
23,思舊,1
24,舊山,1
25,山寄,1
26,寄幹,1
27,幹陵,1
28,陵楊,1
29,楊侍,1
30,侍郎,1
31,郎登,1
32,樓憶,1
33,憶友,1
34,友華,1
35,華嚴,1
36,嚴寺,1
37,寺望,1
38,望樊,1
39,樊川,1
40,川與,1
41,與道,1
42,道侶,1
43,侶同,1
44,同於,1
45,於水,1
46,水陸,1
47,陸寺,1
48,寺會,1
49,會宿,1
50,宿城,1
51,城上,1
52,上吟,1
53,吟襄,1
54,襄陽,1
55,陽曲,1
56,曲誡,1
57,誡貪,1
58,貪蟬,1
59,蟬二,1
60,首太,1
61,太平,1
62,平坊,1
63,坊尋,1
64,尋裴,1
65,裴郎,1
66,郎中,1
67,中故,1
68,故宅,1
69,宅登,1
70,樓長,1
71,安早,1
72,早秋,1
73,秋對,1
74,對雪,1
75,雪鸚,1
76,鸚鵡,1
77,鵡晚,1
78,晚景,1
79,景長,1
80,安傷,1
81,傷春,1
82,春河,1
83,河梁,1
84,梁晚,1
85,晚望,1
86,望二,1
87,首悲,1
88,悲長,1
89,安千,1
90,千葉,1
91,葉石,1
92,石榴,1
93,榴花,1
94,花觀,1
95,觀棋,1
