排名,詞彙,出現次數
1,侍宴應,6
2,宴應制,6
3,應制奉,6
4,制奉和,6
5,奉和幸,5
6,寺應制,4
7,大庾嶺,3
8,奉和九,3
9,九日登,3
10,應制得,3
11,扈從登,3
12,從登封,3
13,王挽詞,3
14,相和歌,2
15,和歌辭,2
16,王子喬,2
17,綠竹引,2
18,陸渾山,2
19,渾山莊,2
20,別之望,2
21,藍田山,2
22,田山莊,2
23,答田征,2
24,田征君,2
25,游法華,2
26,法華寺,2
27,雲門寺,2
28,下桂江,2
29,有所思,2
30,春日芙,2
31,日芙蓉,2
32,芙蓉園,2
33,蓉園侍,2
34,園侍宴,2
35,亭應制,2
36,九月九,2
37,月九日,2
38,日登慈,2
39,登慈恩,2
40,慈恩寺,2
41,恩寺浮,2
42,和九日,2
43,字奉和,2
44,陽宮侍,2
45,宮侍宴,2
46,應制扈,2
47,制扈從,2
48,登封告,2
49,封告成,2
50,告成頌,2
51,夜寓直,2
52,司馬道,2
53,馬道士,2
54,道士使,2
55,函谷關,2
56,司馬赴,2
57,清遠峽,2
58,挽詞三,2
59,詞三首,2
60,挽詞二,2
61,詞二首,2
62,應制送,2
63,奉和春,2
64,薦福寺,2
65,寓直之,2
66,直之作,2
67,稱心寺,2
68,鑒上人,2
69,傷曹娘,2
70,曹娘二,2
71,娘二首,2
72,雪應制,2
73,逍遙樓,2
74,歌辭公,1
75,辭公無,1
76,公無渡,1
77,無渡河,1
78,渡河相,1
79,河相和,1
80,歌辭王,1
81,辭王子,1
82,子喬琴,1
83,喬琴曲,1
84,琴曲歌,1
85,曲歌辭,1
86,歌辭綠,1
87,辭綠竹,1
88,竹引初,1
89,引初到,1
90,初到陸,1
91,到陸渾,1
92,山莊夜,1
93,莊夜飲,1
94,夜飲東,1
95,飲東亭,1
96,東亭芳,1
97,亭芳樹,1
98,芳樹送,1
99,樹送趙,1
100,送趙六,1
101,趙六貞,1
102,六貞固,1
103,貞固題,1
104,固題張,1
105,題張老,1
106,張老松,1
107,老松樹,1
108,松樹別,1
109,樹別之,1
110,之望後,1
111,望後獨,1
112,後獨宿,1
113,獨宿藍,1
114,宿藍田,1
115,山莊浣,1
116,莊浣紗,1
117,浣紗篇,1
118,紗篇贈,1
119,篇贈陸,1
120,贈陸上,1
121,陸上人,1
122,上人雨,1
123,人雨從,1
124,雨從箕,1
125,從箕山,1
126,箕山來,1
127,山來初,1
128,來初至,1
129,初至崖,1
130,至崖口,1
131,崖口自,1
132,口自湘,1
133,自湘源,1
134,湘源至,1
135,源至潭,1
136,至潭州,1
137,潭州衡,1
138,州衡山,1
139,衡山縣,1
140,山縣入,1
141,縣入崖,1
142,入崖口,1
143,崖口五,1
144,口五渡,1
145,五渡寄,1
146,渡寄李,1
147,寄李適,1
148,李適洞,1
149,適洞庭,1
150,洞庭湖,1
151,庭湖景,1
152,湖景龍,1
153,景龍四,1
154,龍四年,1
155,四年春,1
156,年春祠,1
157,春祠海,1
158,祠海溫,1
159,海溫泉,1
160,溫泉莊,1
161,泉莊臥,1
162,莊臥病,1
163,臥病寄,1
164,病寄楊,1
165,寄楊七,1
166,楊七炯,1
167,七炯答,1
168,炯答田,1
169,征君自,1
170,君自衡,1
171,自衡陽,1
172,衡陽至,1
173,陽至韶,1
174,至韶州,1
175,韶州謁,1
176,州謁能,1
177,謁能禪,1
178,能禪師,1
179,禪師見,1
180,師見南,1
181,見南山,1
182,南山夕,1
183,山夕陽,1
184,夕陽召,1
185,陽召監,1
186,召監師,1
187,監師不,1
188,師不至,1
189,不至游,1
190,至游法,1
191,華寺宿,1
192,寺宿雲,1
193,宿雲門,1
194,門寺春,1
195,寺春湖,1
196,春湖古,1
197,湖古意,1
198,古意游,1
199,意游陸,1
200,游陸渾,1
201,陸渾南,1
202,渾南山,1
203,南山自,1
204,山自歇,1
205,自歇馬,1
206,歇馬嶺,1
207,馬嶺到,1
208,嶺到楓,1
209,到楓香,1
210,楓香林,1
211,香林以,1
212,林以詩,1
213,以詩代,1
214,詩代書,1
215,代書答,1
216,書答李,1
217,答李舍,1
218,李舍人,1
219,舍人適,1
220,人適早,1
221,適早發,1
222,早發大,1
223,發大庾,1
224,庾嶺自,1
225,嶺自洪,1
226,自洪府,1
227,洪府舟,1
228,府舟行,1
229,舟行直,1
230,行直書,1
231,直書其,1
232,書其事,1
233,其事下,1
234,事下桂,1
235,桂江縣,1
236,江縣黎,1
237,縣黎壁,1
238,黎壁奉,1
239,壁奉使,1
240,奉使嵩,1
241,使嵩山,1
242,嵩山途,1
243,山途經,1
244,途經緱,1
245,經緱嶺,1
246,緱嶺傷,1
247,嶺傷王,1
248,傷王七,1
249,王七秘,1
250,七秘書,1
251,秘書監,1
252,書監寄,1
253,監寄呈,1
254,寄呈揚,1
255,呈揚州,1
256,揚州陸,1
257,州陸長,1
258,陸長史,1
259,長史通,1
260,史通簡,1
261,通簡府,1
262,簡府僚,1
263,府僚廣,1
264,僚廣陵,1
265,廣陵以,1
266,陵以廣,1
267,以廣好,1
268,廣好事,1
269,好事使,1
270,事使至,1
271,使至嵩,1
272,至嵩山,1
273,嵩山尋,1
274,山尋杜,1
275,尋杜四,1
276,杜四不,1
277,四不遇,1
278,不遇慨,1
279,遇慨然,1
280,慨然複,1
281,然複傷,1
282,複傷田,1
283,傷田洗,1
284,田洗馬,1
285,洗馬韓,1
286,馬韓觀,1
287,韓觀主,1
288,觀主因,1
289,主因以,1
290,因以題,1
291,以題壁,1
292,題壁贈,1
293,壁贈杜,1
294,贈杜侯,1
295,杜侯杜,1
296,侯杜四,1
297,杜四玩,1
298,四玩郡,1
299,玩郡齋,1
300,郡齋海,1
301,齋海榴,1
302,海榴長,1
303,榴長安,1
304,長安路,1
305,安路折,1
306,路折楊,1
307,折楊柳,1
308,楊柳有,1
309,柳有所,1
310,所思軍,1
311,思軍中,1
312,軍中人,1
313,中人日,1
314,人日登,1
315,日登高,1
316,登高贈,1
317,高贈房,1
318,贈房明,1
319,房明府,1
320,明府寒,1
321,府寒食,1
322,寒食還,1
323,食還陸,1
324,還陸渾,1
325,陸渾別,1
326,渾別業,1
327,別業寒,1
328,業寒食,1
329,寒食江,1
330,食江州,1
331,江州滿,1
332,州滿塘,1
333,滿塘驛,1
334,塘驛至,1
335,驛至端,1
336,至端州,1
337,端州驛,1
338,州驛見,1
339,驛見杜,1
340,見杜五,1
341,杜五審,1
342,五審言,1
343,審言沈,1
344,言沈三,1
345,沈三佺,1
346,三佺期,1
347,佺期閻,1
348,期閻五,1
349,閻五朝,1
350,五朝隱,1
351,朝隱王,1
352,隱王二,1
353,王二無,1
354,二無競,1
355,無競題,1
356,競題壁,1
357,題壁慨,1
358,壁慨然,1
359,慨然成,1
360,然成詠,1
361,成詠綠,1
362,詠綠竹,1
363,竹引明,1
364,引明河,1
365,明河篇,1
366,河篇龍,1
367,篇龍門,1
368,龍門應,1
369,門應制,1
370,應制初,1
371,制初宿,1
372,初宿淮,1
373,宿淮口,1
374,淮口王,1
375,口王子,1
376,子喬放,1
377,喬放白,1
378,放白鷳,1
379,白鷳篇,1
380,鷳篇桂,1
381,篇桂州,1
382,桂州三,1
383,州三月,1
384,三月三,1
385,月三日,1
386,三日下,1
387,日下山,1
388,下山歌,1
389,山歌冬,1
390,歌冬宵,1
391,冬宵引,1
392,宵引贈,1
393,引贈司,1
394,贈司馬,1
395,司馬承,1
396,馬承禎,1
397,承禎高,1
398,禎高山,1
399,高山引,1
400,山引嵩,1
401,引嵩山,1
402,嵩山天,1
403,山天門,1
404,天門歌,1
405,門歌有,1
406,歌有所,1
407,所思春,1
408,思春日,1
409,應制夏,1
410,制夏日,1
411,夏日仙,1
412,日仙萼,1
413,仙萼亭,1
414,萼亭應,1
415,和九月,1
416,寺浮屠,1
417,浮屠應,1
418,屠應制,1
419,九日幸,1
420,日幸臨,1
421,幸臨渭,1
422,臨渭亭,1
423,渭亭登,1
424,亭登高,1
425,登高應,1
426,高應制,1
427,制得歡,1
428,得歡字,1
429,歡字奉,1
430,奉和聖,1
431,和聖制,1
432,聖制閏,1
433,制閏九,1
434,閏九月,1
435,日登莊,1
436,登莊嚴,1
437,莊嚴總,1
438,嚴總持,1
439,總持二,1
440,持二寺,1
441,二寺閣,1
442,寺閣麟,1
443,閣麟趾,1
444,麟趾殿,1
445,趾殿侍,1
446,殿侍宴,1
447,應制上,1
448,制上陽,1
449,上陽宮,1
450,制得林,1
451,得林字,1
452,林字幸,1
453,字幸少,1
454,幸少林,1
455,少林寺,1
456,林寺應,1
457,應制幸,1
458,制幸嶽,1
459,幸嶽寺,1
460,嶽寺應,1
461,登封途,1
462,封途中,1
463,途中作,1
464,中作扈,1
465,作扈從,1
466,成頌松,1
467,頌松山,1
468,松山嶺,1
469,山嶺應,1
470,嶺應制,1
471,應制緱,1
472,制緱山,1
473,緱山廟,1
474,山廟奉,1
475,廟奉和,1
476,奉和梁,1
477,和梁王,1
478,梁王宴,1
479,王宴龍,1
480,宴龍泓,1
481,龍泓應,1
482,泓應教,1
483,應教得,1
484,教得微,1
485,得微字,1
486,微字壽,1
487,字壽陽,1
488,壽陽王,1
489,陽王花,1
490,王花燭,1
491,花燭圖,1
