排名,詞彙,出現次數
1,武相公,2
2,和武相,1
3,相公中,1
4,公中秋,1
5,中秋錦,1
6,秋錦樓,1
7,錦樓玩,1
8,樓玩月,1
9,玩月奉,1
10,月奉陪,1
11,奉陪武,1
12,陪武相,1
13,相公西,1
14,公西亭,1
15,西亭夜,1
16,亭夜宴,1
17,夜宴陸,1
18,宴陸郎,1
19,陸郎中,1
20,郎中清,1
21,中清溪,1
22,清溪路,1
23,溪路中,1
24,路中寄,1
25,中寄諸,1
26,寄諸公,1
27,諸公奉,1
28,公奉酬,1
29,奉酬中,1
30,酬中書,1
31,中書相,1
32,書相公,1
33,相公至,1
34,公至日,1
35,至日圜,1
36,日圜丘,1
37,圜丘行,1
38,丘行事,1
39,行事合,1
40,事合於,1
41,合於中,1
42,於中書,1
43,中書宿,1
44,書宿齋,1
45,宿齋移,1
46,齋移止,1
47,移止於,1
48,止於集,1
49,於集賢,1
50,集賢院,1
51,賢院敘,1
52,院敘情,1
53,敘情見,1
54,情見寄,1
55,見寄之,1
56,寄之什,1
57,之什使,1
58,什使院,1
59,使院憶,1
60,院憶山,1
61,憶山中,1
62,山中道,1
63,中道侶,1
64,道侶兼,1
65,侶兼懷,1
66,兼懷李,1
67,懷李約,1
