排名,詞彙,出現次數
1,奉和聖制送,3
2,奉和聖制早,3
3,之樂奉和聖,2
4,樂奉和聖制,2
5,奉和聖制次,2
6,篇奉和聖制,2
7,奉和聖制途,2
8,各賦一物得,2
9,故刑部李尚,2
10,刑部李尚書,2
11,挽歌詞三首,2
12,奉和聖制經,2
13,酬宋使君見,2
14,橫吹曲辭折,1
15,吹曲辭折楊,1
16,曲辭折楊柳,1
17,辭折楊柳奉,1
18,折楊柳奉和,1
19,楊柳奉和聖,1
20,柳奉和聖制,1
21,奉和聖制喜,1
22,和聖制喜雨,1
23,聖制喜雨南,1
24,制喜雨南郊,1
25,喜雨南郊文,1
26,雨南郊文武,1
27,南郊文武出,1
28,郊文武出入,1
29,文武出入舒,1
30,武出入舒和,1
31,出入舒和之,1
32,入舒和之樂,1
33,舒和之樂奉,1
34,和之樂奉和,1
35,奉和聖制幸,1
36,和聖制幸晉,1
37,聖制幸晉陽,1
38,制幸晉陽宮,1
39,幸晉陽宮奉,1
40,晉陽宮奉和,1
41,陽宮奉和聖,1
42,宮奉和聖制,1
43,和聖制次成,1
44,聖制次成皋,1
45,制次成皋先,1
46,次成皋先聖,1
47,成皋先聖擒,1
48,皋先聖擒建,1
49,先聖擒建德,1
50,聖擒建德之,1
51,擒建德之所,1
52,建德之所奉,1
53,德之所奉和,1
54,之所奉和聖,1
55,所奉和聖制,1
56,奉和聖制賜,1
57,和聖制賜諸,1
58,聖制賜諸州,1
59,制賜諸州刺,1
60,賜諸州刺史,1
61,諸州刺史以,1
62,州刺史以題,1
63,刺史以題座,1
64,史以題座右,1
65,以題座右奉,1
66,題座右奉和,1
67,座右奉和聖,1
68,右奉和聖制,1
69,和聖制送十,1
70,聖制送十道,1
71,制送十道採,1
72,送十道採訪,1
73,十道採訪使,1
74,道採訪使及,1
75,採訪使及朝,1
76,訪使及朝集,1
77,使及朝集使,1
78,及朝集使奉,1
79,朝集使奉和,1
80,集使奉和聖,1
81,使奉和聖制,1
82,奉和聖制謁,1
83,和聖制謁玄,1
84,聖制謁玄元,1
85,制謁玄元皇,1
86,謁玄元皇帝,1
87,玄元皇帝廟,1
88,元皇帝廟齋,1
89,皇帝廟齋巫,1
90,帝廟齋巫山,1
91,廟齋巫山高,1
92,齋巫山高和,1
93,巫山高和黃,1
94,山高和黃門,1
95,高和黃門盧,1
96,和黃門盧監,1
97,黃門盧監望,1
98,門盧監望秦,1
99,盧監望秦始,1
100,監望秦始皇,1
101,望秦始皇陵,1
102,秦始皇陵酬,1
103,始皇陵酬周,1
104,皇陵酬周判,1
105,陵酬周判官,1
106,酬周判官巡,1
107,周判官巡至,1
108,判官巡至始,1
109,官巡至始興,1
110,巡至始興會,1
111,至始興會改,1
112,始興會改秘,1
113,興會改秘書,1
114,會改秘書少,1
115,改秘書少監,1
116,秘書少監見,1
117,書少監見貽,1
118,少監見貽之,1
119,監見貽之作,1
120,見貽之作兼,1
121,貽之作兼呈,1
122,之作兼呈耿,1
123,作兼呈耿廣,1
124,兼呈耿廣州,1
125,呈耿廣州和,1
126,耿廣州和吏,1
127,廣州和吏部,1
128,州和吏部李,1
129,和吏部李侍,1
130,吏部李侍郎,1
131,部李侍郎見,1
132,李侍郎見示,1
133,侍郎見示秋,1
134,郎見示秋夜,1
135,見示秋夜望,1
136,示秋夜望月,1
137,秋夜望月憶,1
138,夜望月憶諸,1
139,望月憶諸侍,1
140,月憶諸侍郎,1
141,憶諸侍郎之,1
142,諸侍郎之什,1
143,侍郎之什其,1
144,郎之什其卒,1
145,之什其卒章,1
146,什其卒章有,1
147,其卒章有前,1
148,卒章有前後,1
149,章有前後行,1
150,有前後行之,1
151,前後行之戲,1
152,後行之戲因,1
153,行之戲因命,1
154,之戲因命僕,1
155,戲因命僕繼,1
156,因命僕繼作,1
157,命僕繼作登,1
158,僕繼作登南,1
159,繼作登南嶽,1
160,作登南嶽事,1
161,登南嶽事畢,1
162,南嶽事畢謁,1
163,嶽事畢謁司,1
164,事畢謁司馬,1
165,畢謁司馬道,1
166,謁司馬道士,1
167,司馬道士九,1
168,馬道士九月,1
169,道士九月九,1
170,士九月九日,1
171,九月九日登,1
172,月九日登龍,1
173,九日登龍山,1
174,日登龍山登,1
175,登龍山登郡,1
176,龍山登郡城,1
177,山登郡城南,1
178,登郡城南樓,1
179,郡城南樓歲,1
180,城南樓歲初,1
181,南樓歲初巡,1
182,樓歲初巡屬,1
183,歲初巡屬縣,1
184,初巡屬縣登,1
185,巡屬縣登高,1
186,屬縣登高安,1
187,縣登高安南,1
188,登高安南樓,1
189,高安南樓言,1
190,安南樓言懷,1
191,南樓言懷秋,1
