排名,詞彙,出現次數
1,應制,9
2,歌辭,4
3,相和,3
4,和歌,3
5,奉和,3
6,雜曲,2
7,芳樹,2
8,胡無,2
9,無人,2
10,人行,2
11,婕妤,2
12,採蓮,2
13,蓮曲,2
14,桃花,2
15,舍人,2
16,李適,2
17,遇雪,2
18,雪應,2
19,公主,2
20,餞唐,2
21,侍宴,2
22,樂府,1
23,府雜,1
24,曲鼓,1
25,鼓吹,1
26,吹曲,1
27,曲辭,1
28,辭芳,1
29,樹相,1
30,辭胡,1
31,行相,1
32,辭班,1
33,班婕,1
34,妤相,1
35,辭採,1
36,曲雜,1
37,曲歌,1
38,辭桃,1
39,花行,1
40,行儀,1
41,儀坤,1
42,坤廟,1
43,廟樂,1
44,樂章,1
45,章金,1
46,金奏,1
47,奏擬,1
48,擬古,1
49,古三,1
50,三首,1
51,首贈,1
52,贈劉,1
53,劉舍,1
54,人古,1
55,古意,1
56,意和,1
57,和李,1
58,適答,1
59,答宋,1
60,宋十,1
61,十一,1
62,一入,1
63,入崖,1
64,崖口,1
65,口五,1
66,五渡,1
67,渡見,1
68,見贈,1
69,贈雪,1
70,雪比,1
71,比干,1
72,干墓,1
73,墓題,1
74,題東,1
75,東山,1
76,山子,1
77,子李,1
78,適碑,1
79,碑陰,1
80,陰二,1
81,二首,1
82,首淮,1
83,淮亭,1
84,亭吟,1
85,吟芳,1
86,樹游,1
87,游禁,1
88,禁苑,1
89,苑幸,1
90,幸臨,1
91,臨渭,1
92,渭亭,1
93,亭遇,1
94,制奉,1
95,和送,1
96,送金,1
97,金城,1
98,城公,1
99,主適,1
100,適西,1
101,西蕃,1
102,蕃應,1
103,制幸,1
104,幸白,1
105,白鹿,1
106,鹿觀,1
107,觀應,1
108,制胡,1
109,行婕,1
110,妤採,1
111,曲孤,1
112,孤燭,1
113,燭歎,1
114,歎閨,1
115,閨怨,1
116,怨餞,1
117,唐州,1
118,州高,1
119,高使,1
120,使君,1
121,君赴,1
122,赴任,1
123,任奉,1
124,和幸,1
125,幸新,1
126,新豐,1
127,豐溫,1
128,溫泉,1
129,泉宮,1
130,宮應,1
131,制同,1
132,同韋,1
133,韋舍,1
134,人元,1
135,元旦,1
136,旦早,1
137,早朝,1
138,朝侍,1
139,宴韋,1
140,韋嗣,1
141,嗣立,1
142,立山,1
143,山莊,1
144,莊應,1
145,制送,1
146,送特,1
147,特進,1
148,進李,1
149,李嶠,1
150,嶠入,1
151,入都,1
152,都袝,1
153,袝廟,1
154,廟春,1
155,春閨,1
156,閨奉,1
157,和興,1
158,興慶,1
159,慶池,1
160,池戲,1
161,戲競,1
162,競渡,1
163,渡應,1
164,制苑,1
165,苑中,1
166,中遇,1
167,制上,1
168,上巳,1
169,巳日,1
170,日祓,1
171,祓禊,1
172,禊渭,1
173,渭濱,1
174,濱應,1
175,制夜,1
176,夜宴,1
177,宴安,1
178,安樂,1
179,樂公,1
180,主新,1
181,新宅,1
182,宅應,1
183,制餞,1
184,唐永,1
185,永昌,1
186,昌侍,1
187,宴桃,1
188,花園,1
189,園石,1
190,石淙,1
