排名,詞彙,出現次數
1,行雜曲歌辭,2
2,雜曲歌辭古,2
3,古別離二首,2
4,首雜曲歌辭,2
5,樂雜曲歌辭,2
6,相和歌辭襄,1
7,和歌辭襄陽,1
8,歌辭襄陽曲,1
9,辭襄陽曲雜,1
10,襄陽曲雜曲,1
11,陽曲雜曲歌,1
12,曲雜曲歌辭,1
13,雜曲歌辭少,1
14,曲歌辭少年,1
15,歌辭少年行,1
16,辭少年行雜,1
17,少年行雜曲,1
18,年行雜曲歌,1
19,雜曲歌辭壯,1
20,曲歌辭壯士,1
21,歌辭壯士行,1
22,辭壯士行雜,1
23,壯士行雜曲,1
24,士行雜曲歌,1
25,曲歌辭古別,1
26,歌辭古別離,1
27,辭古別離二,1
28,別離二首雜,1
29,離二首雜曲,1
30,二首雜曲歌,1
31,雜曲歌辭起,1
32,曲歌辭起夜,1
33,歌辭起夜來,1
34,辭起夜來雜,1
35,起夜來雜曲,1
36,夜來雜曲歌,1
37,來雜曲歌辭,1
38,雜曲歌辭定,1
39,曲歌辭定情,1
40,歌辭定情樂,1
41,辭定情樂雜,1
42,定情樂雜曲,1
43,情樂雜曲歌,1
44,雜曲歌辭春,1
45,曲歌辭春遊,1
46,歌辭春遊樂,1
47,辭春遊樂雜,1
48,春遊樂雜曲,1
49,遊樂雜曲歌,1
50,曲歌辭古曲,1
51,歌辭古曲五,1
52,辭古曲五首,1
53,古曲五首雜,1
54,曲五首雜曲,1
55,五首雜曲歌,1
56,雜曲歌辭楊,1
57,曲歌辭楊柳,1
58,歌辭楊柳枝,1
59,辭楊柳枝夜,1
60,楊柳枝夜宴,1
61,柳枝夜宴曲,1
62,枝夜宴曲效,1
63,夜宴曲效古,1
64,宴曲效古興,1
65,曲效古興古,1
66,效古興古別,1
67,古興古別離,1
68,興古別離二,1
69,別離二首壯,1
70,離二首壯士,1
71,二首壯士行,1
72,首壯士行代,1
73,壯士行代征,1
74,士行代征婦,1
75,行代征婦怨,1
76,代征婦怨送,1
77,征婦怨送人,1
78,婦怨送人南,1
79,怨送人南游,1
80,送人南游贈,1
81,人南游贈邊,1
82,南游贈邊將,1
83,游贈邊將上,1
84,贈邊將上禮,1
85,邊將上禮部,1
86,將上禮部侍,1
87,上禮部侍郎,1
88,禮部侍郎陳,1
89,部侍郎陳情,1
90,侍郎陳情早,1
91,郎陳情早春,1
92,陳情早春殘,1
93,情早春殘雪,1
94,早春殘雪送,1
95,春殘雪送端,1
96,殘雪送端上,1
97,雪送端上人,1
98,送端上人游,1
99,端上人游天,1
100,上人游天臺,1
101,人游天臺惜,1
102,游天臺惜花,1
103,天臺惜花沖,1
104,臺惜花沖夜,1
105,惜花沖夜行,1
106,花沖夜行夜,1
107,沖夜行夜愁,1
108,夜行夜愁曲,1
109,行夜愁曲雜,1
110,夜愁曲雜古,1
111,愁曲雜古詞,1
112,曲雜古詞五,1
