排名,詞彙,出現次數
1,寄,55
2,人,37
3,山,33
4,春,30
5,上,26
6,書,25
7,送,24
8,秋,24
9,秀,22
10,才,22
11,中,21
12,懷,21
13,贈,20
14,江,18
15,廬,16
16,日,16
17,見,15
18,思,13
19,作,13
20,首,13
21,感,12
22,和,12
23,二,12
24,海,11
25,題,11
26,夕,11
27,明,11
28,府,11
29,游,10
30,居,10
31,水,10
32,陵,10
33,訪,9
34,道,9
35,王,9
36,舊,9
37,依,9
38,師,9
39,吟,9
40,獻,9
41,陽,9
42,夜,9
43,朐,9
44,縣,9
45,吉,9
46,泊,8
47,劉,8
48,蔡,8
49,士,8
50,友,8
51,先,8
52,夏,8
53,暮,7
54,有,7
55,者,7
56,宿,7
57,韻,7
58,孫,7
59,張,7
60,舍,7
61,酬,7
62,左,6
63,偃,6
64,郎,6
65,事,6
66,留,6
67,壁,6
68,花,6
69,途,6
70,故,6
71,觀,6
72,所,6
73,侍,6
74,新,6
75,歸,6
76,亭,6
77,舟,6
78,鈞,6
79,柴,6
80,下,6
81,維,6
82,雨,5
83,宮,5
84,遊,5
85,重,5
86,院,5
87,赴,5
88,客,5
89,東,5
90,大,5
91,晚,5
92,鐘,5
93,溪,5
94,次,5
95,幽,5
96,旅,5
97,寒,4
98,洞,4
99,神,4
100,白,4
101,雲,4
102,從,4
103,文,4
104,處,4
105,智,4
106,謙,4
107,昭,4
108,古,4
109,偶,4
110,子,4
111,寺,4
112,徐,4
113,柳,4
114,知,4
115,司,4
116,徒,4
117,行,4
118,城,4
119,華,4
120,都,4
121,正,4
122,經,4
123,弟,4
124,再,4
125,陳,4
126,貽,4
127,尉,4
128,之,4
129,輩,4
130,毗,4
131,喜,3
132,致,3
133,仕,3
134,沈,3
135,彬,3
136,慶,3
137,真,3
138,茅,3
139,林,3
140,聞,3
141,過,3
142,寂,3
143,邊,3
144,少,3
145,生,3
146,志,3
147,離,3
148,竹,3
149,隱,3
150,食,3
151,宰,3
152,命,3
153,字,3
154,員,3
155,外,3
156,對,3
157,南,3
158,登,3
159,招,3
160,時,3
161,侯,3
162,歲,3
163,哭,3
164,太,3
165,宋,3
166,逢,3
167,閻,3
168,禦,3
169,惟,3
170,渚,3
171,清,3
172,姚,3
173,端,3
174,禪,3
175,彭,3
176,邵,2
177,不,2
178,遇,2
179,別,2
180,令,2
181,岳,2
182,鑒,2
183,小,2
184,齋,2
185,相,2
186,軍,2
187,史,2
188,規,2
189,澤,2
190,望,2
191,鶴,2
192,庭,2
193,代,2
194,閒,2
195,安,2
196,義,2
197,風,2
198,簡,2
199,池,2
200,賦,2
201,得,2
202,草,2
203,湓,2
204,興,2
205,九,2
206,漁,2
207,父,2
208,勉,2
209,同,2
210,前,2
211,聽,2
212,羽,2
213,因,2
214,落,2
215,尊,2
216,長,2
217,館,2
218,楊,2
219,記,2
220,壽,2
221,辟,2
222,宅,2
223,悼,2
224,潤,2
225,樓,2
226,高,2
227,病,2
228,黃,2
229,載,2
230,筆,2
231,魯,2
232,村,2
233,會,2
234,冬,2
235,捧,2
236,宣,2
237,頭,2
238,晉,2
239,罷,2
240,任,2
241,銳,2
242,喻,2
243,松,2
244,早,2
245,青,2
246,浦,2
247,酒,2
248,貞,2
249,章,2
250,笛,2
251,雪,2
252,言,2
253,老,2
254,國,2
255,用,2
256,五,2
257,泉,2
258,魏,1
259,夫,1
260,壇,1
261,恭,1
262,兼,1
263,峰,1
264,桃,1
265,李,1
266,公,1
267,武,1
268,姑,1
269,蘇,1
270,虛,1
271,蒯,1
272,亮,1
273,蠡,1
274,去,1
275,微,1
276,孔,1
277,野,1
278,玄,1
279,劍,1
280,遠,1
281,影,1
282,堂,1
283,葦,1
284,店,1
285,圖,1
286,氏,1
287,方,1
288,常,1
289,永,1
290,杜,1
291,翱,1
292,韓,1
293,龍,1
294,光,1
295,仙,1
296,祀,1
297,迎,1
298,曲,1
299,阜,1
300,僧,1
301,投,1
302,北,1
303,叟,1
304,紫,1
305,極,1
306,業,1
307,三,1
308,曉,1
309,鄭,1
310,彈,1
311,琴,1
312,閣,1
313,鸂,1
314,鶒,1
315,臘,1
316,假,1
317,成,1
318,自,1
319,霽,1
320,蟬,1
321,濟,1
322,幕,1
323,廢,1
324,消,1
325,息,1
326,芳,1
327,亡,1
328,晏,1
329,德,1
330,憶,1
331,烈,1
332,祖,1
333,孝,1
334,挽,1
335,歌,1
336,音,1
337,鶚,1
338,牡,1
339,丹,1
340,閨,1
341,辭,1
342,州,1
343,番,1
344,燕,1
345,鶯,1
346,易,1
347,戴,1
348,家,1
349,喬,1
350,戩,1
351,倅,1
352,職,1
353,又,1
354,關,1
355,郭,1
356,判,1
357,官,1
358,石,1
359,棋,1
360,局,1
361,己,1
362,未,1
363,情,1
364,詩,1
365,讀,1
366,蜀,1
367,拾,1
368,遺,1
369,湯,1
370,守,1
371,創,1
372,詞,1
373,採,1
374,蓮,1
375,女,1
376,許,1
377,養,1
378,寓,1
379,苔,1
380,紅,1
381,福,1
382,秘,1
383,仲,1
384,廳,1
385,栽,1
386,念,1
387,法,1
388,綬,1
389,韋,1
390,校,1
391,援,1
392,雄,1
393,覽,1
394,卷,1
395,郵,1
396,起,1
397,米,1
398,矩,1
399,喪,1
400,妃,1
401,醒,1
402,虞,1
403,趙,1
404,杞,1
405,臨,1
406,驛,1
407,隔,1
408,牆,1
409,廣,1
410,莊,1
411,陰,1
412,禁,1
413,煙,1
414,君,1
415,甯,1
416,蛩,1
417,伯,1
418,棲,1
419,譚,1
420,值,1
421,暴,1
422,杪,1
423,七,1
424,闕,1
425,甲,1
426,謁,1
427,席,1
428,吹,1
429,兒,1
430,呈,1
431,汪,1
432,濤,1
433,澄,1
434,主,1
435,覺,1
436,圓,1
437,裏,1
438,匡,1
439,監,1
440,砧,1
441,紹,1
442,到,1
443,尋,1
444,教,1
445,遙,1
446,潛,1
447,曹,1
448,梅,1
449,仁,1
450,使,1
451,壬,1
452,申,1
453,承,1
454,淦,1
455,學,1
456,胡,1
457,參,1
458,卿,1
459,放,1
460,鷺,1
461,鷥,1
462,絮,1
463,裕,1
464,敘,1
465,勤,1
466,奉,1
467,潘,1
