排名,詞彙,出現次數
1,雜曲歌辭江上曲,1
2,曲歌辭江上曲傷,1
3,歌辭江上曲傷吳,1
4,辭江上曲傷吳中,1
5,江上曲傷吳中夜,1
6,上曲傷吳中夜聞,1
7,曲傷吳中夜聞江,1
8,傷吳中夜聞江南,1
9,吳中夜聞江南人,1
10,中夜聞江南人家,1
11,夜聞江南人家賽,1
12,聞江南人家賽神,1
13,江南人家賽神因,1
14,南人家賽神因題,1
15,人家賽神因題即,1
16,家賽神因題即事,1
17,賽神因題即事古,1
18,神因題即事古興,1
19,因題即事古興雜,1
20,題即事古興雜興,1
21,即事古興雜興送,1
22,事古興雜興送韋,1
23,古興雜興送韋邕,1
24,興雜興送韋邕少,1
25,雜興送韋邕少府,1
26,興送韋邕少府歸,1
27,送韋邕少府歸鐘,1
28,韋邕少府歸鐘山,1
29,邕少府歸鐘山送,1
30,少府歸鐘山送盧,1
31,府歸鐘山送盧員,1
32,歸鐘山送盧員外,1
33,鐘山送盧員外往,1
34,山送盧員外往饒,1
35,送盧員外往饒州,1
36,盧員外往饒州送,1
37,員外往饒州送裴,1
38,外往饒州送裴五,1
39,往饒州送裴五歸,1
40,饒州送裴五歸京,1
41,州送裴五歸京口,1
42,送裴五歸京口送,1
43,裴五歸京口送嚴,1
44,五歸京口送嚴維,1
45,歸京口送嚴維歸,1
46,京口送嚴維歸越,1
47,口送嚴維歸越州,1
48,送嚴維歸越州送,1
49,嚴維歸越州送杜,1
50,維歸越州送杜士,1
51,歸越州送杜士瞻,1
52,越州送杜士瞻楚,1
53,州送杜士瞻楚州,1
54,送杜士瞻楚州覲,1
55,杜士瞻楚州覲省,1
56,士瞻楚州覲省送,1
57,瞻楚州覲省送裴,1
58,楚州覲省送裴宣,1
59,州覲省送裴宣城,1
60,覲省送裴宣城上,1
61,省送裴宣城上元,1
62,送裴宣城上元所,1
63,裴宣城上元所居,1
64,宣城上元所居留,1
65,城上元所居留別,1
66,上元所居留別毗,1
67,元所居留別毗陵,1
68,所居留別毗陵諸,1
69,居留別毗陵諸公,1
70,留別毗陵諸公送,1
71,別毗陵諸公送獨,1
72,毗陵諸公送獨孤,1
73,陵諸公送獨孤拾,1
74,諸公送獨孤拾遺,1
75,公送獨孤拾遺先,1
76,送獨孤拾遺先輩,1
77,獨孤拾遺先輩先,1
78,孤拾遺先輩先赴,1
79,拾遺先輩先赴上,1
80,遺先輩先赴上都,1
81,先輩先赴上都常,1
82,輩先赴上都常州,1
83,先赴上都常州韋,1
84,赴上都常州韋郎,1
85,上都常州韋郎中,1
86,都常州韋郎中泛,1
87,常州韋郎中泛舟,1
88,州韋郎中泛舟見,1
89,韋郎中泛舟見餞,1
90,郎中泛舟見餞送,1
91,中泛舟見餞送崔,1
92,泛舟見餞送崔侍,1
93,舟見餞送崔侍禦,1
94,見餞送崔侍禦入,1
95,餞送崔侍禦入朝,1
96,送崔侍禦入朝送,1
97,崔侍禦入朝送岳,1
98,侍禦入朝送岳州,1
99,禦入朝送岳州司,1
100,入朝送岳州司馬,1
101,朝送岳州司馬弟,1
102,送岳州司馬弟之,1
103,岳州司馬弟之任,1
104,州司馬弟之任裴,1
105,司馬弟之任裴侍,1
106,馬弟之任裴侍禦,1
107,弟之任裴侍禦見,1
108,之任裴侍禦見贈,1
109,任裴侍禦見贈斑,1
110,裴侍禦見贈斑竹,1
111,侍禦見贈斑竹杖,1
112,禦見贈斑竹杖送,1
113,見贈斑竹杖送張,1
114,贈斑竹杖送張觀,1
115,斑竹杖送張觀歸,1
116,竹杖送張觀歸袁,1
117,杖送張觀歸袁州,1
118,送張觀歸袁州冬,1
119,張觀歸袁州冬夜,1
120,觀歸袁州冬夜饒,1
121,歸袁州冬夜饒州,1
122,袁州冬夜饒州使,1
123,州冬夜饒州使堂,1
124,冬夜饒州使堂餞,1
125,夜饒州使堂餞相,1
126,饒州使堂餞相公,1
127,州使堂餞相公五,1
128,使堂餞相公五叔,1
129,堂餞相公五叔赴,1
130,餞相公五叔赴歙,1
131,相公五叔赴歙州,1
132,公五叔赴歙州蔣,1
133,五叔赴歙州蔣山,1
134,叔赴歙州蔣山開,1
135,赴歙州蔣山開善,1
136,歙州蔣山開善寺,1
137,州蔣山開善寺晚,1
138,蔣山開善寺晚發,1
139,山開善寺晚發江,1
140,開善寺晚發江寧,1
141,善寺晚發江寧道,1
142,寺晚發江寧道中,1
143,晚發江寧道中呈,1
144,發江寧道中呈嚴,1
145,江寧道中呈嚴維,1
146,寧道中呈嚴維句,1
147,道中呈嚴維句容,1
148,中呈嚴維句容縣,1
149,呈嚴維句容縣東,1
150,嚴維句容縣東青,1
151,維句容縣東青陽,1
152,句容縣東青陽館,1
153,容縣東青陽館作,1
154,縣東青陽館作晚,1
155,東青陽館作晚春,1
156,青陽館作晚春宴,1
157,陽館作晚春宴無,1
158,館作晚春宴無錫,1
159,作晚春宴無錫蔡,1
160,晚春宴無錫蔡明,1
161,春宴無錫蔡明府,1
162,宴無錫蔡明府西,1
163,無錫蔡明府西亭,1
164,錫蔡明府西亭送,1
165,蔡明府西亭送王,1
166,明府西亭送王端,1
167,府西亭送王端赴,1
168,西亭送王端赴朝,1
169,亭送王端赴朝送,1
170,送王端赴朝送王,1
171,王端赴朝送王正,1
172,端赴朝送王正字,1
173,赴朝送王正字山,1
174,朝送王正字山寺,1
175,送王正字山寺讀,1
176,王正字山寺讀書,1
177,正字山寺讀書送,1
178,字山寺讀書送房,1
179,山寺讀書送房明,1
180,寺讀書送房明府,1
181,讀書送房明府罷,1
182,書送房明府罷長,1
183,送房明府罷長寧,1
184,房明府罷長寧令,1
185,明府罷長寧令湖,1
186,府罷長寧令湖州,1
187,罷長寧令湖州客,1
188,長寧令湖州客舍,1
189,寧令湖州客舍詠,1
190,令湖州客舍詠螢,1
191,湖州客舍詠螢送,1
192,州客舍詠螢送李,1
193,客舍詠螢送李中,1
194,舍詠螢送李中丞,1
195,詠螢送李中丞楊,1
196,螢送李中丞楊判,1
197,送李中丞楊判官,1
198,李中丞楊判官至,1
199,中丞楊判官至七,1
200,丞楊判官至七裏,1
201,楊判官至七裏灘,1
202,判官至七裏灘作,1
203,官至七裏灘作南,1
204,至七裏灘作南浦,1
205,七裏灘作南浦渡,1
206,裏灘作南浦渡口,1
207,灘作南浦渡口暮,1
208,作南浦渡口暮秋,1
209,南浦渡口暮秋遷,1
210,浦渡口暮秋遷客,1
211,渡口暮秋遷客增,1
212,口暮秋遷客增思,1
213,暮秋遷客增思寄,1
