排名,詞彙,出現次數
1,噴玉泉冥會,4
2,玉泉冥會詩,4
3,泉冥會詩八,4
4,冥會詩八首,4
5,會詩八首白,3
6,詩八首白衣,3
7,八首白衣叟,3
8,首白衣叟途,1
9,白衣叟途中,1
10,衣叟途中吟,1
11,叟途中吟二,1
12,途中吟二首,1
13,中吟二首噴,1
14,吟二首噴玉,1
15,二首噴玉泉,1
16,首噴玉泉冥,1
17,首白衣叟述,1
18,白衣叟述甘,1
19,衣叟述甘棠,1
20,叟述甘棠館,1
21,述甘棠館西,1
22,甘棠館西楹,1
23,棠館西楹詩,1
24,館西楹詩噴,1
25,西楹詩噴玉,1
26,楹詩噴玉泉,1
27,詩噴玉泉冥,1
28,首白衣叟噴,1
29,白衣叟噴玉,1
30,衣叟噴玉泉,1
31,叟噴玉泉感,1
32,噴玉泉感舊,1
33,玉泉感舊遊,1
34,泉感舊遊書,1
35,感舊遊書懷,1
36,舊遊書懷噴,1
37,遊書懷噴玉,1
38,書懷噴玉泉,1
39,懷噴玉泉冥,1
40,會詩八首四,1
41,詩八首四丈,1
42,八首四丈夫,1
43,首四丈夫同,1
44,四丈夫同賦,1
