排名,詞彙,出現次數
1,行相和歌辭,10
2,行雜曲歌辭,7
3,樂府雜曲鼓,6
4,府雜曲鼓吹,6
5,雜曲鼓吹曲,6
6,曲鼓吹曲辭,6
7,二首相和歌,6
8,首相和歌辭,6
9,歌相和歌辭,5
10,首雜曲歌辭,5
11,歌行相和歌,4
12,相和歌辭子,4
13,和歌辭子夜,4
14,歌辭子夜四,4
15,辭子夜四時,4
16,子夜四時歌,4
17,夜四時歌四,4
18,四時歌四首,4
19,曲相和歌辭,4
20,相和歌辭長,3
21,子雜曲歌辭,3
22,三首雜曲歌,3
23,歌雜歌謠辭,3
24,歌子夜吳歌,3
25,南陵常贊府,3
26,魯郡堯祠送,3
27,幽州胡馬客,2
28,州胡馬客歌,2
29,登高丘而望,2
30,高丘而望遠,2
31,王昭君二首,2
32,行二首相和,2
33,難相和歌辭,2
34,相和歌辭上,2
35,長門怨二首,2
36,怨相和歌辭,2
37,丁督護歌相,2
38,樂相和歌辭,2
39,湖邊採蓮婦,2
40,相和歌辭鳳,2
41,東海有勇婦,2
42,舞曲歌辭白,2
43,琴曲歌辭蔡,2
44,曲歌辭蔡氏,2
45,歌辭蔡氏五,2
46,辭蔡氏五弄,2
47,二首琴曲歌,2
48,首琴曲歌辭,2
49,飛龍引二首,2
50,出自薊北門,2
51,自薊北門行,2
52,君子有所思,2
53,子有所思行,2
54,篇雜曲歌辭,2
55,行二首雜曲,2
56,二首雜曲歌,2
57,雜曲歌辭結,2
58,結客少年場,2
59,客少年場行,2
60,雜曲歌辭少,2
61,曲歌辭少年,2
62,雜曲歌辭行,2
63,行行遊且獵,2
64,行遊且獵篇,2
65,雜曲歌辭長,2
66,行路難三首,2
67,邯鄲才人嫁,2
68,鄲才人嫁為,2
69,才人嫁為廝,2
70,人嫁為廝養,2
71,嫁為廝養卒,2
72,為廝養卒婦,2
73,枯魚過河泣,2
74,中山孺子妾,2
75,山孺子妾歌,2
76,司馬將軍歌,2
77,雜歌謠辭襄,2
78,歌謠辭襄陽,2
79,峨眉山月歌,2
80,長安崔少府,2
81,安崔少府叔,2
82,崔少府叔封,2
83,崔郎中宗之,2
84,漢陽輔錄事,2
85,醉後贈王曆,2
86,後贈王曆陽,2
87,贈王曆陽贈,2
88,從弟宣州長,2
89,弟宣州長史,2
90,宣州長史昭,2
91,贈南陵常贊,2
92,當塗趙少府,2
93,送楊山人歸,2
94,金陵鳳凰台,2
95,山姑孰十詠,2
96,元丹丘山居,2
97,丹丘山居題,2
98,鼓吹曲辭上,1
99,吹曲辭上之,1
100,曲辭上之回,1
101,辭上之回樂,1
102,上之回樂府,1
103,之回樂府雜,1
104,回樂府雜曲,1
105,鼓吹曲辭戰,1
106,吹曲辭戰城,1
107,曲辭戰城南,1
108,辭戰城南樂,1
109,戰城南樂府,1
110,城南樂府雜,1
111,南樂府雜曲,1
112,鼓吹曲辭將,1
113,吹曲辭將進,1
114,曲辭將進酒,1
115,辭將進酒樂,1
116,將進酒樂府,1
117,進酒樂府雜,1
118,酒樂府雜曲,1
119,鼓吹曲辭君,1
120,吹曲辭君馬,1
121,曲辭君馬黃,1
122,辭君馬黃樂,1
123,君馬黃樂府,1
124,馬黃樂府雜,1
125,黃樂府雜曲,1
126,鼓吹曲辭有,1
127,吹曲辭有所,1
128,曲辭有所思,1
129,辭有所思樂,1
130,有所思樂府,1
131,所思樂府雜,1
132,思樂府雜曲,1
133,鼓吹曲辭雉,1
134,吹曲辭雉子,1
135,曲辭雉子班,1
136,辭雉子班橫,1
137,雉子班橫吹,1
138,子班橫吹曲,1
139,班橫吹曲辭,1
140,橫吹曲辭折,1
141,吹曲辭折楊,1
142,曲辭折楊柳,1
143,辭折楊柳橫,1
144,折楊柳橫吹,1
145,楊柳橫吹曲,1
146,柳橫吹曲辭,1
147,橫吹曲辭關,1
148,吹曲辭關山,1
149,曲辭關山月,1
150,辭關山月橫,1
151,關山月橫吹,1
152,山月橫吹曲,1
153,月橫吹曲辭,1
154,橫吹曲辭洛,1
155,吹曲辭洛陽,1
156,曲辭洛陽陌,1
157,辭洛陽陌橫,1
158,洛陽陌橫吹,1
159,陽陌橫吹曲,1
160,陌橫吹曲辭,1
161,橫吹曲辭紫,1
162,吹曲辭紫騮,1
163,曲辭紫騮馬,1
164,辭紫騮馬橫,1
165,紫騮馬橫吹,1
166,騮馬橫吹曲,1
167,馬橫吹曲辭,1
168,橫吹曲辭幽,1
169,吹曲辭幽州,1
170,曲辭幽州胡,1
171,辭幽州胡馬,1
172,胡馬客歌橫,1
173,馬客歌橫吹,1
174,客歌橫吹曲,1
175,歌橫吹曲辭,1
176,橫吹曲辭白,1
177,吹曲辭白鼻,1
178,曲辭白鼻騧,1
179,辭白鼻騧相,1
180,白鼻騧相和,1
181,鼻騧相和歌,1
182,騧相和歌辭,1
183,相和歌辭登,1
184,和歌辭登高,1
185,歌辭登高丘,1
186,辭登高丘而,1
187,丘而望遠相,1
188,而望遠相和,1
189,望遠相和歌,1
190,遠相和歌辭,1
191,相和歌辭對,1
192,和歌辭對酒,1
193,歌辭對酒二,1
194,辭對酒二首,1
195,對酒二首相,1
196,酒二首相和,1
197,相和歌辭陌,1
198,和歌辭陌上,1
199,歌辭陌上桑,1
200,辭陌上桑相,1
201,陌上桑相和,1
202,上桑相和歌,1
203,桑相和歌辭,1
204,相和歌辭日,1
205,和歌辭日出,1
206,歌辭日出行,1
207,辭日出行相,1
208,日出行相和,1
209,出行相和歌,1
210,相和歌辭王,1
211,和歌辭王昭,1
212,歌辭王昭君,1
213,辭王昭君二,1
214,昭君二首相,1
215,君二首相和,1
216,和歌辭長歌,1
217,歌辭長歌行,1
218,辭長歌行相,1
219,長歌行相和,1
220,相和歌辭短,1
221,和歌辭短歌,1
222,歌辭短歌行,1
223,辭短歌行相,1
224,短歌行相和,1
225,相和歌辭猛,1
226,和歌辭猛虎,1
227,歌辭猛虎行,1
228,辭猛虎行相,1
229,猛虎行相和,1
230,虎行相和歌,1
231,相和歌辭從,1
232,和歌辭從軍,1
233,歌辭從軍行,1
234,辭從軍行二,1
235,從軍行二首,1
236,軍行二首相,1
237,相和歌辭鞠,1
238,和歌辭鞠歌,1
239,歌辭鞠歌行,1
240,辭鞠歌行相,1
241,鞠歌行相和,1
242,相和歌辭北,1
243,和歌辭北上,1
244,歌辭北上行,1
245,辭北上行相,1
246,北上行相和,1
247,上行相和歌,1
248,相和歌辭豫,1
249,和歌辭豫章,1
250,歌辭豫章行,1
251,辭豫章行相,1
252,豫章行相和,1
253,章行相和歌,1
254,相和歌辭相,1
255,和歌辭相逢,1
256,歌辭相逢行,1
257,辭相逢行二,1
258,相逢行二首,1
259,逢行二首相,1
260,相和歌辭來,1
261,和歌辭來日,1
262,歌辭來日大,1
263,辭來日大難,1
264,來日大難相,1
265,日大難相和,1
266,大難相和歌,1
267,和歌辭上留,1
268,歌辭上留田,1
269,辭上留田相,1
270,上留田相和,1
271,留田相和歌,1
272,田相和歌辭,1
273,相和歌辭門,1
274,和歌辭門有,1
275,歌辭門有車,1
276,辭門有車馬,1
277,門有車馬客,1
278,有車馬客行,1
279,車馬客行相,1
280,馬客行相和,1
281,客行相和歌,1
282,相和歌辭蜀,1
283,和歌辭蜀道,1
284,歌辭蜀道難,1
285,辭蜀道難相,1
286,蜀道難相和,1
287,道難相和歌,1
288,相和歌辭胡,1
289,和歌辭胡無,1
290,歌辭胡無人,1
291,辭胡無人行,1
292,胡無人行相,1
293,無人行相和,1
294,人行相和歌,1
295,相和歌辭白,1
296,和歌辭白頭,1
297,歌辭白頭吟,1
298,辭白頭吟二,1
299,白頭吟二首,1
300,頭吟二首相,1
301,吟二首相和,1
302,相和歌辭東,1
303,和歌辭東武,1
304,歌辭東武吟,1
305,辭東武吟相,1
306,東武吟相和,1
307,武吟相和歌,1
308,吟相和歌辭,1
309,相和歌辭怨,1
310,和歌辭怨歌,1
311,歌辭怨歌行,1
312,辭怨歌行相,1
313,怨歌行相和,1
314,和歌辭長門,1
315,歌辭長門怨,1
316,辭長門怨二,1
317,門怨二首相,1
318,怨二首相和,1
319,和歌辭長信,1
320,歌辭長信怨,1
321,辭長信怨相,1
322,長信怨相和,1
323,信怨相和歌,1
324,相和歌辭玉,1
325,和歌辭玉階,1
326,歌辭玉階怨,1
327,辭玉階怨相,1
328,玉階怨相和,1
329,階怨相和歌,1
330,時歌四首春,1
331,歌四首春歌,1
332,四首春歌相,1
333,首春歌相和,1
334,春歌相和歌,1
335,時歌四首夏,1
336,歌四首夏歌,1
337,四首夏歌相,1
338,首夏歌相和,1
339,夏歌相和歌,1
340,時歌四首秋,1
341,歌四首秋歌,1
342,四首秋歌相,1
343,首秋歌相和,1
344,秋歌相和歌,1
345,時歌四首冬,1
346,歌四首冬歌,1
347,四首冬歌相,1
348,首冬歌相和,1
349,冬歌相和歌,1
350,相和歌辭丁,1
351,和歌辭丁督,1
352,歌辭丁督護,1
353,辭丁督護歌,1
354,督護歌相和,1
355,護歌相和歌,1
356,相和歌辭估,1
357,和歌辭估客,1
358,歌辭估客樂,1
359,辭估客樂相,1
360,估客樂相和,1
361,客樂相和歌,1
362,相和歌辭大,1
363,和歌辭大堤,1
364,歌辭大堤曲,1
365,辭大堤曲相,1
366,大堤曲相和,1
367,堤曲相和歌,1
368,相和歌辭楊,1
369,和歌辭楊叛,1
370,歌辭楊叛兒,1
371,辭楊叛兒相,1
372,楊叛兒相和,1
373,叛兒相和歌,1
374,兒相和歌辭,1
375,相和歌辭採,1
376,和歌辭採蓮,1
377,歌辭採蓮曲,1
378,辭採蓮曲相,1
379,採蓮曲相和,1
380,蓮曲相和歌,1
381,相和歌辭湖,1
382,和歌辭湖邊,1
383,歌辭湖邊採,1
384,辭湖邊採蓮,1
385,邊採蓮婦相,1
386,採蓮婦相和,1
387,蓮婦相和歌,1
388,婦相和歌辭,1
389,和歌辭上雲,1
390,歌辭上雲樂,1
391,辭上雲樂相,1
392,上雲樂相和,1
393,雲樂相和歌,1
394,和歌辭鳳台,1
395,歌辭鳳台曲,1
396,辭鳳台曲相,1
397,鳳台曲相和,1
398,台曲相和歌,1
399,和歌辭鳳凰,1
400,歌辭鳳凰曲,1
401,辭鳳凰曲相,1
402,鳳凰曲相和,1
403,凰曲相和歌,1
404,相和歌辭君,1
405,和歌辭君道,1
406,歌辭君道曲,1
407,辭君道曲舞,1
408,君道曲舞曲,1
409,道曲舞曲歌,1
410,曲舞曲歌辭,1
411,舞曲歌辭東,1
412,曲歌辭東海,1
413,歌辭東海有,1
414,辭東海有勇,1
415,海有勇婦舞,1
416,有勇婦舞曲,1
417,勇婦舞曲歌,1
418,婦舞曲歌辭,1
419,曲歌辭白鳩,1
420,歌辭白鳩辭,1
421,辭白鳩辭舞,1
422,白鳩辭舞曲,1
423,鳩辭舞曲歌,1
424,辭舞曲歌辭,1
425,舞曲歌辭獨,1
426,曲歌辭獨漉,1
427,歌辭獨漉篇,1
428,辭獨漉篇舞,1
429,獨漉篇舞曲,1
430,漉篇舞曲歌,1
431,篇舞曲歌辭,1
432,曲歌辭白紵,1
433,歌辭白紵辭,1
434,辭白紵辭琴,1
435,白紵辭琴曲,1
436,紵辭琴曲歌,1
437,辭琴曲歌辭,1
438,琴曲歌辭雙,1
439,曲歌辭雙燕,1
440,歌辭雙燕離,1
441,辭雙燕離琴,1
442,雙燕離琴曲,1
443,燕離琴曲歌,1
444,離琴曲歌辭,1
445,蔡氏五弄淥,1
446,氏五弄淥水,1
447,五弄淥水曲,1
448,弄淥水曲琴,1
449,淥水曲琴曲,1
450,水曲琴曲歌,1
451,曲琴曲歌辭,1
452,蔡氏五弄秋,1
453,氏五弄秋思,1
454,五弄秋思二,1
455,弄秋思二首,1
456,秋思二首琴,1
457,思二首琴曲,1
458,琴曲歌辭飛,1
459,曲歌辭飛龍,1
460,歌辭飛龍引,1
