排名,詞彙,出現次數
1,行相和歌辭,2
2,漢宮少年行,2
3,夜上受降城,2
4,上受降城聞,2
5,受降城聞笛,2
6,奉和武相公,2
7,橫吹曲辭紫,1
8,吹曲辭紫騮,1
9,曲辭紫騮馬,1
10,辭紫騮馬相,1
11,紫騮馬相和,1
12,騮馬相和歌,1
13,馬相和歌辭,1
14,相和歌辭江,1
15,和歌辭江南,1
16,歌辭江南曲,1
17,辭江南曲相,1
18,江南曲相和,1
19,南曲相和歌,1
20,曲相和歌辭,1
21,相和歌辭置,1
22,和歌辭置酒,1
23,歌辭置酒行,1
24,辭置酒行相,1
25,置酒行相和,1
26,酒行相和歌,1
27,相和歌辭從,1
28,和歌辭從軍,1
29,歌辭從軍有,1
30,辭從軍有苦,1
31,從軍有苦樂,1
32,軍有苦樂行,1
33,有苦樂行相,1
34,苦樂行相和,1
35,樂行相和歌,1
36,相和歌辭宮,1
37,和歌辭宮怨,1
38,歌辭宮怨雜,1
39,辭宮怨雜曲,1
40,宮怨雜曲歌,1
41,怨雜曲歌辭,1
42,雜曲歌辭漢,1
43,曲歌辭漢宮,1
44,歌辭漢宮少,1
45,辭漢宮少年,1
46,宮少年行雜,1
47,少年行雜曲,1
48,年行雜曲歌,1
49,行雜曲歌辭,1
50,雜曲歌辭遊,1
51,曲歌辭遊子,1
52,歌辭遊子吟,1
53,辭遊子吟雜,1
54,遊子吟雜曲,1
55,子吟雜曲歌,1
56,吟雜曲歌辭,1
57,雜曲歌辭山,1
58,曲歌辭山鷓,1
59,歌辭山鷓鴣,1
60,辭山鷓鴣登,1
61,山鷓鴣登長,1
62,鷓鴣登長城,1
63,鴣登長城雜,1
64,登長城雜曲,1
65,長城雜曲送,1
66,城雜曲送遼,1
67,雜曲送遼陽,1
68,曲送遼陽使,1
69,送遼陽使還,1
70,遼陽使還軍,1
71,陽使還軍賦,1
72,使還軍賦得,1
73,還軍賦得早,1
74,軍賦得早燕,1
75,賦得早燕送,1
76,得早燕送別,1
77,早燕送別秋,1
78,燕送別秋晚,1
79,送別秋晚溪,1
80,別秋晚溪中,1
81,秋晚溪中寄,1
82,晚溪中寄懷,1
83,溪中寄懷大,1
84,中寄懷大理,1
85,寄懷大理齊,1
86,懷大理齊司,1
87,大理齊司直,1
88,理齊司直溪,1
89,齊司直溪中,1
90,司直溪中月,1
91,直溪中月下,1
92,溪中月下寄,1
93,中月下寄楊,1
94,月下寄楊子,1
95,下寄楊子尉,1
96,寄楊子尉封,1
97,楊子尉封亮,1
98,子尉封亮春,1
99,尉封亮春晚,1
100,封亮春晚賦,1
101,亮春晚賦得,1
102,春晚賦得餘,1
103,晚賦得餘花,1
104,賦得餘花落,1
105,得餘花落聞,1
106,餘花落聞亡,1
107,花落聞亡友,1
108,落聞亡友王,1
109,聞亡友王七,1
110,亡友王七嘉,1
111,友王七嘉禾,1
112,王七嘉禾寺,1
113,七嘉禾寺得,1
114,嘉禾寺得素,1
115,禾寺得素琴,1
116,寺得素琴校,1
117,得素琴校書,1
118,素琴校書郎,1
119,琴校書郎楊,1
120,校書郎楊凝,1
121,書郎楊凝往,1
122,郎楊凝往年,1
123,楊凝往年以,1
124,凝往年以古,1
125,往年以古鏡,1
126,年以古鏡貺,1
127,以古鏡貺別,1
128,古鏡貺別今,1
129,鏡貺別今追,1
130,貺別今追贈,1
131,別今追贈以,1
132,今追贈以詩,1
133,追贈以詩置,1
134,贈以詩置酒,1
135,以詩置酒行,1
136,詩置酒行長,1
137,置酒行長社,1
138,酒行長社竇,1
139,行長社竇明,1
140,長社竇明府,1
141,社竇明府宅,1
142,竇明府宅夜,1
143,明府宅夜送,1
144,府宅夜送王,1
145,宅夜送王屋,1
146,夜送王屋道,1
147,送王屋道士,1
148,王屋道士常,1
149,屋道士常究,1
150,道士常究子,1
151,士常究子觀,1
152,常究子觀回,1
153,究子觀回軍,1
154,子觀回軍三,1
155,觀回軍三韻,1
156,回軍三韻華,1
157,軍三韻華山,1
158,三韻華山南,1
159,韻華山南廟,1
160,華山南廟喜,1
161,山南廟喜邢,1
162,南廟喜邢校,1
163,廟喜邢校書,1
164,喜邢校書遠,1
165,邢校書遠至,1
166,校書遠至對,1
167,書遠至對雨,1
168,遠至對雨同,1
169,至對雨同賦,1
170,對雨同賦遠,1
171,雨同賦遠晚,1
172,同賦遠晚飯,1
173,賦遠晚飯阮,1
174,遠晚飯阮返,1
175,晚飯阮返五,1
176,飯阮返五韻,1
177,阮返五韻城,1
178,返五韻城西,1
179,五韻城西竹,1
180,韻城西竹園,1
181,城西竹園送,1
182,西竹園送裴,1
183,竹園送裴佶,1
184,園送裴佶王,1
185,送裴佶王達,1
186,裴佶王達月,1
187,佶王達月下,1
188,王達月下喜,1
189,達月下喜邢,1
190,月下喜邢校,1
191,下喜邢校書,1
192,喜邢校書至,1
193,邢校書至自,1
194,校書至自洛,1
195,書至自洛北,1
196,至自洛北至,1
197,自洛北至太,1
198,洛北至太原,1
199,北至太原入,1
200,至太原入華,1
201,太原入華山,1
202,原入華山訪,1
203,入華山訪隱,1
204,華山訪隱者,1
205,山訪隱者經,1
206,訪隱者經仙,1
207,隱者經仙人,1
208,者經仙人石,1
209,經仙人石壇,1
210,仙人石壇罷,1
211,人石壇罷鏡,1
212,石壇罷鏡華,1
213,壇罷鏡華陰,1
214,罷鏡華陰東,1
215,鏡華陰東泉,1
216,華陰東泉同,1
217,陰東泉同張,1
218,東泉同張處,1
219,泉同張處士,1
220,同張處士詣,1
221,張處士詣藏,1
222,處士詣藏律,1
223,士詣藏律師,1
224,詣藏律師兼,1
225,藏律師兼簡,1
226,律師兼簡縣,1
227,師兼簡縣內,1
228,兼簡縣內同,1
229,簡縣內同官,1
230,縣內同官因,1
231,內同官因寄,1
232,同官因寄齊,1
233,官因寄齊中,1
234,因寄齊中書,1
235,寄齊中書答,1
236,齊中書答郭,1
237,中書答郭黃,1
238,書答郭黃中,1
239,答郭黃中孤,1
240,郭黃中孤雲,1
241,黃中孤雲首,1
242,中孤雲首章,1
243,孤雲首章見,1
244,雲首章見贈,1
245,首章見贈合,1
246,章見贈合源,1
247,見贈合源溪,1
248,贈合源溪期,1
249,合源溪期張,1
250,源溪期張計,1
251,溪期張計不,1
252,期張計不至,1
253,張計不至竹,1
254,計不至竹溪,1
255,不至竹溪送,1
256,至竹溪送諸,1
257,竹溪送諸暨,1
258,溪送諸暨王,1
259,送諸暨王主,1
260,諸暨王主簿,1
261,暨王主簿之,1
262,王主簿之任,1
263,主簿之任罷,1
264,簿之任罷秩,1
265,之任罷秩後,1
266,任罷秩後入,1
267,罷秩後入華,1
268,秩後入華山,1
269,後入華山采,1
270,入華山采茯,1
271,華山采茯苓,1
272,山采茯苓逢,1
273,采茯苓逢道,1
274,茯苓逢道者,1
275,苓逢道者自,1
276,逢道者自朔,1
277,道者自朔方,1
278,者自朔方還,1
279,自朔方還與,1
280,朔方還與鄭,1
281,方還與鄭式,1
282,還與鄭式瞻,1
283,與鄭式瞻崔,1
284,鄭式瞻崔稱,1
285,式瞻崔稱鄭,1
286,瞻崔稱鄭子,1
287,崔稱鄭子周,1
288,稱鄭子周岑,1
289,鄭子周岑贊,1
290,子周岑贊同,1
291,周岑贊同會,1
292,岑贊同會法,1
293,贊同會法雲,1
294,同會法雲寺,1
295,會法雲寺三,1
296,法雲寺三門,1
297,雲寺三門避,1
298,寺三門避暑,1
299,三門避暑來,1
300,門避暑來從,1
301,避暑來從竇,1
302,暑來從竇車,1
303,來從竇車騎,1
304,從竇車騎行,1
305,竇車騎行夜,1
306,車騎行夜發,1
307,騎行夜發軍,1
308,行夜發軍中,1
309,夜發軍中將,1
310,發軍中將赴,1
311,軍中將赴朔,1
312,中將赴朔方,1
313,將赴朔方早,1
314,赴朔方早發,1
315,朔方早發漢,1
316,方早發漢武,1
317,早發漢武泉,1
318,發漢武泉城,1
319,漢武泉城傍,1
320,武泉城傍少,1
321,泉城傍少年,1
322,城傍少年遊,1
323,傍少年遊子,1
324,少年遊子吟,1
325,年遊子吟飲,1
326,遊子吟飲馬,1
327,子吟飲馬歌,1
328,吟飲馬歌蓮,1
329,飲馬歌蓮塘,1
330,馬歌蓮塘驛,1
331,歌蓮塘驛五,1
332,蓮塘驛五城,1
333,塘驛五城道,1
334,驛五城道中,1
335,五城道中與,1
336,城道中與王,1
337,道中與王楚,1
338,中與王楚同,1
339,與王楚同登,1
340,王楚同登青,1
341,楚同登青龍,1
342,同登青龍寺,1
343,登青龍寺上,1
344,青龍寺上方,1
345,龍寺上方登,1
346,寺上方登夏,1
347,上方登夏州,1
348,方登夏州城,1
349,登夏州城觀,1
350,夏州城觀送,1
351,州城觀送行,1
352,城觀送行人,1
353,觀送行人賦,1
354,送行人賦得,1
355,行人賦得六,1
356,人賦得六州,1
357,賦得六州胡,1
358,得六州胡兒,1
359,六州胡兒歌,1
360,州胡兒歌從,1
361,胡兒歌從軍,1
362,兒歌從軍夜,1
363,歌從軍夜次,1
364,從軍夜次六,1
365,軍夜次六胡,1
366,夜次六胡北,1
367,次六胡北飲,1
368,六胡北飲馬,1
369,胡北飲馬磨,1
370,北飲馬磨劍,1
371,飲馬磨劍石,1
372,馬磨劍石為,1
373,磨劍石為祝,1
374,劍石為祝殤,1
375,石為祝殤辭,1
376,為祝殤辭登,1
377,祝殤辭登天,1
378,殤辭登天壇,1
379,辭登天壇夜,1
380,登天壇夜見,1
381,天壇夜見海,1
382,壇夜見海大,1
383,夜見海大禮,1
384,見海大禮畢,1
385,海大禮畢皇,1
386,大禮畢皇帝,1
387,禮畢皇帝禦,1
388,畢皇帝禦丹,1
389,皇帝禦丹鳳,1
390,帝禦丹鳳門,1
391,禦丹鳳門改,1
392,丹鳳門改元,1
393,鳳門改元建,1
394,門改元建中,1
395,改元建中大,1
396,元建中大赦,1
397,建中大赦輕,1
398,中大赦輕薄,1
399,大赦輕薄篇,1
400,赦輕薄篇野,1
401,輕薄篇野田,1
402,薄篇野田行,1
403,篇野田行古,1
404,野田行古別,1
405,田行古別離,1
406,行古別離效,1
407,古別離效古,1
408,別離效古促,1
409,離效古促促,1
410,效古促促曲,1
411,古促促曲為,1
412,促促曲為河,1
413,促曲為河上,1
414,曲為河上思,1
415,為河上思婦,1
416,河上思婦作,1
417,上思婦作漢,1
418,思婦作漢宮,1
419,婦作漢宮少,1
420,作漢宮少年,1
421,宮少年行賦,1
422,少年行賦得,1
423,年行賦得垣,1
424,行賦得垣衣,1
425,賦得垣衣送,1
426,得垣衣送人,1
427,垣衣送人流,1
428,衣送人流貶,1
429,送人流貶送,1
430,人流貶送人,1
431,流貶送人南,1
432,貶送人南歸,1
433,送人南歸水,1
434,人南歸水亭,1
435,南歸水亭夜,1
436,歸水亭夜坐,1
437,水亭夜坐賦,1
438,亭夜坐賦得,1
439,夜坐賦得曉,1
440,坐賦得曉霧,1
441,賦得曉霧送,1
442,得曉霧送常,1
443,曉霧送常曾,1
444,霧送常曾侍,1
445,送常曾侍禦,1
446,常曾侍禦使,1
447,曾侍禦使西,1
448,侍禦使西蕃,1
449,禦使西蕃寄,1
450,使西蕃寄題,1
451,西蕃寄題西,1
452,蕃寄題西川,1
453,寄題西川入,1
454,題西川入南,1
455,西川入南山,1
456,川入南山至,1
457,入南山至全,1
458,南山至全師,1
459,山至全師蘭,1
460,至全師蘭若,1
461,全師蘭若送,1
462,師蘭若送韓,1
463,蘭若送韓將,1
464,若送韓將軍,1
465,送韓將軍還,1
466,韓將軍還邊,1
467,將軍還邊晚,1
468,軍還邊晚春,1
469,還邊晚春臥,1
470,邊晚春臥病,1
471,晚春臥病喜,1
472,春臥病喜振,1
473,臥病喜振上,1
474,病喜振上人,1
475,喜振上人見,1
476,振上人見訪,1
477,上人見訪春,1
478,人見訪春行,1
479,見訪春行洛,1
480,訪春行洛陽,1
481,春行洛陽河,1
482,行洛陽河亭,1
483,洛陽河亭奉,1
484,陽河亭奉酬,1
485,河亭奉酬留,1
486,亭奉酬留守,1
487,奉酬留守群,1
488,酬留守群公,1
489,留守群公追,1
490,守群公追送,1
491,群公追送尋,1
492,公追送尋紀,1
493,追送尋紀道,1
494,送尋紀道士,1
495,尋紀道士偶,1
496,紀道士偶會,1
497,道士偶會諸,1
498,士偶會諸叟,1
499,偶會諸叟同,1
500,會諸叟同蕭,1
501,諸叟同蕭煉,1
502,叟同蕭煉師,1
503,同蕭煉師宿,1
504,蕭煉師宿太,1
505,煉師宿太乙,1
506,師宿太乙廟,1
507,宿太乙廟送,1
508,太乙廟送同,1
509,乙廟送同落,1
510,廟送同落第,1
511,送同落第者,1
512,同落第者東,1
513,落第者東歸,1
514,第者東歸送,1
515,者東歸送柳,1
516,東歸送柳判,1
517,歸送柳判官,1
518,送柳判官赴,1
519,柳判官赴振,1
520,判官赴振武,1
521,官赴振武述,1
522,赴振武述懷,1
523,振武述懷寄,1
524,武述懷寄衡,1
525,述懷寄衡州,1
526,懷寄衡州令,1
527,寄衡州令狐,1
528,衡州令狐相,1
529,州令狐相公,1
530,令狐相公喜,1
531,狐相公喜入,1
532,相公喜入蘭,1
533,公喜入蘭陵,1
534,喜入蘭陵望,1
535,入蘭陵望紫,1
536,蘭陵望紫閣,1
537,陵望紫閣峰,1
538,望紫閣峰呈,1
539,紫閣峰呈宣,1
540,閣峰呈宣上,1
541,峰呈宣上人,1
542,呈宣上人喜,1
543,宣上人喜見,1
544,上人喜見外,1
545,人喜見外弟,1
546,喜見外弟又,1
547,見外弟又言,1
548,外弟又言別,1
549,弟又言別立,1
550,又言別立春,1
551,言別立春日,1
552,別立春日寧,1
553,立春日寧州,1
554,春日寧州行,1
555,日寧州行營,1
556,寧州行營因,1
557,州行營因賦,1
558,行營因賦朔,1
559,營因賦朔風,1
560,因賦朔風吹,1
561,賦朔風吹飛,1
