排名,詞彙,出現次數
1,高三十五書,3
2,三十五書記,3
3,寄高三十五,3
4,高三十五使,3
5,三十五使君,3
6,前出塞九首,2
7,後出塞五首,2
8,首雜曲歌辭,2
9,得舍弟消息,2
10,遣興五首遣,2
11,興五首遣興,2
12,五首遣興五,2
13,首遣興五首,2
14,呈元二十一,2
15,元二十一曹,2
16,二十一曹長,2
17,上後園山腳,2
18,貶台州司戶,2
19,苦寒行二首,2
20,二首得舍弟,2
21,巴西驛亭觀,2
22,西驛亭觀江,2
23,驛亭觀江漲,2
24,亭觀江漲呈,2
25,觀江漲呈竇,2
26,江漲呈竇使,2
27,漲呈竇使君,2
28,九日登梓州,2
29,日登梓州城,2
30,寄上漢中王,2
31,滕王亭子玉,2
32,王亭子玉台,2
33,亭子玉台觀,2
34,題四韻奉簡,2
35,奉漢中王手,2
36,漢中王手劄,2
37,崔十三評事,2
38,二首舍弟觀,2
39,孟十二倉曹,2
40,江陵節度陽,2
41,陵節度陽城,2
42,節度陽城郡,2
43,度陽城郡王,2
44,橫吹曲辭前,1
45,吹曲辭前出,1
46,曲辭前出塞,1
47,辭前出塞九,1
48,出塞九首橫,1
49,塞九首橫吹,1
50,九首橫吹曲,1
51,首橫吹曲辭,1
52,橫吹曲辭後,1
53,吹曲辭後出,1
54,曲辭後出塞,1
55,辭後出塞五,1
56,出塞五首雜,1
57,塞五首雜曲,1
58,五首雜曲歌,1
59,雜曲歌辭少,1
60,曲歌辭少年,1
61,歌辭少年行,1
62,辭少年行三,1
63,少年行三首,1
64,年行三首雜,1
65,行三首雜曲,1
66,三首雜曲歌,1
67,雜曲歌辭麗,1
68,曲歌辭麗人,1
69,歌辭麗人行,1
70,辭麗人行雜,1
71,麗人行雜歌,1
72,人行雜歌謠,1
73,行雜歌謠辭,1
74,雜歌謠辭大,1
75,歌謠辭大麥,1
76,謠辭大麥行,1
77,辭大麥行送,1
78,大麥行送高,1
79,麥行送高三,1
80,行送高三十,1
81,送高三十五,1
82,十五書記贈,1
83,五書記贈李,1
84,書記贈李白,1
85,記贈李白游,1
86,贈李白游龍,1
87,李白游龍門,1
88,白游龍門奉,1
89,游龍門奉先,1
90,龍門奉先寺,1
91,門奉先寺望,1
92,奉先寺望岳,1
93,先寺望岳陪,1
94,寺望岳陪李,1
95,望岳陪李北,1
96,岳陪李北海,1
97,陪李北海宴,1
98,李北海宴曆,1
99,北海宴曆下,1
100,海宴曆下亭,1
