排名,詞彙,出現次數
1,郡齋有紫薇雙,1
2,齋有紫薇雙本,1
3,有紫薇雙本自,1
4,紫薇雙本自朱,1
5,薇雙本自朱明,1
6,雙本自朱明接,1
7,本自朱明接于,1
8,自朱明接于徂,1
9,朱明接于徂暑,1
10,明接于徂暑其,1
11,接于徂暑其花,1
12,于徂暑其花芳,1
13,徂暑其花芳馥,1
14,暑其花芳馥數,1
15,其花芳馥數旬,1
16,花芳馥數旬猶,1
17,芳馥數旬猶茂,1
18,馥數旬猶茂庭,1
19,數旬猶茂庭宇,1
20,旬猶茂庭宇之,1
21,猶茂庭宇之內,1
22,茂庭宇之內迥,1
23,庭宇之內迥無,1
24,宇之內迥無其,1
25,之內迥無其倫,1
26,內迥無其倫予,1
27,迥無其倫予嘉,1
28,無其倫予嘉其,1
29,其倫予嘉其美,1
30,倫予嘉其美而,1
31,予嘉其美而能,1
32,嘉其美而能久,1
33,其美而能久因,1
34,美而能久因詩,1
35,而能久因詩紀,1
36,能久因詩紀述,1
37,久因詩紀述贈,1
38,因詩紀述贈毛,1
39,詩紀述贈毛仙,1
40,紀述贈毛仙翁,1
