排名,詞彙,出現次數
1,送,68
2,山,37
3,川,30
4,歌,28
5,輞,28
6,首,25
7,人,25
8,贈,24
9,和,23
10,作,23
11,過,23
12,集,23
13,制,22
14,別,22
15,歸,21
16,上,21
17,州,20
18,三,18
19,弟,18
20,五,17
21,行,15
22,奉,15
23,應,15
24,春,15
25,居,15
26,太,15
27,事,15
28,聖,14
29,南,14
30,外,14
31,崔,14
32,寺,14
33,中,14
34,四,13
35,田,13
36,裴,13
37,二,13
38,日,13
39,之,13
40,題,13
41,員,12
42,李,12
43,十,12
44,迪,12
45,相,11
46,雜,11
47,張,11
48,曲,10
49,神,10
50,與,10
51,園,10
52,公,10
53,士,10
54,韋,10
55,守,10
56,陽,10
57,酬,10
58,赴,10
59,書,10
60,東,10
61,辭,9
62,從,9
63,西,9
64,同,9
65,詩,9
66,興,9
67,夜,9
68,即,9
69,河,9
70,秋,9
71,郎,9
72,城,9
73,官,9
74,雲,9
75,業,9
76,見,9
77,師,9
78,少,8
79,望,8
80,不,8
81,詠,8
82,江,8
83,溪,8
84,家,8
85,池,8
86,賢,7
87,早,7
88,戲,7
89,寄,7
90,舍,7
91,六,7
92,青,7
93,馬,7
94,子,7
95,登,6
96,觀,6
97,朝,6
98,藍,6
99,盧,6
100,氏,6
101,示,6
102,至,6
103,宗,6
104,使,6
105,還,6
106,游,6
107,韻,6
108,留,6
109,遊,6
110,故,6
111,挽,6
112,楊,6
113,宴,6
114,秀,6
115,才,6
116,九,6
117,皇,6
118,嶽,6
119,女,5
120,樓,5
121,臨,5
122,亭,5
123,兼,5
124,祖,5
125,竹,5
126,府,5
127,遺,5
128,因,5
129,林,5
130,憶,5
131,郡,5
132,大,5
133,夫,5
134,龍,5
135,新,5
136,宿,5
137,濟,5
138,哭,5
139,王,5
140,諸,5
141,月,5
142,甫,5
143,軍,4
144,祠,4
145,花,4
146,等,4
147,樂,4
148,司,4
149,黎,4
150,思,4
151,文,4
152,兄,4
153,拾,4
154,給,4
155,石,4
156,有,4
157,侍,4
158,往,4
159,道,4
160,黃,4
161,禪,4
162,然,4
163,白,4
164,遇,4
165,長,4
166,終,4
167,岐,4
168,尹,4
169,史,4
170,嚴,4
171,丘,4
172,為,4
173,方,4
174,蘭,4
175,雨,4
176,宮,4
177,口,4
178,出,3
179,塞,3
180,隴,3
181,宰,3
182,臣,3
183,明,3
184,賦,3
185,安,3
186,詞,3
187,慕,3
188,容,3
189,錢,3
190,諲,3
191,胡,3
192,懷,3
193,君,3
194,綦,3
195,毋,3
196,縉,3
197,淮,3
198,溫,3
199,冬,3
200,果,3
201,門,3
202,重,3
203,處,3
204,宅,3
205,僧,3
206,以,3
207,裏,3
208,鄭,3
209,清,3
210,涼,3
211,成,3
212,寓,3
213,便,3
214,答,3
215,梵,3
216,部,3
217,賜,3
218,徐,3
219,友,3
220,教,3
221,直,3
222,丞,3
223,晚,3
224,館,3
225,蘇,3
226,賀,3
227,判,3
228,蜀,3
229,孟,3
230,若,3
231,感,3
232,嵩,3
233,主,3
234,光,3
235,一,3
236,玉,3
237,真,3
238,沈,3
239,百,3
240,號,3
241,班,2
242,婕,2
243,妤,2
244,漁,2
245,迎,2
246,苦,2
247,熱,2
248,年,2
249,桂,2
250,蒙,2
251,都,2
252,卿,2
253,始,2
254,薛,2
255,璩,2
256,劉,2
257,房,2
258,病,2
259,皆,2
260,學,2
261,丁,2
262,獨,2
263,坐,2
264,任,2
265,陸,2
266,宇,2
267,宣,2
268,秘,2
269,齊,2
270,高,2
271,潛,2
272,落,2
273,第,2
274,者,2
275,聲,2
276,華,2
277,岳,2
278,休,2
279,及,2
280,是,2
281,聞,2
282,季,2
283,前,2
284,渭,2
285,楫,2
286,飯,2
287,謁,2
