排名,詞彙,出現次數
1,奉和九月九日登,1
2,和九月九日登慈,1
3,九月九日登慈恩,1
4,月九日登慈恩寺,1
5,九日登慈恩寺浮,1
6,日登慈恩寺浮圖,1
7,登慈恩寺浮圖應,1
8,慈恩寺浮圖應制,1
9,恩寺浮圖應制宋,1
10,寺浮圖應制宋主,1
11,浮圖應制宋主簿,1
12,圖應制宋主簿鳴,1
13,應制宋主簿鳴皋,1
14,制宋主簿鳴皋夢,1
15,宋主簿鳴皋夢趙,1
16,主簿鳴皋夢趙六,1
17,簿鳴皋夢趙六予,1
18,鳴皋夢趙六予未,1
19,皋夢趙六予未及,1
20,夢趙六予未及報,1
21,趙六予未及報而,1
22,六予未及報而陳,1
23,予未及報而陳子,1
24,未及報而陳子雲,1
25,及報而陳子雲亡,1
26,報而陳子雲亡今,1
27,而陳子雲亡今追,1
28,陳子雲亡今追為,1
29,子雲亡今追為此,1
30,雲亡今追為此詩,1
31,亡今追為此詩荅,1
32,今追為此詩荅宋,1
33,追為此詩荅宋兼,1
34,為此詩荅宋兼貽,1
35,此詩荅宋兼貽平,1
36,詩荅宋兼貽平昔,1
37,荅宋兼貽平昔遊,1
38,宋兼貽平昔遊舊,1
39,兼貽平昔遊舊餞,1
40,貽平昔遊舊餞唐,1
41,平昔遊舊餞唐州,1
42,昔遊舊餞唐州高,1
43,遊舊餞唐州高使,1
44,舊餞唐州高使君,1
45,餞唐州高使君赴,1
46,唐州高使君赴任,1
47,州高使君赴任餞,1
48,高使君赴任餞許,1
49,使君赴任餞許州,1
50,君赴任餞許州宋,1
51,赴任餞許州宋司,1
52,任餞許州宋司馬,1
53,餞許州宋司馬赴,1
54,許州宋司馬赴任,1
55,州宋司馬赴任奉,1
56,宋司馬赴任奉和,1
57,司馬赴任奉和立,1
58,馬赴任奉和立春,1
59,赴任奉和立春遊,1
60,任奉和立春遊苑,1
61,奉和立春遊苑迎,1
62,和立春遊苑迎春,1
63,立春遊苑迎春應,1
64,春遊苑迎春應制,1
65,遊苑迎春應制奉,1
66,苑迎春應制奉和,1
67,迎春應制奉和幸,1
68,春應制奉和幸安,1
69,應制奉和幸安樂,1
70,制奉和幸安樂公,1
71,奉和幸安樂公主,1
72,和幸安樂公主山,1
73,幸安樂公主山莊,1
74,安樂公主山莊應,1
75,樂公主山莊應制,1
76,公主山莊應制夜,1
77,主山莊應制夜宴,1
78,山莊應制夜宴安,1
79,莊應制夜宴安樂,1
80,應制夜宴安樂公,1
81,制夜宴安樂公主,1
82,夜宴安樂公主宅,1
