排名,詞彙,出現次數
1,雪中遇直東山,1
2,中遇直東山月,1
3,遇直東山月下,1
4,直東山月下懷,1
5,東山月下懷友,1
6,山月下懷友人,1
7,月下懷友人時,1
8,下懷友人時興,1
9,懷友人時興題,1
10,友人時興題劍,1
11,人時興題劍黔,1
12,時興題劍黔中,1
13,興題劍黔中書,1
14,題劍黔中書事,1
15,劍黔中書事冬,1
16,黔中書事冬日,1
17,中書事冬日曉,1
18,書事冬日曉思,1
19,事冬日曉思寄,1
20,冬日曉思寄楊,1
21,日曉思寄楊二,1
22,曉思寄楊二十,1
23,思寄楊二十七,1
24,寄楊二十七煉,1
25,楊二十七煉師,1
26,二十七煉師貞,1
27,十七煉師貞元,1
28,七煉師貞元末,1
29,煉師貞元末東,1
30,師貞元末東院,1
31,貞元末東院嘗,1
32,元末東院嘗接,1
33,末東院嘗接事,1
34,東院嘗接事今,1
35,院嘗接事今西,1
36,嘗接事今西川,1
37,接事今西川武,1
38,事今西川武相,1
39,今西川武相公,1
40,西川武相公于,1
41,川武相公于茲,1
42,武相公于茲三,1
43,相公于茲三周,1
44,公于茲三周謬,1
45,于茲三周謬領,1
46,茲三周謬領中,1
47,三周謬領中憲,1
48,周謬領中憲徘,1
49,謬領中憲徘徊,1
50,領中憲徘徊廳,1
51,中憲徘徊廳宇,1
52,憲徘徊廳宇多,1
53,徘徊廳宇多獲,1
54,徊廳宇多獲文,1
55,廳宇多獲文篇,1
56,宇多獲文篇夏,1
57,多獲文篇夏日,1
58,獲文篇夏日即,1
59,文篇夏日即事,1
60,篇夏日即事因,1
61,夏日即事因寄,1
62,日即事因寄四,1
63,即事因寄四韻,1
64,事因寄四韻北,1
65,因寄四韻北地,1
66,寄四韻北地雨,1
67,四韻北地雨後,1
68,韻北地雨後月,1
69,北地雨後月下,1
70,地雨後月下寄,1
71,雨後月下寄懷,1
72,後月下寄懷羊,1
73,月下寄懷羊二,1
74,下寄懷羊二十,1
75,寄懷羊二十七,1
76,懷羊二十七資,1
77,羊二十七資州,1
78,二十七資州奉,1
79,十七資州奉酬,1
80,七資州奉酬西,1
81,資州奉酬西川,1
82,州奉酬西川武,1
83,奉酬西川武相,1
84,酬西川武相公,1
85,西川武相公晨,1
86,川武相公晨興,1
87,武相公晨興贈,1
88,相公晨興贈友,1
89,公晨興贈友見,1
90,晨興贈友見示,1
91,興贈友見示之,1
92,贈友見示之作,1
93,友見示之作晨,1
94,見示之作晨游,1
95,示之作晨游昌,1
96,之作晨游昌師,1
97,作晨游昌師院,1
98,晨游昌師院同,1
99,游昌師院同王,1
100,昌師院同王晦,1
101,師院同王晦伯,1
102,院同王晦伯朱,1
103,同王晦伯朱遐,1
104,王晦伯朱遐景,1
105,晦伯朱遐景宿,1
106,伯朱遐景宿慧,1
107,朱遐景宿慧山,1
108,遐景宿慧山寺,1
109,景宿慧山寺草,1
110,宿慧山寺草堂,1
111,慧山寺草堂夜,1
112,山寺草堂夜坐,1
113,寺草堂夜坐經,1
114,草堂夜坐經潼,1
115,堂夜坐經潼關,1
116,夜坐經潼關贈,1
117,坐經潼關贈宇,1
118,經潼關贈宇文,1
119,潼關贈宇文十,1
120,關贈宇文十觀,1
121,贈宇文十觀畫,1
122,宇文十觀畫鶴,1
123,文十觀畫鶴晚,1
124,十觀畫鶴晚自,1
125,觀畫鶴晚自台,1
126,畫鶴晚自台中,1
127,鶴晚自台中歸,1
128,晚自台中歸永,1
129,自台中歸永甯,1
130,台中歸永甯裏,1
131,中歸永甯裏南,1
132,歸永甯裏南望,1
133,永甯裏南望山,1
134,甯裏南望山色,1
135,裏南望山色悵,1
136,南望山色悵然,1
137,望山色悵然有,1
138,山色悵然有懷,1
139,色悵然有懷呈,1
140,悵然有懷呈上,1
141,然有懷呈上右,1
142,有懷呈上右司,1
143,懷呈上右司十,1
144,呈上右司十一,1
145,上右司十一兄,1
146,右司十一兄中,1
147,司十一兄中牟,1
148,十一兄中牟縣,1
149,一兄中牟縣經,1
150,兄中牟縣經魯,1
151,中牟縣經魯公,1
152,牟縣經魯公廟,1
153,縣經魯公廟初,1
154,經魯公廟初入,1
155,魯公廟初入諫,1
156,公廟初入諫司,1
157,廟初入諫司喜,1
158,初入諫司喜家,1
159,入諫司喜家室,1
160,諫司喜家室至,1
161,司喜家室至春,1
162,喜家室至春雨,1
163,家室至春雨送,1
164,室至春雨送內,1
165,至春雨送內弟,1
166,春雨送內弟袁,1
167,雨送內弟袁德,1
168,送內弟袁德師,1
169,內弟袁德師贈,1
170,弟袁德師贈劉,1
171,袁德師贈劉大,1
172,德師贈劉大兄,1
173,師贈劉大兄院,1
174,贈劉大兄院長,1
175,劉大兄院長假,1
176,大兄院長假日,1
177,兄院長假日尋,1
178,院長假日尋花,1
179,長假日尋花自,1
180,假日尋花自京,1
181,日尋花自京將,1
182,尋花自京將赴,1
183,花自京將赴黔,1
184,自京將赴黔南,1
