排名,詞彙,出現次數
1,雜曲歌,6
2,曲歌辭,6
3,相和歌,4
4,和歌辭,4
5,長安道,2
6,行相和,2
7,胡無人,2
8,無人行,2
9,烏夜啼,2
10,空城雀,2
11,行路難,2
12,古別離,2
13,飲酒樂,2
14,大垂手,2
15,橫吹曲,1
16,吹曲辭,1
17,曲辭長,1
18,辭長安,1
19,安道相,1
20,道相和,1
21,歌辭短,1
22,辭短歌,1
23,短歌行,1
24,歌行相,1
25,歌辭胡,1
26,辭胡無,1
27,人行相,1
28,歌辭雜,1
29,辭雜怨,1
30,雜怨三,1
31,怨三首,1
32,三首相,1
33,首相和,1
34,歌辭烏,1
35,辭烏夜,1
36,夜啼雜,1
37,啼雜曲,1
38,歌辭空,1
39,辭空城,1
40,城雀雜,1
41,雀雜曲,1
42,歌辭行,1
43,辭行路,1
44,路難雜,1
45,難雜曲,1
46,歌辭古,1
47,辭古別,1
48,別離雜,1
49,離雜曲,1
50,歌辭飲,1
51,辭飲酒,1
52,酒樂雜,1
53,樂雜曲,1
54,歌辭起,1
55,辭起夜,1
56,起夜半,1
57,夜半雜,1
58,半雜曲,1
59,歌辭大,1
60,辭大垂,1
61,垂手雜,1
62,手雜怨,1
63,雜怨行,1
64,怨行路,1
65,路難大,1
66,難大垂,1
67,垂手空,1
68,手空城,1
69,城雀胡,1
70,雀胡無,1
71,人行詠,1
72,行詠田,1
73,詠田家,1
74,田家燕,1
75,家燕台,1
76,燕台二,1
77,台二首,1
78,二首古,1
79,首古興,1
80,古興勸,1
81,興勸酒,1
82,勸酒二,1
83,酒二首,1
84,二首飲,1
85,首飲酒,1
86,酒樂公,1
87,樂公子,1
88,公子行,1
89,子行二,1
90,行二首,1
91,二首短,1
92,首短歌,1
93,短歌過,1
94,歌過比,1
95,過比干,1
96,比干墓,1
97,干墓住,1
98,墓住京,1
99,住京寄,1
100,京寄同,1
101,寄同志,1
102,同志贈,1
103,志贈農,1
104,贈農客,1
105,農客有,1
106,客有追,1
107,有追歎,1
108,追歎後,1
109,歎後時,1
110,後時者,1
111,時者作,1
112,者作詩,1
113,作詩勉,1
114,詩勉之,1
115,勉之訪,1
116,之訪嵩,1
117,訪嵩陽,1
118,嵩陽道,1
119,陽道士,1
120,道士不,1
121,士不遇,1
122,不遇早,1
123,遇早發,1
124,早發鄴,1
125,發鄴北,1
126,鄴北經,1
127,北經古,1
128,經古城,1
129,古城題,1
130,城題賈,1
131,題賈氏,1
132,賈氏林,1
133,氏林泉,1
134,林泉送,1
135,泉送友,1
136,送友人,1
137,友人歸,1
138,人歸江,1
139,歸江南,1
140,江南秋,1
141,南秋夕,1
142,秋夕哭,1
143,夕哭劉,1
144,哭劉駕,1
145,劉駕博,1
146,駕博士,1
147,博士公,1
148,士公子,1
149,公子家,1
150,子家田,1
151,家田家,1
152,田家二,1
153,家二首,1
154,二首雜,1
155,首雜怨,1
156,雜怨烏,1
157,怨烏夜,1
158,夜啼起,1
159,啼起夜,1
160,起夜來,1
161,夜來古,1
162,來古別,1
163,別離長,1
164,離長安,1
165,安道遊,1
166,道遊子,1
167,遊子行,1
168,子行聞,1
169,行聞人,1
170,聞人說,1
171,人說海,1
172,說海北,1
173,海北事,1
174,北事有,1
175,事有感,1
