排名,詞彙,出現次數
1,詠,152
2,史,152
3,詩,152
4,山,14
5,城,9
6,陽,9
7,台,8
8,陵,8
9,宮,7
10,門,6
11,水,6
12,沙,5
13,金,5
14,谷,5
15,曲,4
16,歌,4
17,遙,4
18,不,4
19,河,4
20,下,4
21,江,4
22,長,4
23,橋,4
24,東,4
25,關,4
26,武,4
27,池,4
28,雜,3
29,辭,3
30,中,3
31,漢,3
32,平,3
33,西,3
34,亭,3
35,妾,2
36,薄,2
37,命,2
38,車,2
39,獨,2
40,見,2
41,都,2
42,作,2
43,驛,2
44,贈,2
45,嶺,2
46,周,2
47,廟,2
48,華,2
49,細,2
50,延,2
51,園,2
52,川,2
53,夷,2
54,黃,2
55,五,2
56,銅,2
57,吳,2
58,縣,2
59,溪,2
60,青,2
61,塚,2
62,豫,2
63,牛,2
64,望,2
65,庭,2
66,津,2
67,高,2
68,陂,2
69,澤,2
70,鴻,2
71,房,2
72,云,2
73,丘,2
74,昆,2
75,寒,1
76,食,1
77,交,1
78,塞,1
79,早,1
80,發,1
81,潛,1
82,謁,1
83,郎,1
84,員,1
85,外,1
86,漁,1
87,者,1
88,自,1
89,泛,1
90,鷁,1
91,到,1
92,清,1
93,遠,1
94,峽,1
95,題,1
96,瑜,1
97,將,1
98,軍,1
99,烏,1
100,章,1
101,腰,1
102,苑,1
103,石,1
104,荊,1
105,臺,1
106,居,1
107,沛,1
108,湘,1
109,蒼,1
110,梧,1
111,陳,1
112,南,1
113,即,1
114,墨,1
115,渭,1
116,濱,1
117,湖,1
118,易,1
119,圯,1
120,雀,1
121,晉,1
122,函,1
123,垓,1
124,郴,1
125,海,1
126,故,1
127,宜,1
128,成,1
129,檀,1
130,李,1
131,梁,1
132,軹,1
133,道,1
134,讓,1
135,殺,1
136,子,1
137,馬,1
138,玉,1
139,滹,1
140,沱,1
141,鳳,1
142,凰,1
143,丈,1
144,原,1
145,汴,1
146,蘭,1
147,思,1
148,邯,1
149,鄲,1
150,箕,1
151,會,1
152,稽,1
153,虞,1
154,阪,1
155,秦,1
156,瑤,1
157,柱,1
158,瀘,1
159,柳,1
160,營,1
161,葉,1
162,杜,1
163,郵,1
164,柯,1
165,葛,1
166,博,1
167,浪,1
168,隴,1
169,白,1
170,帝,1
171,渚,1
172,朝,1
173,口,1
174,大,1
175,澠,1
176,峴,1
177,滎,1
178,赤,1
179,壁,1
180,田,1
181,橫,1
182,墓,1
183,姑,1
184,蘇,1
185,息,1
186,上,1
187,蔡,1
188,昌,1
189,溝,1
190,褒,1
191,洛,1
192,番,1
193,禺,1
194,汨,1
195,羅,1
196,彭,1
197,涿,1
198,鹿,1
199,洞,1
200,嶓,1
201,塗,1
202,商,1
203,郊,1
204,傅,1
205,岩,1
206,鉅,1
207,首,1
208,孟,1
209,流,1
210,鄧,1
211,召,1
212,綿,1
213,魯,1
214,驌,1
215,驦,1
216,夾,1
217,摩,1
218,笄,1
219,濮,1
220,柏,1
221,舉,1
222,夫,1
223,義,1
224,阿,1
225,咸,1
226,廢,1
227,廣,1
228,安,1
229,泜,1
230,雲,1
231,夢,1
232,四,1
233,皓,1
234,霸,1
235,明,1
236,回,1
237,射,1
238,熊,1
239,館,1
240,七,1
241,裏,1
242,灘,1
243,潁,1
244,夏,1
245,官,1
246,渡,1
247,灞,1
248,岸,1
249,濡,1
250,須,1
251,州,1
252,八,1
253,公,1
254,第,1
255,薛,1
256,濤,1
257,戲,1
258,妻,1
259,族,1
260,語,1
261,正,1
