排名,詞彙,出現次數
1,應制陪,2
2,寺應制,2
3,奉和九,1
4,和九月,1
5,九月九,1
6,月九日,1
7,九日登,1
8,日登慈,1
9,登慈恩,1
10,慈恩寺,1
11,恩寺浮,1
12,寺浮圖,1
13,浮圖應,1
14,圖應制,1
15,應制奉,1
16,制奉和,1
17,奉和幸,1
18,和幸安,1
19,幸安樂,1
20,安樂公,1
21,樂公主,1
22,公主山,1
23,主山莊,1
24,山莊應,1
25,莊應制,1
26,應制送,1
27,制送張,1
28,送張亶,1
29,張亶赴,1
30,亶赴朔,1
31,赴朔方,1
32,朔方應,1
33,方應制,1
34,制陪幸,1
35,陪幸長,1
36,幸長寧,1
37,長寧公,1
38,寧公主,1
39,公主林,1
40,主林亭,1
41,林亭陪,1
42,亭陪幸,1
43,陪幸五,1
44,幸五王,1
45,五王宅,1
46,王宅三,1
47,宅三會,1
48,三會寺,1
49,會寺應,1
50,應制薦,1
51,制薦福,1
52,薦福寺,1
53,福寺應,1
54,制陪游,1
55,陪游上,1
56,游上苑,1
57,上苑遇,1
58,苑遇雪,1
