排名,詞彙,出現次數
1,輞川集二,20
2,川集二十,20
3,集二十首,20
4,館輞川集,2
5,柴輞川集,2
6,垞輞川集,2
7,青龍寺曇,1
8,龍寺曇壁,1
9,寺曇壁上,1
10,曇壁上人,1
11,壁上人院,1
12,上人院集,1
13,人院集青,1
14,院集青雀,1
15,集青雀歌,1
16,青雀歌遊,1
17,雀歌遊感,1
18,歌遊感化,1
19,遊感化寺,1
20,感化寺曇,1
21,化寺曇興,1
22,寺曇興上,1
23,曇興上人,1
24,興上人山,1
25,上人山院,1
26,人山院夏,1
27,山院夏日,1
28,院夏日過,1
29,夏日過青,1
30,日過青龍,1
31,過青龍寺,1
32,青龍寺謁,1
33,龍寺謁操,1
34,寺謁操禪,1
35,謁操禪師,1
36,操禪師春,1
37,禪師春日,1
38,師春日與,1
39,春日與王,1
40,日與王右,1
41,與王右丞,1
42,王右丞過,1
43,右丞過新,1
44,丞過新昌,1
45,過新昌裏,1
46,新昌裏訪,1
47,昌裏訪呂,1
48,裏訪呂逸,1
49,訪呂逸人,1
50,呂逸人不,1
51,逸人不遇,1
52,人不遇輞,1
53,不遇輞川,1
54,遇輞川集,1
55,二十首孟,1
56,十首孟城,1
57,首孟城坳,1
58,孟城坳輞,1
59,城坳輞川,1
60,坳輞川集,1
61,二十首華,1
62,十首華子,1
63,首華子岡,1
64,華子岡輞,1
65,子岡輞川,1
66,岡輞川集,1
67,二十首文,1
68,十首文杏,1
69,首文杏館,1
70,文杏館輞,1
71,杏館輞川,1
72,二十首斤,1
73,十首斤竹,1
74,首斤竹嶺,1
75,斤竹嶺輞,1
76,竹嶺輞川,1
77,嶺輞川集,1
78,二十首鹿,1
79,十首鹿柴,1
80,首鹿柴輞,1
81,鹿柴輞川,1
82,二十首木,1
83,十首木蘭,1
84,首木蘭柴,1
85,木蘭柴輞,1
86,蘭柴輞川,1
87,二十首茱,1
88,十首茱萸,1
89,首茱萸沜,1
90,茱萸沜輞,1
91,萸沜輞川,1
92,沜輞川集,1
93,二十首宮,1
94,十首宮槐,1
95,首宮槐陌,1
96,宮槐陌輞,1
97,槐陌輞川,1
98,陌輞川集,1
99,二十首臨,1
100,十首臨湖,1
101,首臨湖亭,1
102,臨湖亭輞,1
103,湖亭輞川,1
104,亭輞川集,1
105,二十首南,1
106,十首南垞,1
107,首南垞輞,1
108,南垞輞川,1
109,二十首欹,1
110,十首欹湖,1
111,首欹湖輞,1
112,欹湖輞川,1
113,湖輞川集,1
114,二十首柳,1
115,十首柳浪,1
116,首柳浪輞,1
117,柳浪輞川,1
118,浪輞川集,1
119,二十首欒,1
120,十首欒家,1
121,首欒家瀨,1
122,欒家瀨輞,1
123,家瀨輞川,1
124,瀨輞川集,1
125,二十首金,1
126,十首金屑,1
127,首金屑泉,1
128,金屑泉輞,1
129,屑泉輞川,1
130,泉輞川集,1
131,二十首白,1
132,十首白石,1
133,首白石灘,1
134,白石灘輞,1
135,石灘輞川,1
136,灘輞川集,1
137,二十首北,1
138,十首北垞,1
139,首北垞輞,1
140,北垞輞川,1
141,二十首竹,1
142,十首竹裏,1
143,首竹裏館,1
144,竹裏館輞,1
145,裏館輞川,1
146,二十首辛,1
147,十首辛夷,1
148,首辛夷塢,1
149,辛夷塢輞,1
150,夷塢輞川,1
151,塢輞川集,1
152,二十首漆,1
153,十首漆園,1
154,首漆園輞,1
155,漆園輞川,1
156,園輞川集,1
157,二十首椒,1
158,十首椒園,1
159,首椒園輞,1
160,椒園輞口,1
161,園輞口遇,1
162,輞口遇雨,1
163,口遇雨憶,1
164,遇雨憶終,1
165,雨憶終南,1
166,憶終南山,1
167,終南山因,1
168,南山因獻,1
169,山因獻王,1
170,因獻王維,1
171,獻王維崔,1
172,王維崔九,1
173,維崔九欲,1
174,崔九欲往,1
175,九欲往南,1
176,欲往南山,1
177,往南山馬,1
178,南山馬上,1
179,山馬上口,1
180,馬上口號,1
181,上口號與,1
182,口號與別,1
183,號與別與,1
184,與別與盧,1
185,別與盧員,1
186,與盧員外,1
187,盧員外象,1
188,員外象過,1
189,外象過崔,1
190,象過崔處,1
191,過崔處士,1
192,崔處士興,1
193,處士興宗,1
194,士興宗林,1
195,興宗林亭,1
196,宗林亭西,1
197,林亭西塔,1
198,亭西塔寺,1
199,西塔寺陸,1
200,塔寺陸羽,1
201,寺陸羽茶,1
202,陸羽茶泉,1
