排名,詞彙,出現次數
1,相和歌,2
2,和歌辭,2
3,銅雀台,2
4,燕歌行,2
5,送李侍,2
6,長沙送,2
7,沙送夏,2
8,送夏侯,2
9,王員外,2
10,岳陽樓,2
11,員外貶,2
12,外貶長,2
13,貶長沙,2
14,李十二,2
15,別王八,2
16,王八員,2
17,八員外,2
18,南給事,2
19,歌辭銅,1
20,辭銅雀,1
21,雀台相,1
22,台相和,1
23,歌辭燕,1
24,辭燕歌,1
25,歌行贈,1
26,行贈裴,1
27,贈裴九,1
28,裴九侍,1
29,九侍禦,1
30,侍禦昌,1
31,禦昌江,1
32,昌江草,1
33,江草堂,1
34,草堂彈,1
35,堂彈琴,1
36,彈琴巴,1
37,琴巴陵,1
38,巴陵早,1
39,陵早秋,1
40,早秋寄,1
41,秋寄荊,1
42,寄荊州,1
43,荊州崔,1
44,州崔司,1
45,崔司馬,1
46,司馬吏,1
47,馬吏部,1
48,吏部閻,1
49,部閻功,1
50,閻功曹,1
51,功曹舍,1
52,曹舍人,1
53,舍人閒,1
54,人閒居,1
55,閒居秋,1
56,居秋懷,1
57,秋懷寄,1
58,懷寄陽,1
59,寄陽翟,1
60,陽翟陸,1
61,翟陸贊,1
62,陸贊府,1
63,贊府封,1
64,府封丘,1
65,封丘高,1
66,丘高少,1
67,高少府,1
68,少府送,1
69,府送友,1
70,送友人,1
71,友人使,1
72,人使河,1
73,使河源,1
74,河源送,1
75,源送李,1
76,李侍禦,1
77,侍禦送,1
78,禦送耿,1
79,送耿副,1
80,耿副使,1
81,副使歸,1
82,使歸長,1
83,歸長沙,1
84,夏侯子,1
85,侯子之,1
86,子之江,1
87,之江夏,1
88,江夏寓,1
89,夏寓言,1
90,寓言二,1
91,言二首,1
92,二首燕,1
93,首燕歌,1
94,歌行巴,1
95,行巴陵,1
96,巴陵寄,1
97,陵寄李,1
98,寄李二,1
99,李二戶,1
100,二戶部,1
101,戶部張,1
102,部張十,1
103,張十四,1
104,十四禮,1
105,四禮部,1
106,禮部長,1
107,部長門,1
108,長門怨,1
109,門怨銅,1
110,怨銅雀,1
111,雀台侍,1
112,台侍宴,1
113,侍宴曲,1
114,宴曲對,1
115,曲對酒,1
116,對酒麴,1
117,酒麴二,1
118,麴二首,1
119,二首送,1
120,首送陸,1
121,送陸協,1
122,陸協律,1
123,協律赴,1
124,律赴端,1
125,赴端州,1
126,端州送,1
127,州送王,1
128,送王員,1
129,員外赴,1
130,外赴長,1
131,赴長沙,1
132,夏侯參,1
133,侯參軍,1
134,參軍赴,1
135,軍赴廣,1
136,赴廣州,1
137,廣州長,1
138,州長沙,1
139,長沙別,1
140,沙別李,1
141,別李六,1
142,李六侍,1
143,六侍禦,1
144,侍禦岳,1
145,禦岳陽,1
146,陽樓宴,1
147,樓宴王,1
148,宴王員,1
149,長沙詠,1
150,沙詠馮,1
151,詠馮昭,1
152,馮昭儀,1
153,昭儀當,1
154,儀當熊,1
155,當熊早,1
156,熊早朝,1
157,早朝大,1
158,朝大明,1
159,大明宮,1
160,明宮呈,1
161,宮呈兩,1
162,呈兩省,1
163,兩省僚,1
164,省僚友,1
165,僚友白,1
166,友白馬,1
167,白馬贈,1
168,馬贈薛,1
169,贈薛瑤,1
170,薛瑤英,1
171,瑤英出,1
172,英出塞,1
173,出塞曲,1
174,塞曲春,1
175,曲春思,1
176,春思二,1
177,思二首,1
178,二首勤,1
179,首勤政,1
180,勤政樓,1
181,政樓觀,1
182,樓觀樂,1
183,觀樂贈,1
184,樂贈陝,1
185,贈陝掾,1
186,陝掾梁,1
187,掾梁宏,1
188,梁宏答,1
189,宏答嚴,1
190,答嚴大,1
191,嚴大夫,1
192,大夫送,1
193,夫送李,1
194,李侍郎,1
195,侍郎赴,1
196,郎赴常,1
197,赴常州,1
198,常州初,1
199,州初至,1
200,初至巴,1
201,至巴陵,1
202,巴陵與,1
203,陵與李,1
204,與李十,1
205,十二白,1
206,二白裴,1
207,白裴九,1
208,裴九同,1
209,九同泛,1
210,同泛洞,1
211,泛洞庭,1
212,洞庭湖,1
213,庭湖三,1
214,湖三首,1
215,三首西,1
216,首西亭,1
217,西亭春,1
218,亭春望,1
219,春望君,1
220,望君山,1
221,君山洞,1
222,山洞庭,1
223,洞庭送,1
224,庭送李,1
225,送李十,1
226,十二赴,1
227,二赴零,1
228,赴零陵,1
229,零陵江,1
230,陵江南,1
231,江南送,1
232,南送李,1
233,送李卿,1
234,李卿送,1
235,卿送王,1
236,送王道,1
237,王道士,1
238,道士還,1
239,士還京,1
240,還京巴,1
241,京巴陵,1
242,巴陵夜,1
243,陵夜別,1
244,夜別王,1
245,員外別,1
246,外別裴,1
247,別裴九,1
248,裴九弟,1
249,九弟送,1
250,弟送南,1
251,送南給,1
252,給事貶,1
253,事貶崖,1
254,貶崖州,1
255,崖州重,1
256,州重別,1
257,重別南,1
258,別南給,1
259,給事岳,1
260,事岳陽,1
261,陽樓重,1
262,樓重宴,1
263,重宴別,1
264,宴別王,1
