排名,詞彙,出現次數
1,昔昔,40
2,昔鹽,40
3,二十,21
4,雜曲,20
5,曲歌,20
6,歌辭,20
7,辭昔,20
8,鹽二,20
9,十首,20
10,中丞,11
11,二首,9
12,先輩,8
13,侍禦,7
14,相公,7
15,下第,6
16,歸覲,5
17,友人,5
18,道中,5
19,淮南,5
20,州送,5
21,處士,4
22,寄盧,4
23,盧中,4
24,山陽,4
25,郎中,4
26,中寄,4
27,重陽,4
28,山別,3
29,春日,3
30,輩歸,3
31,元相,3
32,令狐,3
33,宛陵,3
34,送李,3
35,代人,3
36,人贈,3
37,韋中,3
38,即事,3
39,廣陵,3
40,明府,3
41,王先,3
42,先生,3
43,贈李,3
44,歙州,3
45,侍郎,3
46,陽日,3
47,舍人,3
48,垂柳,2
49,柳覆,2
50,覆金,2
51,金堤,2
52,蘼蕪,2
53,蕪葉,2
54,葉複,2
55,複齊,2
56,水溢,2
57,溢芙,2
58,芙蓉,2
59,蓉沼,2
60,花飛,2
61,飛桃,2
62,桃李,2
63,李蹊,2
64,采桑,2
65,桑秦,2
66,秦氏,2
67,氏女,2
68,織錦,2
69,錦竇,2
70,竇家,2
71,家妻,2
72,關山,2
73,別蕩,2
74,蕩子,2
75,風月,2
76,月守,2
77,守空,2
78,空閨,2
79,恒斂,2
80,斂千,2
81,千金,2
82,金笑,2
83,長垂,2
84,垂雙,2
85,雙玉,2
86,玉啼,2
87,蟠龍,2
88,龍隨,2
89,隨鏡,2
90,鏡隱,2
91,彩鳳,2
92,鳳逐,2
93,逐帷,2
94,帷低,2
95,驚魂,2
96,魂同,2
97,同夜,2
98,夜鵲,2
99,倦寢,2
100,寢聽,2
101,聽晨,2
102,晨雞,2
103,暗牖,2
104,牖懸,2
105,懸蛛,2
106,蛛網,2
107,空梁,2
108,梁落,2
109,落燕,2
110,燕泥,2
111,前年,2
112,年過,2
113,過代,2
114,代北,2
115,今歲,2
116,歲往,2
117,往遼,2
118,遼西,2
119,一去,2
120,去無,2
121,無還,2
122,還意,2
123,那能,2
124,能惜,2
125,惜馬,2
126,馬蹄,2
127,道者,2
128,有懷,2
129,送韋,2
130,鄭州,2
131,中逢,2
132,東歸,2
133,商山,2
134,靈岩,2
135,岩寺,2
136,越中,2
137,中寺,2
138,寺居,2
139,長安,2
140,故山,2
141,發剡,2
142,剡中,2
143,九日,2
144,曲江,2
145,楚國,2
146,國寺,2
147,獻淮,2
148,南李,2
149,李相,2
150,沈大,2
151,大夫,2
152,滕邁,2
153,第寄,2
154,宣城,2
155,幕中,2
156,中赴,2
157,贈別,2
158,寒食,2
159,別友,2
160,李侍,2
161,禦歸,2
162,同宿,2
163,宿華,2
164,華嚴,2
165,嚴寺,2
166,浙東,2
167,花園,2
168,江上,2
169,日獨,2
170,獨遊,2
171,同年,2
172,漢南,2
173,南送,2
174,作尉,2
175,因獻,2
176,獻盧,2
177,主人,2
178,王明,2
179,亭贈,2
180,贈王,2
181,秘書,2
182,舒州,2
183,僕射,2
184,宣州,2
185,杜侍,2
186,事獻,2
187,杜牧,2
188,牧侍,2
189,第後,2
190,員外,2
191,校書,2
192,寺南,2
193,南池,2
194,和杜,2
195,張濆,2
196,後歸,2
197,給事,2
198,山道,2
199,第宛,2
200,寄沈,2
201,途中,2
202,落第,2
203,尋僧,2
204,南亭,2
205,宿僧,2
206,僧舍,2
207,同州,2
208,山居,2
209,鹽垂,1
210,堤雜,1
211,鹽蘼,1
212,齊雜,1
213,鹽水,1
214,沼雜,1
215,鹽花,1
216,蹊雜,1
217,鹽采,1
218,女雜,1
219,鹽織,1
220,妻雜,1
221,鹽關,1
222,子雜,1
223,鹽風,1
224,閨雜,1
225,鹽恒,1
226,笑雜,1
227,鹽長,1
228,啼雜,1
229,鹽蟠,1
230,隱雜,1
231,鹽彩,1
232,低雜,1
233,鹽驚,1
234,鵲雜,1
235,鹽倦,1
236,雞雜,1
237,鹽暗,1
238,網雜,1
239,鹽空,1
240,泥雜,1
241,鹽前,1
242,北雜,1
243,鹽今,1
244,西雜,1
245,鹽一,1
246,意雜,1
247,鹽那,1
248,蹄書,1
249,書齋,1
250,齋雪,1
251,雪後,1
252,後寄,1
253,寄道,1
254,者虎,1
255,虎丘,1
256,丘寺,1
257,寺贈,1
258,贈漁,1
259,漁處,1
260,士陪,1
261,陪崔,1
262,崔璞,1
263,璞侍,1
264,禦和,1
265,和崔,1
266,崔春,1
267,日有,1
268,懷昔,1
269,首垂,1
270,堤昔,1
