排名,詞彙,出現次數
1,琴曲歌辭湘,1
2,曲歌辭湘夫,1
3,歌辭湘夫人,1
4,辭湘夫人長,1
5,湘夫人長安,1
6,夫人長安逢,1
7,人長安逢故,1
8,長安逢故人,1
9,安逢故人送,1
10,逢故人送韋,1
11,故人送韋湛,1
12,人送韋湛判,1
13,送韋湛判官,1
14,韋湛判官送,1
15,湛判官送長,1
16,判官送長沙,1
17,官送長沙韋,1
18,送長沙韋明,1
19,長沙韋明府,1
20,沙韋明府送,1
21,韋明府送孫,1
22,明府送孫願,1
23,府送孫願送,1
24,送孫願送林,1
25,孫願送林宗,1
26,願送林宗配,1
27,送林宗配雷,1
28,林宗配雷州,1
29,宗配雷州送,1
30,配雷州送洪,1
31,雷州送洪州,1
32,州送洪州李,1
33,送洪州李別,1
34,洪州李別駕,1
35,州李別駕之,1
36,李別駕之任,1
37,別駕之任送,1
38,駕之任送楊,1
39,之任送楊中,1
40,任送楊中丞,1
41,送楊中丞和,1
42,楊中丞和蕃,1
43,中丞和蕃送,1
44,丞和蕃送李,1
45,和蕃送李將,1
46,蕃送李將軍,1
47,送李將軍赴,1
48,李將軍赴定,1
49,將軍赴定州,1
50,軍赴定州關,1
51,赴定州關羽,1
52,定州關羽祠,1
53,州關羽祠送,1
54,關羽祠送高,1
55,羽祠送高員,1
56,祠送高員外,1
57,送高員外還,1
58,高員外還荊,1
59,員外還荊州,1
60,外還荊州送,1
61,還荊州送張,1
62,荊州送張南,1
63,州送張南史,1
64,送張南史送,1
65,張南史送奚,1
66,南史送奚賈,1
67,史送奚賈歸,1
68,送奚賈歸吳,1
69,奚賈歸吳送,1
70,賈歸吳送陸,1
71,歸吳送陸員,1
72,吳送陸員外,1
73,送陸員外赴,1
74,陸員外赴潮,1
75,員外赴潮州,1
76,外赴潮州送,1
77,赴潮州送裴,1
78,潮州送裴補,1
79,州送裴補闕,1
80,送裴補闕入,1
81,裴補闕入河,1
82,補闕入河南,1
83,闕入河南幕,1
84,入河南幕送,1
85,河南幕送韓,1
86,南幕送韓司,1
87,幕送韓司直,1
88,送韓司直路,1
89,韓司直路出,1
90,司直路出延,1
91,直路出延陵,1
92,路出延陵盩,1
93,出延陵盩厔,1
94,延陵盩厔縣,1
95,陵盩厔縣鄭,1
96,盩厔縣鄭礒,1
97,厔縣鄭礒宅,1
98,縣鄭礒宅送,1
99,鄭礒宅送錢,1
100,礒宅送錢大,1
101,宅送錢大送,1
102,送錢大送元,1
103,錢大送元詵,1
104,大送元詵還,1
105,送元詵還丹,1
106,元詵還丹陽,1
107,詵還丹陽別,1
108,還丹陽別業,1
109,丹陽別業送,1
110,陽別業送崔,1
111,別業送崔侍,1
112,業送崔侍禦,1
113,送崔侍禦往,1
114,崔侍禦往容,1
115,侍禦往容州,1
116,禦往容州宣,1
117,往容州宣慰,1
118,容州宣慰朱,1
119,州宣慰朱方,1
120,宣慰朱方南,1
121,慰朱方南郭,1
122,朱方南郭留,1
123,方南郭留別,1
124,南郭留別皇,1
125,郭留別皇甫,1
126,留別皇甫冉,1
127,別皇甫冉贈,1
128,皇甫冉贈張,1
129,甫冉贈張五,1
130,冉贈張五諲,1
131,贈張五諲歸,1
132,張五諲歸濠,1
133,五諲歸濠州,1
134,諲歸濠州別,1
135,歸濠州別業,1
136,濠州別業送,1
137,州別業送王,1
138,別業送王司,1
139,業送王司馬,1
140,送王司馬赴,1
141,王司馬赴潤,1
142,司馬赴潤州,1
143,馬赴潤州留,1
144,赴潤州留盧,1
145,潤州留盧秦,1
146,州留盧秦卿,1
147,留盧秦卿贈,1
148,盧秦卿贈強,1
149,秦卿贈強山,1
150,卿贈強山人,1
151,贈強山人贈,1
152,強山人贈韋,1
153,山人贈韋司,1
154,人贈韋司直,1
155,贈韋司直石,1
156,韋司直石城,1
157,司直石城館,1
158,直石城館酬,1
159,石城館酬王,1
160,城館酬王將,1
