排名,詞彙,出現次數
1,中台五,2
2,台五題,2
3,次韻和,2
4,見寄之,2
5,寄之什,2
6,第東歸,2
7,墅訪題,2
8,張補闕,2
9,茂樞同,2
10,樞同在,2
11,同在諫,2
12,在諫垣,2
13,居光德,2
14,望湘亭,1
15,湘亭中,1
16,亭中台,1
17,五題樗,1
18,題樗里,1
19,樗里子,1
20,里子墓,1
21,子墓中,1
22,墓中台,1
23,五題玉,1
24,題玉蕊,1
25,玉蕊別,1
26,蕊別同,1
27,別同志,1
28,同志從,1
29,志從叔,1
30,從叔郎,1
31,叔郎中,1
32,郎中諴,1
33,中諴輟,1
34,諴輟自,1
35,輟自秋,1
36,自秋曹,1
37,秋曹分,1
38,曹分符,1
39,分符安,1
40,符安陸,1
41,安陸屬,1
42,陸屬群,1
43,屬群盜,1
44,群盜倡,1
45,盜倡致,1
46,倡致熾,1
47,致熾流,1
48,熾流毒,1
49,流毒江,1
50,毒江壖,1
51,江壖竟,1
52,壖竟以,1
53,竟以援,1
54,以援兵,1
55,援兵不,1
56,兵不來,1
57,不來城,1
58,來城池,1
59,城池失,1
60,池失守,1
61,失守例,1
62,守例削,1
63,例削今,1
64,削今任,1
65,今任卻,1
66,任卻敘,1
67,卻敘省,1
68,敘省銜,1
69,省銜退,1
70,銜退居,1
71,退居荊,1
72,居荊漢,1
73,荊漢之,1
74,漢之間,1
75,之間頗,1
76,間頗得,1
77,頗得琴,1
78,得琴尊,1
79,琴尊之,1
80,尊之趣,1
81,之趣因,1
82,趣因有,1
83,因有寄,1
84,有寄獻,1
85,寄獻次,1
86,獻次韻,1
87,韻和王,1
88,和王駕,1
89,王駕校,1
90,駕校書,1
91,校書結,1
92,書結綬,1
93,結綬見,1
94,綬見寄,1
95,之什秘,1
96,什秘閣,1
97,秘閣伴,1
98,閣伴直,1
99,伴直送,1
100,直送太,1
101,送太學,1
102,太學顏,1
103,學顏明,1
104,顏明經,1
105,明經及,1
106,經及第,1
107,及第東,1
108,東歸送,1
109,歸送人,1
110,送人之,1
111,人之九,1
112,之九江,1
113,九江謁,1
114,江謁郡,1
115,謁郡侯,1
116,郡侯苗,1
117,侯苗員,1
118,苗員外,1
119,員外紳,1
120,外紳送,1
121,紳送京,1
122,送京參,1
123,京參翁,1
124,參翁先,1
125,翁先輩,1
126,先輩歸,1
127,輩歸閩,1
128,歸閩中,1
129,閩中贈,1
130,中贈別,1
131,贈別南,1
132,別南游,1
133,南游巴,1
134,游巴賨,1
135,巴賨旅,1
136,賨旅寓,1
137,旅寓寄,1
138,寓寄朝,1
139,寄朝中,1
140,朝中從,1
141,中從叔,1
142,從叔寄,1
143,叔寄司,1
144,寄司勳,1
145,司勳張,1
146,勳張員,1
147,張員外,1
148,員外學,1
149,外學士,1
150,學士寄,1
151,士寄左,1
152,寄左省,1
153,左省韋,1
154,省韋起,1
155,韋起居,1
156,起居序,1
