排名,詞彙,出現次數
1,崔都水,10
2,寄諸弟,9
3,崔主簿,6
4,李博士,5
5,善福精,5
6,福精舍,5
7,京師諸,5
8,雜曲歌,4
9,曲歌辭,4
10,元侍禦,4
11,林精舍,4
12,寄京師,4
13,丘員外,4
14,吹曲辭,3
15,韓庫部,3
16,同德精,3
17,德精舍,3
18,令狐士,3
19,狐士曹,3
20,西齋寄,3
21,寄崔主,3
22,師諸弟,3
23,諸弟兼,3
24,日寄諸,3
25,二十二,3
26,清都觀,3
27,與幼遐,3
28,樂府雜,2
29,府雜曲,2
30,雜曲鼓,2
31,曲鼓吹,2
32,鼓吹曲,2
33,相逢行,2
34,行路難,2
35,三台二,2
36,台二首,2
37,上皇三,2
38,皇三台,2
39,三台雜,2
40,處士叔,2
41,萬年吉,2
42,年吉少,2
43,吉少府,2
44,少府中,2
45,府中孚,2
46,書情寄,2
47,盧少府,2
48,中對雨,2
49,僚友贈,2
50,縣僚友,2
51,贈李儋,2
52,王侍禦,2
53,即事寄,2
54,盧二十,2
55,精舍寄,2
56,寄子西,2
57,同德寺,2
58,侍禦李,2
59,禦李博,2
60,精舍舊,2
61,舍舊居,2
62,朝宗巨,2
63,宗巨川,2
64,巨川兄,2
65,川兄弟,2
66,對雨寄,2
67,內閒居,2
68,閒居贈,2
69,徐秀才,2
70,西郊遊,2
71,對雨贈,2
72,李主簿,2
73,寄諸友,2
74,諸友生,2
75,壽春公,2
76,寄李儋,2
77,主簿倬,2
78,暢校書,2
79,幼遐善,2
80,遐善福,2
81,灃上精,2
82,上精舍,2
83,兼呈崔,2
84,寄灃上,2
85,令狐侍,2
86,狐侍郎,2
87,閒居寄,2
88,主簿寄,2
89,秋夜寄,2
90,諸弟寄,2
91,弟兼懷,2
92,兼懷崔,2
93,懷崔都,2
94,都水及,2
95,水及諸,2
96,及諸弟,2
97,釋子良,2
98,子良史,2
99,裴處士,2
100,尊師寄,2
101,因省風,2
102,省風俗,2
103,從侄成,2
104,侄成緒,2
105,師諸季,2
106,丘二十,2
107,理西齋,2
108,員外和,2
109,錄事送,2
110,事送李,2
111,送黎六,2
112,黎六郎,2
113,寺上方,2
114,少府送,2
115,歸揚州,2
116,主簿送,2
117,河南李,2
118,君貺兄,2
119,貺兄弟,2
120,尚書郎,2
121,評事送,2
122,送丘員,2
123,山居送,2
124,送陸侍,2
125,陸侍禦,2
126,王卿送,2
127,任洛陽,2
128,洛陽丞,2
129,答令狐,2
130,獨孤兵,2
131,孤兵曹,2
132,答崔主,2
133,秀才答,2
134,精舍答,2
135,韓郎中,2
136,郎中答,2
137,答崔都,2
138,精舍見,2
139,答趙氏,2
140,生伉答,2
141,答端答,2
142,王郎中,2
143,憶諸弟,2
144,蒲塘驛,2
145,西郊渡,2
146,西林精,2
147,昭國裏,2
148,馮少府,2
149,游龍門,2
150,幼遐君,2
151,遐君貺,2
152,陪王卿,2
153,游西山,2
154,永定寺,2
155,禪師院,2
156,琅琊山,2
157,簡寂觀,2
158,居即事,2
159,春雪對,2
160,神女歌,2
161,曲辭芳,1
162,辭芳樹,1
163,芳樹樂,1
164,樹樂府,1
165,曲辭有,1
166,辭有所,1
167,有所思,1
168,所思橫,1
169,思橫吹,1
170,橫吹曲,1
171,曲辭長,1
172,辭長安,1
173,長安道,1
174,安道相,1
175,道相和,1
176,相和歌,1
177,和歌辭,1
178,歌辭相,1
179,辭相逢,1
180,逢行雜,1
181,行雜曲,1
182,歌辭行,1
183,辭行路,1
184,路難雜,1
185,難雜曲,1
186,歌辭三,1
187,辭三台,1
188,二首雜,1
189,首雜曲,1
190,歌辭上,1
191,辭上皇,1
192,台雜曲,1
193,歌辭突,1
194,辭突厥,1
195,突厥三,1
196,厥三台,1
197,台雜體,1
198,雜體五,1
199,體五首,1
200,五首與,1
201,首與友,1
202,與友生,1
203,友生野,1
204,生野飲,1
205,野飲效,1
206,飲效陶,1
207,效陶體,1
208,陶體效,1
209,體效何,1
210,效何水,1
211,何水部,1
212,水部二,1
213,部二首,1
214,二首效,1
215,首效陶,1
216,效陶彭,1
217,陶彭澤,1
218,彭澤大,1
219,澤大樑,1
220,大樑亭,1
221,樑亭會,1
222,亭會李,1
223,會李四,1
224,李四棲,1
225,四棲梧,1
226,棲梧作,1
227,梧作燕,1
228,作燕李,1
229,燕李錄,1
230,李錄事,1
231,錄事淮,1
232,事淮上,1
233,淮上喜,1
234,上喜會,1
235,喜會梁,1
236,會梁川,1
237,梁川故,1
238,川故人,1
239,故人揚,1
240,人揚州,1
241,揚州偶,1
242,州偶會,1
243,偶會前,1
244,會前洛,1
245,前洛陽,1
246,洛陽盧,1
247,陽盧耿,1
248,盧耿主,1
249,耿主簿,1
250,主簿賈,1
251,簿賈常,1
252,賈常侍,1
253,常侍林,1
254,侍林亭,1
255,林亭燕,1
256,亭燕集,1
257,燕集月,1
258,集月下,1
259,月下會,1
260,下會徐,1
261,會徐十,1
262,徐十一,1
263,十一草,1
264,一草堂,1
265,草堂移,1
266,堂移疾,1
267,移疾會,1
268,疾會詩,1
269,會詩客,1
270,詩客元,1
271,客元生,1
272,元生與,1
273,生與釋,1
274,與釋子,1
275,釋子法,1
276,子法朗,1
277,法朗因,1
278,朗因貽,1
279,因貽諸,1
280,貽諸祠,1
281,諸祠曹,1
282,祠曹慈,1
283,曹慈恩,1
284,慈恩伽,1
285,恩伽藍,1
286,伽藍清,1
287,藍清會,1
288,清會夜,1
289,會夜偶,1
290,夜偶詩,1
291,偶詩客,1
292,詩客操,1
293,客操公,1
294,操公作,1
295,公作與,1
296,作與韓,1
297,與韓庫,1
298,庫部會,1
299,部會王,1
300,會王祠,1
301,王祠曹,1
302,祠曹宅,1
303,曹宅作,1
304,宅作晦,1
305,作晦日,1
306,晦日處,1
307,日處士,1
308,士叔園,1
309,叔園林,1
310,園林燕,1
311,林燕集,1
312,燕集扈,1
313,集扈亭,1
314,扈亭西,1
315,亭西陂,1
316,西陂燕,1
317,陂燕賞,1
318,燕賞西,1
319,賞西郊,1
320,西郊燕,1
321,郊燕集,1
322,燕集春,1
323,集春宵,1
324,春宵燕,1
325,宵燕萬,1
326,燕萬年,1
327,中孚南,1
328,孚南館,1
329,南館滁,1
330,館滁州,1
331,滁州園,1
332,州園池,1
333,園池燕,1
334,池燕元,1
335,燕元氏,1
336,元氏親,1
337,氏親屬,1
338,親屬郡,1
339,屬郡樓,1
340,郡樓春,1
341,樓春燕,1
342,春燕南,1
343,燕南塘,1
344,南塘泛,1
345,塘泛舟,1
346,泛舟會,1
347,舟會元,1
348,會元六,1
349,元六昆,1
350,六昆季,1
351,昆季郡,1
352,季郡齋,1
353,郡齋雨,1
354,齋雨中,1
355,雨中與,1
356,中與諸,1
357,與諸文,1
358,諸文士,1
359,文士燕,1
360,士燕集,1
361,燕集軍,1
362,集軍中,1
363,軍中冬,1
364,中冬燕,1
365,冬燕司,1
366,燕司空,1
367,司空主,1
368,空主簿,1
369,主簿琴,1
370,簿琴席,1
371,琴席與,1
372,席與村,1
373,與村老,1
374,村老對,1
375,老對飲,1
376,對飲聽,1
377,飲聽嘉,1
378,聽嘉陵,1
379,嘉陵江,1
380,陵江水,1
381,江水聲,1
382,水聲寄,1
383,聲寄深,1
384,寄深上,1
385,深上人,1
386,上人高,1
387,人高陵,1
388,高陵書,1
389,陵書情,1
390,情寄三,1
391,寄三原,1
392,三原盧,1
393,原盧少,1
394,少府假,1
395,府假中,1
396,假中對,1
397,對雨呈,1
398,雨呈縣,1
399,呈縣中,1
400,縣中僚,1
401,中僚友,1
402,友贈蕭,1
403,贈蕭河,1
404,蕭河南,1
405,河南示,1
406,南示從,1
407,示從子,1
408,從子河,1
409,子河南,1
410,河南尉,1
411,南尉班,1
412,尉班趨,1
413,班趨府,1
414,趨府候,1
415,府候曉,1
416,候曉呈,1
417,曉呈兩,1
418,呈兩縣,1
419,兩縣僚,1
420,友贈李,1
421,李儋贈,1
422,儋贈盧,1
423,贈盧嵩,1
424,盧嵩寄,1
425,嵩寄馮,1
426,寄馮著,1
427,馮著早,1
428,著早春,1
429,早春對,1
430,春對雪,1
431,對雪寄,1
432,雪寄前,1
433,寄前殿,1
434,前殿中,1
435,殿中元,1
436,中元侍,1
437,侍禦贈,1
438,禦贈王,1
439,贈王侍,1
440,侍禦將,1
441,禦將往,1
442,將往江,1
443,往江淮,1
444,江淮寄,1
445,淮寄李,1
446,寄李十,1
447,李十九,1
448,十九儋,1
449,九儋自,1
450,儋自鞏,1
451,自鞏洛,1
452,鞏洛舟,1
453,洛舟行,1
454,舟行入,1
455,行入黃,1
456,入黃河,1
457,黃河即,1
458,河即事,1
459,事寄府,1
460,寄府縣,1
461,府縣僚,1
462,僚友寄,1
463,友寄盧,1
464,寄盧庾,1
465,盧庾發,1
466,庾發廣,1
467,發廣陵,1
468,廣陵留,1
469,陵留上,1
470,留上家,1
471,上家兄,1
472,家兄兼,1
473,兄兼寄,1
474,兼寄上,1
475,寄上長,1
476,上長沙,1
477,長沙初,1
478,沙初發,1
479,初發揚,1
480,發揚子,1
481,揚子寄,1
482,子寄元,1
483,寄元大,1
484,元大校,1
485,大校書,1
486,校書淮,1
487,書淮上,1
488,淮上即,1
489,上即事,1
490,事寄廣,1
491,寄廣陵,1
492,廣陵親,1
493,陵親故,1
494,親故寄,1
495,故寄洪,1
496,寄洪州,1
497,洪州幕,1
498,州幕府,1
499,幕府盧,1
500,府盧二,1
501,二十一,1
502,十一侍,1
503,一侍禦,1
504,侍禦經,1
505,禦經少,1
506,經少林,1
507,少林精,1
508,舍寄都,1
509,寄都邑,1
510,都邑親,1
511,邑親友,1
512,親友同,1
513,友同長,1
514,同長源,1
515,長源歸,1
516,源歸南,1
517,歸南徐,1
518,南徐寄,1
519,徐寄子,1
520,子西子,1
521,西子烈,1
522,子烈有,1
523,烈有道,1
524,有道雪,1
525,道雪中,1
526,雪中聞,1
527,中聞李,1
528,聞李儋,1
529,李儋過,1
530,儋過門,1
