排名,詞彙,出現次數
1,江上別李秀才,2
2,雜曲歌辭少年,1
3,曲歌辭少年行,1
4,歌辭少年行雜,1
5,辭少年行雜曲,1
6,少年行雜曲歌,1
7,年行雜曲歌辭,1
8,行雜曲歌辭古,1
9,雜曲歌辭古離,1
10,曲歌辭古離別,1
11,歌辭古離別延,1
12,辭古離別延興,1
13,古離別延興門,1
14,離別延興門外,1
15,別延興門外作,1
16,延興門外作劉,1
17,興門外作劉得,1
18,門外作劉得仁,1
19,外作劉得仁墓,1
20,作劉得仁墓下,1
21,劉得仁墓下第,1
22,得仁墓下第題,1
23,仁墓下第題青,1
24,墓下第題青龍,1
25,下第題青龍寺,1
26,第題青龍寺僧,1
27,題青龍寺僧房,1
28,青龍寺僧房虢,1
29,龍寺僧房虢州,1
30,寺僧房虢州澗,1
31,僧房虢州澗東,1
32,房虢州澗東村,1
33,虢州澗東村居,1
34,州澗東村居作,1
35,澗東村居作送,1
36,東村居作送日,1
37,村居作送日本,1
38,居作送日本國,1
39,作送日本國僧,1
40,送日本國僧敬,1
41,日本國僧敬龍,1
42,本國僧敬龍歸,1
43,國僧敬龍歸對,1
44,僧敬龍歸對酒,1
45,敬龍歸對酒尹,1
46,龍歸對酒尹喜,1
47,歸對酒尹喜宅,1
48,對酒尹喜宅途,1
49,酒尹喜宅途中,1
50,尹喜宅途中望,1
51,喜宅途中望雨,1
52,宅途中望雨懷,1
53,途中望雨懷歸,1
54,中望雨懷歸古,1
55,望雨懷歸古離,1
56,雨懷歸古離別,1
57,懷歸古離別柳,1
58,歸古離別柳穀,1
59,古離別柳穀道,1
60,離別柳穀道中,1
61,別柳穀道中作,1
62,柳穀道中作卻,1
63,穀道中作卻寄,1
64,道中作卻寄灞,1
65,中作卻寄灞陵,1
66,作卻寄灞陵道,1
67,卻寄灞陵道中,1
68,寄灞陵道中作,1
69,灞陵道中作秋,1
70,陵道中作秋日,1
71,道中作秋日早,1
72,中作秋日早行,1
73,作秋日早行歎,1
74,秋日早行歎落,1
75,日早行歎落花,1
76,早行歎落花宮,1
77,行歎落花宮怨,1
78,歎落花宮怨關,1
79,落花宮怨關河,1
80,花宮怨關河道,1
81,宮怨關河道中,1
82,怨關河道中題,1
83,關河道中題盤,1
84,河道中題盤豆,1
85,道中題盤豆驛,1
86,中題盤豆驛水,1
87,題盤豆驛水館,1
88,盤豆驛水館後,1
89,豆驛水館後軒,1
90,驛水館後軒梁,1
91,水館後軒梁氏,1
92,館後軒梁氏水,1
93,後軒梁氏水齋,1
94,軒梁氏水齋曲,1
95,梁氏水齋曲池,1
96,氏水齋曲池作,1
97,水齋曲池作嘉,1
98,齋曲池作嘉會,1
99,曲池作嘉會裏,1
100,池作嘉會裏閒,1
101,作嘉會裏閒居,1
102,嘉會裏閒居夏,1
103,會裏閒居夏夜,1
104,裏閒居夏夜早,1
