排名,詞彙,出現次數
1,上古之什,11
2,古之什補,11
3,之什補亡,11
4,什補亡訓,11
5,補亡訓傳,11
6,亡訓傳十,11
7,訓傳十三,11
8,傳十三章,11
9,章上古之,10
10,一章上古,8
11,雜曲歌辭,5
12,王郎中妓,5
13,郎中妓席,5
14,中妓席五,5
15,妓席五詠,5
16,琴曲歌辭,3
17,相和歌辭,2
18,行路難三,2
19,路難三首,2
20,二章上古,2
21,望仙人城,2
22,人畫山水,2
23,畫山水歌,2
24,秀才入京,2
25,送李秀才,2
26,橫吹曲辭,1
27,吹曲辭長,1
28,曲辭長安,1
29,辭長安道,1
30,長安道相,1
31,安道相和,1
32,道相和歌,1
33,和歌辭短,1
34,歌辭短歌,1
35,辭短歌行,1
36,短歌行六,1
37,歌行六首,1
38,行六首相,1
39,六首相和,1
40,首相和歌,1
41,和歌辭烏,1
42,歌辭烏夜,1
43,辭烏夜啼,1
44,烏夜啼二,1
45,夜啼二首,1
46,啼二首琴,1
47,二首琴曲,1
48,首琴曲歌,1
49,曲歌辭蔡,1
50,歌辭蔡氏,1
51,辭蔡氏五,1
52,蔡氏五弄,1
53,氏五弄幽,1
54,五弄幽居,1
55,弄幽居弄,1
56,幽居弄琴,1
57,居弄琴曲,1
58,弄琴曲歌,1
59,曲歌辭龍,1
60,歌辭龍宮,1
61,辭龍宮操,1
62,龍宮操琴,1
63,宮操琴曲,1
64,操琴曲歌,1
65,曲歌辭琴,1
66,歌辭琴歌,1
67,辭琴歌雜,1
68,琴歌雜曲,1
69,歌雜曲歌,1
70,曲歌辭遊,1
71,歌辭遊子,1
72,辭遊子吟,1
73,遊子吟雜,1
74,子吟雜曲,1
75,吟雜曲歌,1
76,曲歌辭行,1
77,歌辭行路,1
78,辭行路難,1
79,難三首雜,1
80,三首雜曲,1
81,首雜曲歌,1
82,曲歌辭古,1
83,歌辭古離,1
84,辭古離別,1
85,古離別雜,1
86,離別雜曲,1
87,別雜曲歌,1
88,曲歌辭桃,1
89,歌辭桃花,1
90,辭桃花曲,1
91,桃花曲雜,1
92,花曲雜曲,1
93,曲雜曲歌,1
94,曲歌辭樂,1
95,歌辭樂府,1
96,辭樂府雜,1
97,樂府雜歌,1
98,府雜歌謠,1
99,雜歌謠辭,1
100,歌謠辭步,1
101,謠辭步虛,1
102,辭步虛詞,1
103,步虛詞上,1
104,虛詞上古,1
105,詞上古之,1
106,十三章上,1
107,三章上古,1
108,章上古一,1
109,上古一章,1
110,古一章上,1
111,十三章左,1
112,三章左車,1
113,章左車二,1
114,左車二章,1
115,車二章上,1
116,十三章築,1
117,三章築城,1
118,章築城二,1
119,築城二章,1
120,城二章上,1
121,十三章持,1
122,三章持斧,1
123,章持斧一,1
124,持斧一章,1
125,斧一章上,1
126,十三章十,1
127,三章十月,1
128,章十月之,1
129,十月之郊,1
130,月之郊一,1
131,之郊一章,1
132,郊一章上,1
133,十三章燕,1
134,三章燕于,1
135,章燕于巢,1
136,燕于巢一,1
137,于巢一章,1
138,巢一章上,1
139,十三章蘇,1
140,三章蘇方,1
141,章蘇方一,1
142,蘇方一章,1
143,方一章上,1
144,十三章陵,1
145,三章陵霜,1
146,章陵霜之,1
147,陵霜之華,1
148,霜之華一,1
149,之華一章,1
150,華一章上,1
151,十三章囝,1
152,三章囝一,1
153,章囝一章,1
154,囝一章上,1
155,十三章我,1
156,三章我行,1
157,章我行自,1
158,我行自東,1
159,行自東一,1
160,自東一章,1
161,東一章上,1
162,十三章采,1
163,三章采蠟,1
164,章采蠟一,1
165,采蠟一章,1
166,蠟一章棄,1
167,一章棄婦,1
168,章棄婦詞,1
169,棄婦詞遊,1
170,婦詞遊子,1
171,詞遊子吟,1
172,遊子吟擬,1
173,子吟擬古,1
